date,adm0_name,adm1_name,adm2_name,school_closure,travel_ban_local_opt,no_gathering,work_from_home,testing_regime,home_isolation,cum_confirmed_cases,cum_confirmed_cases_imputed
2020-02-29,IRN,3,West.Azerbaijan,0,0,1,0,0,0,1.0,1
2020-02-29,IRN,5,Yazd,0,0,1,0,0,0,5.0,5
2020-02-29,IRN,3,Zanjan,0,0,1,0,0,0,0.0,0
2020-03-01,IRN,1,Alburz,0,1,1,0,0,0,47.0,47
2020-03-01,IRN,3,Ardebil,0,1,1,0,0,0,9.0,9
2020-03-01,IRN,2,Bushehr,0,1,1,0,0,0,0.0,0
2020-03-01,IRN,2,Chaharmahal.and.Bakhtiari,0,1,1,0,0,0,0.0,0
2020-03-01,IRN,3,East.Azerbaijan,0,1,1,0,0,0,12.0,12
2020-03-01,IRN,2,Esfahan,0,1,1,0,0,0,45.0,45
2020-03-01,IRN,2,Fars,0,1,1,0,0,0,19.0,19
2020-03-01,IRN,3,Gilan,0,1,1,0,0,0,102.0,102
2020-03-01,IRN,1,Golestan,0,1,1,0,0,0,24.0,24
2020-03-01,IRN,4,Hamedan,0,1,1,0,0,0,5.0,5
2020-03-01,IRN,2,Hormozgan,0,1,1,0,0,0,4.0,4
