date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020,sample_avg,day_avg,p_1,p_2
"2020-03-07","IRN","Lorestan",1,1,1,1,1,0,0,0,105,133,1760649,07mar2020,6,3,2020,7,"Lorestan",0,4.65396,.2972512,0,,,1,0
"2020-03-08","IRN","Lorestan",1,1,1,1,1,0,0,0,142,170,1760649,08mar2020,0,3,2020,8,"Lorestan",0,4.955827,.301867,0,,,1,0
"2020-03-09","IRN","Lorestan",1,1,1,1,1,0,0,0,149,177,1760649,09mar2020,1,3,2020,9,"Lorestan",0,5.003946,.0481191,0,,,1,0
"2020-03-10","IRN","Lorestan",1,1,1,1,1,0,0,0,174,202,1760649,10mar2020,2,3,2020,10,"Lorestan",0,5.159055,.1551089,0,,,1,0
"2020-03-11","IRN","Lorestan",1,1,1,1,1,0,0,0,183,211,1760649,11mar2020,3,3,2020,11,"Lorestan",0,5.209486,.0504308,0,,,1,0
"2020-03-12","IRN","Lorestan",1,1,1,1,1,0,0,0,208,236,1760649,12mar2020,4,3,2020,12,"Lorestan",0,5.337538,.1280522,0,,,1,0
"2020-03-13","IRN","Lorestan",1,1,1,1,1,1,1,0,233,261,1760649,13mar2020,5,3,2020,13,"Lorestan",0,5.451038,.1135001,1,,,1,1
"2020-03-14","IRN","Lorestan",1,1,1,1,1,1,1,0,235,263,1760649,14mar2020,6,3,2020,14,"Lorestan",0,5.459586,.0085473,0,,,1,1
"2020-03-15","IRN","Lorestan",1,1,1,1,1,1,1,0,287,315,1760649,15mar2020,0,3,2020,15,"Lorestan",0,5.659482,.1998963,0,,,1,1
"2020-03-16","IRN","Lorestan",1,1,1,1,1,1,1,0,287,315,1760649,16mar2020,1,3,2020,16,"Lorestan",0,5.659482,0,0,,,1,1
"2020-03-17","IRN","Lorestan",1,1,1,1,1,1,1,0,322,350,1760649,17mar2020,2,3,2020,17,"Lorestan",0,5.774551,.1150694,0,,,1,1
"2020-03-18","IRN","Lorestan",1,1,1,1,1,1,1,0,361,389,1760649,18mar2020,3,3,2020,18,"Lorestan",0,5.888878,.1143265,0,,,1,1
"2020-03-19","IRN","Lorestan",1,1,1,1,1,1,1,0,398,426,1760649,19mar2020,4,3,2020,19,"Lorestan",0,5.986452,.0975742,0,,,1,1
"2020-03-20","IRN","Lorestan",1,1,1,1,1,1,1,0,407,435,1760649,20mar2020,5,3,2020,20,"Lorestan",0,6.008813,.0223613,0,,,1,1
"2020-03-21","IRN","Lorestan",1,1,1,1,1,1,1,0,441,469,1760649,21mar2020,6,3,2020,21,"Lorestan",0,6.089045,.0802317,0,,,1,1
"2020-03-22","IRN","Lorestan",1,1,1,1,1,1,1,0,474,502,1760649,22mar2020,0,3,2020,22,"Lorestan",0,6.161207,.0721622,0,,,1,1
"2020-02-27","IRN","Markazi",1,0,1,1,0,0,0,0,,5,1429475,27feb2020,4,2,2020,27,"Markazi",0,,,0,.1647312,,.3333333,0
"2020-02-28","IRN","Markazi",1,0,1,1,0,0,0,0,,5,1429475,28feb2020,5,2,2020,28,"Markazi",0,,,0,.1647312,,.3333333,0
"2020-02-29","IRN","Markazi",1,0,1,1,0,0,0,0,23,23,1429475,29feb2020,6,2,2020,29,"Markazi",0,3.135494,,0,.1647312,,.3333333,0
"2020-03-01","IRN","Markazi",1,1,1,1,0,0,0,0,67,67,1429475,01mar2020,0,3,2020,1,"Markazi",0,4.204693,1.069199,0,,,.6666667,0
"2020-03-02","IRN","Markazi",1,1,1,1,0,0,0,0,,127,1429475,02mar2020,1,3,2020,2,"Markazi",0,,,0,.1647312,,.6666667,0
"2020-03-03","IRN","Markazi",1,1,1,1,1,0,0,0,,222,1429475,03mar2020,2,3,2020,3,"Markazi",0,,,0,.1647312,,1,0
