date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020,sample_avg,day_avg,p_1,p_2
"2020-02-27","IRN","Alborz",1,0,1,1,0,0,0,0,,5,2712400,27feb2020,4,2,2020,27,"Alborz",0,,,0,.1647312,,.3333333,0
"2020-02-28","IRN","Alborz",1,0,1,1,0,0,0,0,,8,2712400,28feb2020,5,2,2020,28,"Alborz",0,,,0,.1647312,,.3333333,0
"2020-02-29","IRN","Alborz",1,0,1,1,0,0,0,0,16,16,2712400,29feb2020,6,2,2020,29,"Alborz",0,2.772589,,0,.1647312,,.3333333,0
"2020-03-01","IRN","Alborz",1,1,1,1,0,0,0,0,47,47,2712400,01mar2020,0,3,2020,1,"Alborz",0,3.850147,1.077559,0,,,.6666667,0
"2020-03-02","IRN","Alborz",1,1,1,1,0,0,0,0,,89,2712400,02mar2020,1,3,2020,2,"Alborz",0,,,0,.1647312,,.6666667,0
"2020-03-03","IRN","Alborz",1,1,1,1,1,0,0,0,,156,2712400,03mar2020,2,3,2020,3,"Alborz",0,,,0,.1647312,,1,0
"2020-03-04","IRN","Alborz",1,1,1,1,1,0,0,0,66,175,2712400,04mar2020,3,3,2020,4,"Alborz",0,4.189655,,0,.1647312,,1,0
"2020-03-05","IRN","Alborz",1,1,1,1,1,0,0,0,127,236,2712400,05mar2020,4,3,2020,5,"Alborz",0,4.844187,.6545324,0,,,1,0
"2020-03-06","IRN","Alborz",1,1,1,1,1,0,0,0,256,365,2712400,06mar2020,5,3,2020,6,"Alborz",0,5.545177,.7009902,0,,,1,0
"2020-03-07","IRN","Alborz",1,1,1,1,1,0,0,0,259,368,2712400,07mar2020,6,3,2020,7,"Alborz",0,5.556828,.0116506,0,,,1,0
"2020-03-08","IRN","Alborz",1,1,1,1,1,0,0,0,261,370,2712400,08mar2020,0,3,2020,8,"Alborz",0,5.56452,.0076923,0,,,1,0
"2020-03-09","IRN","Alborz",1,1,1,1,1,0,0,0,261,370,2712400,09mar2020,1,3,2020,9,"Alborz",0,5.56452,0,0,,,1,0
"2020-03-10","IRN","Alborz",1,1,1,1,1,0,0,0,293,402,2712400,10mar2020,2,3,2020,10,"Alborz",0,5.680172,.1156521,0,,,1,0
"2020-03-11","IRN","Alborz",1,1,1,1,1,0,0,0,338,447,2712400,11mar2020,3,3,2020,11,"Alborz",0,5.823046,.1428733,0,,,1,0
"2020-03-12","IRN","Alborz",1,1,1,1,1,0,0,0,412,521,2712400,12mar2020,4,3,2020,12,"Alborz",0,6.021023,.1979775,0,,,1,0
"2020-03-13","IRN","Alborz",1,1,1,1,1,1,1,0,418,527,2712400,13mar2020,5,3,2020,13,"Alborz",0,6.035481,.0144582,1,,,1,1
"2020-03-14","IRN","Alborz",1,1,1,1,1,1,1,0,552,661,2712400,14mar2020,6,3,2020,14,"Alborz",0,6.313548,.2780666,0,,,1,1
