policy	lag	position	beta	lower_CI	upper_CI	L10_at	L10_b	L10_ll1	L10_ul1	L15_at	L15_b	L15_ll1	L15_ul1
"Social distance"	5	.5	.1074816	-.0033799	.218343	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"Social distance"	4	.6	.1044703	-.0095266	.2184673	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"Social distance"	3	.7	.126526	.0130327	.2400193	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"Social distance"	2	.8	.1048718	-.0451225	.254866	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"Social distance"	1	.9	.1062953	-.0313486	.2439392	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"Social distance"	0	1	.1478651	.0119445	.2837856	0	.014408	-.0759154	.1047315	-.5	-.018564	-.0866328	.0495048
"School closure"	5	1.5	-.07139	-.1374333	-.0053468	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"School closure"	4	1.6	-.069591	-.1342269	-.0049551	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"School closure"	3	1.7	-.0893026	-.1676877	-.0109175	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"School closure"	2	1.8	-.0822049	-.1869558	.022546	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"School closure"	1	1.9	-.0711253	-.1794962	.0372457	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"School closure"	0	2	-.1061947	-.2480475	.035658	1	.0024214	-.0393894	.0442322	.5	-.0530175	-.099668	-.006367
"Travel ban"	5	2.5	-.0975124	-.2780244	.0829996	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Travel ban"	4	2.6	-.102154	-.2999253	.0956172	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Travel ban"	3	2.7	-.1394011	-.2904547	.0116525	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Travel ban"	2	2.8	-.2083149	-.3420047	-.074625	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Travel ban"	1	2.9	-.0829117	-.2502992	.0844758	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Travel ban"	0	3	-.3028516	-.6011587	-.0045444	2	.0786082	-.1065862	.2638025	1.5	.0561385	-.0096151	.1218922
"Quarantine positive cases"	5	3.5	-.0332326	-.0823376	.0158724	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Quarantine positive cases"	4	3.6	-.0514094	-.1029812	.0001624	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Quarantine positive cases"	3	3.7	-.0633747	-.1118978	-.0148516	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Quarantine positive cases"	2	3.8	-.07184	-.1254403	-.0182397	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Quarantine positive cases"	1	3.9	-.0932934	-.1489344	-.0376524	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Quarantine positive cases"	0	4	-.0755941	-.1776408	.0264527	3	-.0176784	-.0555459	.020189	2.5	-.0186309	-.0500061	.0127443
"Business closure"	5	4.5	-.1984286	-.3203202	-.076537	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Business closure"	4	4.6	-.218643	-.3528683	-.0844177	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Business closure"	3	4.7	-.2113646	-.2846072	-.1381221	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Business closure"	2	4.8	-.1720225	-.2497793	-.0942656	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Business closure"	1	4.9	-.2862055	-.3914732	-.1809379	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Business closure"	0	5	-.1419098	-.3576487	.073829	4	-.2385545	-.3744418	-.1026671	3.5	-.0927973	-.148785	-.0368096
"Home isolation"	5	5.5	.0080816	-.0643019	.0804651	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
"Home isolation"	4	5.6	.0497344	-.0310593	.1305281	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
"Home isolation"	3	5.7	.0689416	-.0056623	.1435456	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
"Home isolation"	2	5.8	.0789251	-.0025191	.1603694	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
"Home isolation"	1	5.9	.121553	.0426622	.2004438	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
"Home isolation"	0	6	.0693517	-.0517138	.1904171	5	-.0128811	-.0569755	.0312134	4.5	-.0550385	-.1175964	.0075194
