adm0,policy,beta,se
"ITA","p_1",.148,.067
"ITA","p_2",-.106,.07
"ITA","p_3",-.303,.147
"ITA","p_4",-.076,.05
"ITA","p_5",-.142,.107
"ITA","p_6",.069,.06
"ITA","comb. policy",-.409,.119
"ITA","no_policy rate",.373,.04
