adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"France",21995,.1871744,.1626641,.2116846,.348193,.2684039,.4279821,,,
"France",21996,.1873898,.1628795,.2119,.3484084,.2686194,.4281975,,,
"France",21997,.1386728,.1099259,.1674197,.3044479,.2246588,.384237,,,
"France",21998,.1145879,.0858409,.1433348,.2803629,.2005739,.360152,,,
"France",21999,.152578,.1238311,.181325,.3183531,.238564,.3981422,,,
"France",21978,.3288661,.249077,.4086552,.3288661,.249077,.4086552,,,
"France",21979,.3683547,.2885656,.4481438,.3683547,.2885656,.4481438,,,
"France",21980,.3769641,.297175,.4567532,.3769641,.297175,.4567532,,,
"France",21981,.358706,.2789169,.4384951,.358706,.2789169,.4384951,,,
"France",21983,.2695573,.2030138,.3361008,.3149609,.2351718,.39475,,,
"France",21984,.2454724,.1789289,.3120159,.2908759,.2110868,.370665,,,
"France",21985,.2607608,.1973832,.3241384,.3288661,.249077,.4086552,,,
"France",21986,.3002494,.2368718,.363627,.3683547,.2885656,.4481438,,,
"France",21987,.2634552,.1978069,.3291036,.3769641,.297175,.4567532,,,
"France",21988,.2451972,.1795488,.3108456,.358706,.2789169,.4384951,,,
"France",21989,.1900533,.1156423,.2644643,.3273442,.2337698,.4209187,,,
"France",21990,.1729679,.1602973,.1856384,.3149609,.2351718,.39475,,,
"France",21991,.1298572,.105347,.1543675,.2908759,.2110868,.370665,,,
"France",21992,.1678474,.1433372,.1923576,.3288661,.249077,.4086552,,,
"France",21993,.207336,.1828258,.2318462,.3683547,.2885656,.4481438,,,
"France",21994,.2159454,.1914352,.2404556,.3769641,.297175,.4567532,,,
"France",21995,.1976873,.1731771,.2221975,.358706,.2789169,.4384951,,,
"France",21996,.1979027,.1733925,.2224129,.3589214,.2791323,.4387105,,,
"France",21997,.1491858,.1204389,.1779327,.3149609,.2351718,.39475,,,
"France",21998,.1251008,.0963539,.1538478,.2908759,.2110868,.370665,,,
"France",21999,.163091,.1343441,.191838,.3288661,.249077,.4086552,,,
"France",21981,.4193748,.3395857,.4991639,.4193748,.3395857,.4991639,,,
"France",21982,.3741867,.3076432,.4407302,.4195902,.3398011,.4993793,,,
"France",21983,.2574187,.231913,.2829245,.3756297,.2958406,.4554188,,,
"France",21984,.2333338,.207828,.2588395,.3515447,.2717556,.4313338,,,
"France",21985,.2486222,.2140471,.2831973,.3895349,.3097458,.469324,,,
"France",21986,.2881108,.2535357,.3226858,.4290235,.3492344,.5088125,,,
"France",21987,.2513166,.1929998,.3096334,.4376329,.3578438,.517422,,,
"France",21988,.2330585,.1747417,.2913754,.4193748,.3395857,.4991639,,,
"France",21989,.1779147,.1478895,.2079399,.388013,.2944386,.4815875,,,
"France",21990,.1655313,.1269446,.204118,.3756297,.2958406,.4554188,,,
"France",21991,.1224207,.0942852,.1505562,.3515447,.2717556,.4313338,,,
"France",21992,.1604109,.1322754,.1885464,.3895349,.3097458,.469324,,,
"France",21993,.1998995,.171764,.228035,.4290235,.3492344,.5088125,,,
"France",21994,.2085089,.1803734,.2366444,.4376329,.3578438,.517422,,,
"France",21995,.1902508,.1621154,.2183863,.4193748,.3395857,.4991639,,,
"France",21996,.1904662,.1623307,.2186017,.4195902,.3398011,.4993793,,,
"France",21997,.1417493,.1146779,.1688206,.3756297,.2958406,.4554188,,,
"France",21998,.1176643,.090593,.1447357,.3515447,.2717556,.4313338,,,
"France",21999,.1556545,.1285831,.1827258,.3895349,.3097458,.469324,,,
"France",21977,.2408024,.2054879,.2761168,.290908,.2111189,.3706971,,,
"France",21978,.2787926,.2434781,.314107,.3288982,.2491091,.4086873,,,
"France",21979,.3182811,.2829667,.3535956,.3683868,.2885977,.4481758,,,
"France",21980,.3268905,.2915761,.362205,.3769962,.2972071,.4567853,,,
"France",21981,.3086325,.273318,.3439469,.3587381,.278949,.4385272,,,
"France",21982,.2634443,.241592,.2852966,.3589535,.2791644,.4387426,,,
"France",21983,.1740802,.1395051,.2086553,.314993,.2352039,.3947821,,,
"France",21984,.1499953,.1154202,.1845704,.290908,.2111189,.3706971,,,
"France",21985,.1652837,.119325,.2112425,.3288982,.2491091,.4086873,,,
"France",21986,.2047723,.1588135,.250731,.3683868,.2885977,.4481758,,,
"France",21987,.1679782,.0968349,.2391215,.3769962,.2972071,.4567853,,,
"France",21988,.1497201,.0785768,.2208634,.3587381,.278949,.4385272,,,
"France",21989,.0945762,.0548411,.1343114,.3273763,.2338019,.4209508,,,
"France",21990,.0821929,.0304678,.1339179,.314993,.2352039,.3947821,,,
"France",21991,.0390823,0,.0790694,.290908,.2111189,.3706971,,,
"France",21992,.0770724,.0370853,.1170596,.3288982,.2491091,.4086873,,,
"France",21993,.116561,.0765739,.1565482,.3683868,.2885977,.4481758,,,
"France",21994,.1251704,.0851833,.1651576,.3769962,.2972071,.4567853,,,
"France",21995,.1069124,.0669252,.1468995,.3587381,.278949,.4385272,,,
"France",21996,.1071278,.0671406,.1471149,.3589535,.2791644,.4387426,,,
"France",21997,.0584108,.020392,.0964296,.314993,.2352039,.3947821,,,
"France",21998,.0343259,0,.0723447,.290908,.2111189,.3706971,,,
"France",21999,.072316,.0342972,.1103349,.3288982,.2491091,.4086873,,,
"France",21977,.4174595,.3376704,.4972486,.4174595,.3376704,.4972486,,,
"France",21978,.4507475,.3915513,.5099438,.4554496,.3756606,.5352387,,,
"France",21979,.4902361,.4310398,.5494324,.4949382,.4151492,.5747273,,,
"France",21980,.3853367,.3598309,.4108424,.5035476,.4237586,.5833367,,,
"France",21981,.3670786,.3415729,.3925844,.4852896,.4055005,.5650787,,,
"France",21982,.3218905,.2759317,.3678492,.485505,.4057159,.565294,,,
"France",21983,.2779299,.2319712,.3238887,.4415444,.3617553,.5213335,,,
"France",21984,.253845,.2078862,.2998037,.4174595,.3376704,.4972486,,,
"France",21985,.2691334,.2108166,.3274502,.4554496,.3756606,.5352387,,,
"France",21986,.3086219,.2503051,.3669388,.4949382,.4151492,.5747273,,,
"France",21987,.2718278,.1876033,.3560523,.5035476,.4237586,.5833367,,,
"France",21988,.2535698,.1693453,.3377942,.4852896,.4055005,.5650787,,,
"France",21989,.1984259,.1471606,.2496912,.4539278,.3603533,.5475022,,,
"France",21990,.1860425,.1209741,.251111,.4415444,.3617553,.5213335,,,
"France",21991,.1429319,.0902231,.1956407,.4174595,.3376704,.4972486,,,
"France",21992,.1809221,.1282133,.2336309,.4554496,.3756606,.5352387,,,
"France",21993,.2204107,.1677019,.2731195,.4949382,.4151492,.5747273,,,
"France",21994,.2290201,.1763113,.2817289,.5035476,.4237586,.5833367,,,
"France",21995,.210762,.1580532,.2634708,.4852896,.4055005,.5650787,,,
"France",21996,.2109774,.1582686,.2636862,.485505,.4057159,.565294,,,
"France",21997,.1622605,.1119626,.2125584,.4415444,.3617553,.5213335,,,
"France",21998,.1381755,.0878776,.1884734,.4174595,.3376704,.4972486,,,
"France",21999,.1761657,.1258678,.2264636,.4554496,.3756606,.5352387,,,
"France",21981,.3040535,.2242645,.3838426,.3040535,.2242645,.3838426,,,
"France",21982,.2588654,.1923219,.3254089,.3042689,.2244799,.384058,,,
"France",21983,.2149049,.1483614,.2814484,.2603084,.1805193,.3400975,,,
"France",21984,.1908199,.1242764,.2573634,.2362235,.1564344,.3160125,,,
"France",21985,.2061083,.1427307,.2694859,.2742136,.1944246,.3540027,,,
"France",21986,.2455969,.1822193,.3089745,.3137022,.2339131,.3934913,,,
"France",21987,.2088028,.1431544,.2744511,.3223116,.2425225,.4021007,,,
