adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"ITA",18mar2020,.1770167,.1578837,.1961497,.3626429,.2252737,.5000121,,,
"ITA",19mar2020,.1926264,.1734934,.2117594,.3782526,.2408835,.5156218,,,
"ITA",20mar2020,.1864998,.1673669,.2056328,.3721261,.2347569,.5094953,,,
"ITA",21mar2020,.1735647,.1544318,.1926977,.359191,.2218218,.4965602,,,
"ITA",22mar2020,.0878762,.0715344,.1042181,.3923199,.2549507,.5296891,,,
"ITA",23mar2020,.045859,.0295172,.0622009,.3503027,.2129336,.4876719,,,
"ITA",24mar2020,.0509843,.0346425,.0673262,.355428,.2180589,.4927972,,,
"ITA",25mar2020,.0581992,.0418574,.0745411,.3626429,.2252737,.5000121,,,
"ITA",26mar2020,.0738089,.0574671,.0901508,.3782526,.2408835,.5156218,,,
"ITA",27mar2020,.0676824,.0513405,.0840242,.3721261,.2347569,.5094953,,,
"ITA",28mar2020,.0547473,.0384054,.0710891,.359191,.2218218,.4965602,,,
"ITA",29mar2020,.0878762,.0715344,.1042181,.3923199,.2549507,.5296891,,,
"ITA",30mar2020,.045859,.0295172,.0622009,.3503027,.2129336,.4876719,,,
"ITA",31mar2020,.0509843,.0346425,.0673262,.355428,.2180589,.4927972,,,
"ITA",01apr2020,.0581992,.0418574,.0745411,.3626429,.2252737,.5000121,,,
"ITA",02apr2020,.0738089,.0574671,.0901508,.3782526,.2408835,.5156218,,,
"ITA",03apr2020,.0676824,.0513405,.0840242,.3721261,.2347569,.5094953,,,
"ITA",04apr2020,.0547473,.0384054,.0710891,.359191,.2218218,.4965602,,,
"ITA",05apr2020,.0878762,.0715344,.1042181,.3923199,.2549507,.5296891,,,
"ITA",06apr2020,.045859,.0295172,.0622009,.3503027,.2129336,.4876719,,,
"ITA",10mar2020,.2244243,.1867341,.2621146,.3830477,.2456785,.5204169,,,
"ITA",11mar2020,.2046363,.1855033,.2237693,.3902625,.2528934,.5276317,,,
"ITA",12mar2020,.220246,.201113,.239379,.4058723,.2685031,.5432414,,,
"ITA",13mar2020,.2141195,.1949865,.2332525,.3997457,.2623765,.5371149,,,
"ITA",14mar2020,.2011844,.1820514,.2203174,.3868106,.2494414,.5241798,,,
"ITA",15mar2020,.2343133,.2151803,.2534463,.4199395,.2825704,.5573087,,,
"ITA",16mar2020,.1922961,.1731631,.2114291,.3779224,.2405532,.5152915,,,
"ITA",17mar2020,.1974214,.1782885,.2165544,.3830477,.2456785,.5204169,,,
"ITA",18mar2020,.2046363,.1855033,.2237693,.3902625,.2528934,.5276317,,,
"ITA",19mar2020,.220246,.201113,.239379,.4058723,.2685031,.5432414,,,
"ITA",20mar2020,.2141195,.1949865,.2332525,.3997457,.2623765,.5371149,,,
"ITA",21mar2020,.2011844,.1820514,.2203174,.3868106,.2494414,.5241798,,,
"ITA",22mar2020,.1154959,.099154,.1318377,.4199395,.2825704,.5573087,,,
"ITA",23mar2020,.0734787,.0571368,.0898205,.3779224,.2405532,.5152915,,,
"ITA",24mar2020,.078604,.0622621,.0949458,.3830477,.2456785,.5204169,,,
"ITA",25mar2020,.0858189,.069477,.1021607,.3902625,.2528934,.5276317,,,
"ITA",26mar2020,.1014286,.0850867,.1177704,.4058723,.2685031,.5432414,,,
"ITA",27mar2020,.095302,.0789602,.1116439,.3997457,.2623765,.5371149,,,
"ITA",28mar2020,.0823669,.0660251,.0987088,.3868106,.2494414,.5241798,,,
"ITA",29mar2020,.1154959,.099154,.1318377,.4199395,.2825704,.5573087,,,
