adm0,policy,beta,se
"FRA","national_lockdown",-.048,.025
"FRA","school_closure",-.005,.039
"FRA","pck_social_distanc",-.227,.07
"FRA","comb. policy",-.279,.058
"FRA","no_policy rate",.345,.061
