date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-20,IRN,Tehran,0,0,0,0,0,0,0,0,0.0,0,13267637.0
2020-02-20,IRN,West Azarbaijan,0,0,0,0,0,0,0,0,0.0,0,3265219.0
2020-02-20,IRN,Yazd,0,0,0,0,0,0,0,0,0.0,0,1138533.0
2020-02-20,IRN,Zanjan,0,0,0,0,0,0,0,0,0.0,0,1057461.0
2020-02-21,IRN,Alborz,0,0,0,0,0,0,0,0,0.0,0,2712400.0
2020-02-21,IRN,Ardebil,0,0,0,0,0,0,0,0,0.0,0,1270420.0
2020-02-21,IRN,Bushehr,0,0,0,0,0,0,0,0,0.0,0,1163400.0
2020-02-21,IRN,Chahar Mahall and Bakhtiari,0,0,0,0,0,0,0,0,0.0,0,947763.0
2020-02-21,IRN,East Azarbaijan,0,0,0,0,0,0,0,0,0.0,0,3909652.0
2020-02-21,IRN,Esfahan,0,0,0,0,0,0,0,0,0.0,0,5120850.0
2020-02-21,IRN,Fars,0,0,0,0,0,0,0,0,0.0,0,4851274.0
2020-02-21,IRN,Gilan,0,0,0,0,0,0,0,0,2.0,2,2530696.0
2020-02-21,IRN,Golestan,0,0,0,0,0,0,0,0,0.0,0,1868819.0
2020-02-21,IRN,Hamadan,0,0,0,0,0,0,0,0,0.0,0,1738234.0
2020-02-21,IRN,Hormozgan,0,0,0,0,0,0,0,0,0.0,0,1776415.0
2020-02-21,IRN,Ilam,0,0,0,0,0,0,0,0,0.0,0,580158.0
2020-02-21,IRN,Kerman,0,0,0,0,0,0,0,0,0.0,0,3164718.0
2020-02-21,IRN,Kermanshah,0,0,0,0,0,0,0,0,0.0,0,1952434.0
2020-02-21,IRN,Khuzestan,0,0,0,0,0,0,0,0,0.0,0,4710509.0
2020-02-21,IRN,Kohgiluyeh and Buyer Ahmad,0,0,0,0,0,0,0,0,0.0,0,713052.0
2020-02-21,IRN,Kordestan,0,0,0,0,0,0,0,0,0.0,0,1603011.0
2020-02-21,IRN,Lorestan,0,0,0,0,0,0,0,0,0.0,0,1760649.0
2020-02-21,IRN,Markazi,0,0,0,0,0,0,0,0,1.0,1,1429475.0
2020-02-21,IRN,Mazandaran,0,0,0,0,0,0,0,0,0.0,0,3283582.0
2020-02-21,IRN,North Khorasan,0,0,0,0,0,0,0,0,0.0,0,863092.0
2020-02-21,IRN,Qazvin,0,0,0,0,0,0,0,0,0.0,0,1273761.0
2020-02-21,IRN,Qom,1,1,0,0,0,0,0,0,11.0,11,1292283.0
2020-02-21,IRN,Razavi Khorasan,0,0,0,0,0,0,0,0,0.0,0,6434501.0
2020-02-21,IRN,Semnan,0,0,0,0,0,0,0,0,0.0,0,702360.0
2020-02-21,IRN,Sistan and Baluchestan,0,0,0,0,0,0,0,0,0.0,0,2775014.0
2020-02-21,IRN,South Khorasan,0,0,0,0,0,0,0,0,0.0,0,768898.0
2020-02-21,IRN,Tehran,0,0,0,0,0,0,0,0,4.0,4,13267637.0
2020-02-21,IRN,West Azarbaijan,0,0,0,0,0,0,0,0,0.0,0,3265219.0
2020-02-21,IRN,Yazd,0,0,0,0,0,0,0,0,0.0,0,1138533.0
2020-02-21,IRN,Zanjan,0,0,0,0,0,0,0,0,0.0,0,1057461.0
2020-02-22,IRN,Alborz,0,0,1,0,0,0,0,0,0.0,0,2712400.0
2020-02-22,IRN,Ardebil,0,0,1,0,0,0,0,0,0.0,0,1270420.0
2020-02-22,IRN,Bushehr,0,0,1,0,0,0,0,0,0.0,0,1163400.0
2020-02-22,IRN,Chahar Mahall and Bakhtiari,0,0,1,0,0,0,0,0,0.0,0,947763.0
2020-02-22,IRN,East Azarbaijan,0,0,1,0,0,0,0,0,0.0,0,3909652.0
2020-02-22,IRN,Esfahan,0,0,1,0,0,0,0,0,0.0,0,5120850.0
2020-02-22,IRN,Fars,0,0,1,0,0,0,0,0,0.0,0,4851274.0
2020-02-22,IRN,Gilan,0,0,1,0,0,0,0,0,2.0,2,2530696.0
2020-02-22,IRN,Golestan,0,0,1,0,0,0,0,0,0.0,0,1868819.0
2020-02-22,IRN,Hamadan,0,0,1,0,0,0,0,0,0.0,0,1738234.0
2020-02-22,IRN,Hormozgan,0,0,1,0,0,0,0,0,0.0,0,1776415.0
2020-02-22,IRN,Ilam,0,0,1,0,0,0,0,0,0.0,0,580158.0
2020-02-22,IRN,Kerman,0,0,1,0,0,0,0,0,0.0,0,3164718.0
2020-02-22,IRN,Kermanshah,0,0,1,0,0,0,0,0,0.0,0,1952434.0
2020-02-22,IRN,Khuzestan,0,0,1,0,0,0,0,0,0.0,0,4710509.0
2020-02-22,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,0,0,0,0,0,0.0,0,713052.0
2020-02-22,IRN,Kordestan,0,0,1,0,0,0,0,0,0.0,0,1603011.0
2020-02-22,IRN,Lorestan,0,0,1,0,0,0,0,0,0.0,0,1760649.0
2020-02-22,IRN,Markazi,0,0,1,0,0,0,0,0,1.0,1,1429475.0
2020-02-22,IRN,Mazandaran,0,0,1,0,0,0,0,0,0.0,0,3283582.0
2020-02-22,IRN,North Khorasan,0,0,1,0,0,0,0,0,0.0,0,863092.0
2020-02-22,IRN,Qazvin,0,0,1,0,0,0,0,0,0.0,0,1273761.0
2020-02-22,IRN,Qom,1,1,1,0,0,0,0,0,19.0,19,1292283.0
2020-02-22,IRN,Razavi Khorasan,0,0,1,0,0,0,0,0,0.0,0,6434501.0
2020-02-22,IRN,Semnan,0,0,1,0,0,0,0,0,0.0,0,702360.0
2020-02-22,IRN,Sistan and Baluchestan,0,0,1,0,0,0,0,0,0.0,0,2775014.0
2020-02-22,IRN,South Khorasan,0,0,1,0,0,0,0,0,0.0,0,768898.0
2020-02-22,IRN,Tehran,0,0,1,0,0,0,0,0,6.0,6,13267637.0
2020-02-22,IRN,West Azarbaijan,0,0,1,0,0,0,0,0,0.0,0,3265219.0
2020-02-22,IRN,Yazd,0,0,1,0,0,0,0,0,0.0,0,1138533.0
2020-02-22,IRN,Zanjan,0,0,1,0,0,0,0,0,0.0,0,1057461.0
2020-02-23,IRN,Alborz,1,0,1,0,0,0,0,0,0.0,0,2712400.0
2020-02-23,IRN,Ardebil,1,0,1,0,0,0,0,0,0.0,0,1270420.0
2020-02-23,IRN,Bushehr,0,0,1,0,0,0,0,0,0.0,0,1163400.0
2020-02-23,IRN,Chahar Mahall and Bakhtiari,0,0,1,0,0,0,0,0,0.0,0,947763.0
2020-02-23,IRN,East Azarbaijan,0,0,1,0,0,0,0,0,0.0,0,3909652.0
2020-02-23,IRN,Esfahan,0,0,1,0,0,0,0,0,0.0,0,5120850.0
2020-02-23,IRN,Fars,0,0,1,0,0,0,0,0,0.0,0,4851274.0
2020-02-23,IRN,Gilan,1,0,1,0,0,0,0,0,4.0,4,2530696.0
2020-02-23,IRN,Golestan,1,0,1,0,0,0,0,0,0.0,0,1868819.0
2020-02-23,IRN,Hamadan,1,0,1,0,0,0,0,0,0.0,0,1738234.0
2020-02-23,IRN,Hormozgan,0,0,1,0,0,0,0,0,0.0,0,1776415.0
2020-02-23,IRN,Ilam,0,0,1,0,0,0,0,0,0.0,0,580158.0
2020-02-23,IRN,Kerman,0,0,1,0,0,0,0,0,0.0,0,3164718.0
2020-02-23,IRN,Kermanshah,1,0,1,0,0,0,0,0,0.0,0,1952434.0
2020-02-23,IRN,Khuzestan,0,0,1,0,0,0,0,0,0.0,0,4710509.0
2020-02-23,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,0,0,0,0,0,0.0,0,713052.0
2020-02-23,IRN,Kordestan,1,0,1,0,0,0,0,0,0.0,0,1603011.0
2020-02-23,IRN,Lorestan,0,0,1,0,0,0,0,0,0.0,0,1760649.0
2020-02-23,IRN,Markazi,1,0,1,0,0,0,0,0,2.0,2,1429475.0
2020-02-23,IRN,Mazandaran,1,0,1,0,0,0,0,0,1.0,1,3283582.0
2020-02-23,IRN,North Khorasan,0,0,1,0,0,0,0,0,0.0,0,863092.0
2020-02-23,IRN,Qazvin,1,0,1,0,0,0,0,0,0.0,0,1273761.0
2020-02-23,IRN,Qom,1,1,1,0,0,0,0,0,26.0,26,1292283.0
2020-02-23,IRN,Razavi Khorasan,0,0,1,0,0,0,0,0,0.0,0,6434501.0
2020-02-23,IRN,Semnan,1,0,1,0,0,0,0,0,0.0,0,702360.0
2020-02-23,IRN,Sistan and Baluchestan,0,0,1,0,0,0,0,0,0.0,0,2775014.0
2020-02-23,IRN,South Khorasan,0,0,1,0,0,0,0,0,0.0,0,768898.0
2020-02-23,IRN,Tehran,1,0,1,0,0,0,0,0,10.0,10,13267637.0
2020-02-23,IRN,West Azarbaijan,0,0,1,0,0,0,0,0,0.0,0,3265219.0
2020-02-23,IRN,Yazd,0,0,1,0,0,0,0,0,0.0,0,1138533.0
2020-02-23,IRN,Zanjan,1,0,1,0,0,0,0,0,0.0,0,1057461.0
2020-02-24,IRN,Alborz,1,0,1,1,0,0,0,0,0.0,0,2712400.0
2020-02-24,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0,1270420.0
