The following policies are kept for informational purposes only,,,,,
date,Policy type,Locations affected,Details,Source,Cancelled
2/24/2020,International travel ban,None,"[Note: This only affects people trying to travel *out of* Iran, so won't affect the infection rate in the country.] Iran’s neighbours close borders:   – Saudi Arabia, Kuwait, Iraq, Turkey and Afghanistan imposed travel and immigration restrictions on Iran, which was the first to report deaths in the Middle East region.  – Turkey, Pakistan, Afghanistan and Armenia also closed their borders with Iran.",https://www.pharmaceutical-technology.com/news/coronavirus-a-timeline-of-how-the-deadly-outbreak-evolved/,
3/3/2020,Widespread screening,None,"The health minister, Saeed Namaki, on Sunday announced a plan to dispatch a force of 300,000 plainclothes Basij militiamen that would go house to house to screen residents and disinfect their homes.  Iranian doctors and politicians immediately criticized the plan, saying that untrained militiamen were more likely to spread the virus than to contain it.  The latest plan announced on Thursday did not mention door-to-door screening.   ","https://www.nytimes.com/2020/03/03/world/middleeast/coronavirus-iran.html, https://www.cnbc.com/2020/03/01/reuters-america-update-3-irans-coronavirus-death-toll-jumps-to-54-with-978-infected.html","[This plan was cancelled. https://www.dailymail.co.uk/news/article-8082443/ANOTHER-senior-Iranian-official-dies-coronavirus.html]  On Sunday, Namaki had said that 300,000 teams, including members of the Basij militia, would be sent out to perform door-to-door coronavirus screening.  The plan sparked criticism from Iranians online about the possibility of the teams spreading, rather than stopping, infections."
