adm0,policy,beta,se
"IRN","p_1",-.285,.079
"IRN","p_2",-.151,.033
"IRN","comb. policy",-.436,.068
"IRN","no_policy rate",.527,.051
"IRN_Tehran","comb. policy",-.522,.069
"IRN_Tehran","no_policy rate",.598,.015
