t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
28feb2020,,.619378,.4897308,.7490252,,.619378,.4897308,.7490252
29feb2020,,.5039412,.374294,.6335884,,.5039412,.374294,.6335884
01mar2020,,.5190889,.4684862,.5696916,,.48616,.3565129,.6158072
05mar2020,,.2967486,.2356556,.3578416,,.5259932,.396346,.6556404
06mar2020,,.3901334,.3290403,.4512263,,.619378,.4897308,.7490252
07mar2020,,.2746965,.2136036,.3357895,,.5039412,.374294,.6335884
08mar2020,,.2569154,.1958224,.3180084,,.48616,.3565129,.6158072
09mar2020,,.2738305,.2127375,.3349235,,.5030751,.3734279,.6327223
10mar2020,,.2569648,.1958718,.3180578,,.4862095,.3565623,.6158566
11mar2020,,.2333892,.1722962,.2944822,,.4626338,.3329867,.592281
12mar2020,,.2967486,.2356556,.3578416,,.5259932,.396346,.6556404
13mar2020,,.160767,0,.324468,,.5397634,.2554492,.8240775
14mar2020,,.1249448,.0822162,.1676734,,.5039412,.374294,.6335884
15mar2020,,.1071637,.0644351,.1498923,,.48616,.3565129,.6158072
16mar2020,,.1240788,.0813502,.1668073,,.5030751,.3734279,.6327223
17mar2020,,.1072131,.0644845,.1499417,,.4862095,.3565623,.6158566
18mar2020,,.0836375,.0409089,.126366,,.4626338,.3329867,.592281
19mar2020,,.1469969,.1042683,.1897254,,.5259932,.396346,.6556404
20mar2020,,.2403816,.197653,.2831102,,.619378,.4897308,.7490252
21mar2020,,.1249448,.0822162,.1676734,,.5039412,.374294,.6335884
22mar2020,,.1071637,.0644351,.1498923,,.48616,.3565129,.6158072
01mar2020,,.4725936,.4219909,.5231963,,.4396648,.3100176,.569312
05mar2020,,.2502533,.1891604,.3113463,,.479498,.3498508,.6091452
06mar2020,,.3436381,.2825451,.4047311,,.5728827,.4432355,.7025299
07mar2020,,.2282013,.1671083,.2892943,,.4574459,.3277987,.5870931
08mar2020,,.2104202,.1493272,.2715132,,.4396648,.3100176,.569312
