adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"FRA","10mar2020",.2333338,.207828,.2588395,.3515447,.2717556,.4313338,,,
"FRA","11mar2020",.2486222,.2140471,.2831973,.3895349,.3097458,.469324,,,
"FRA","12mar2020",.2881108,.2535357,.3226858,.4290235,.3492344,.5088125,,,
"FRA","13mar2020",.2513166,.1929998,.3096334,.4376329,.3578438,.517422,,,
"FRA","14mar2020",.2330585,.1747417,.2913754,.4193748,.3395857,.4991639,,,
"FRA","15mar2020",.1779147,.1478895,.2079399,.388013,.2944386,.4815875,,,
"FRA","16mar2020",.1655313,.1269446,.204118,.3756297,.2958406,.4554188,,,
"FRA","17mar2020",.1224207,.0942852,.1505562,.3515447,.2717556,.4313338,,,
"FRA","18mar2020",.1604109,.1322754,.1885464,.3895349,.3097458,.469324,,,
"FRA","19mar2020",.1998995,.171764,.228035,.4290235,.3492344,.5088125,,,
"FRA","20mar2020",.2085089,.1803734,.2366444,.4376329,.3578438,.517422,,,
"FRA","21mar2020",.1902508,.1621154,.2183863,.4193748,.3395857,.4991639,,,
"FRA","22mar2020",.1904662,.1623307,.2186017,.4195902,.3398011,.4993793,,,
"FRA","23mar2020",.1417493,.1146779,.1688206,.3756297,.2958406,.4554188,,,
"FRA","24mar2020",.1176643,.090593,.1447357,.3515447,.2717556,.4313338,,,
"FRA","25mar2020",.1556545,.1285831,.1827258,.3895349,.3097458,.469324,,,
"FRA","03mar2020",.2408024,.2054879,.2761168,.290908,.2111189,.3706971,,,
"FRA","04mar2020",.2787926,.2434781,.314107,.3288982,.2491091,.4086873,,,
"FRA","05mar2020",.3182811,.2829667,.3535956,.3683868,.2885977,.4481758,,,
"FRA","06mar2020",.3268905,.2915761,.362205,.3769962,.2972071,.4567853,,,
"FRA","07mar2020",.3086325,.273318,.3439469,.3587381,.278949,.4385272,,,
"FRA","08mar2020",.2634443,.241592,.2852966,.3589535,.2791644,.4387426,,,
"FRA","09mar2020",.1740802,.1395051,.2086553,.314993,.2352039,.3947821,,,
"FRA","10mar2020",.1499953,.1154202,.1845704,.290908,.2111189,.3706971,,,
"FRA","11mar2020",.1652837,.119325,.2112425,.3288982,.2491091,.4086873,,,
"FRA","12mar2020",.2047723,.1588135,.250731,.3683868,.2885977,.4481758,,,
"FRA","13mar2020",.1679782,.0968349,.2391215,.3769962,.2972071,.4567853,,,
"FRA","14mar2020",.1497201,.0785768,.2208634,.3587381,.278949,.4385272,,,
"FRA","15mar2020",.0945762,.0548411,.1343114,.3273763,.2338019,.4209508,,,
"FRA","16mar2020",.0821929,.0304678,.1339179,.314993,.2352039,.3947821,,,
"FRA","17mar2020",.0390823,0,.0790694,.290908,.2111189,.3706971,,,
"FRA","18mar2020",.0770724,.0370853,.1170596,.3288982,.2491091,.4086873,,,
"FRA","19mar2020",.116561,.0765739,.1565482,.3683868,.2885977,.4481758,,,
"FRA","20mar2020",.1251704,.0851833,.1651576,.3769962,.2972071,.4567853,,,
"FRA","21mar2020",.1069124,.0669252,.1468995,.3587381,.278949,.4385272,,,
"FRA","22mar2020",.1071278,.0671406,.1471149,.3589535,.2791644,.4387426,,,
"FRA","23mar2020",.0584108,.020392,.0964296,.314993,.2352039,.3947821,,,
"FRA","24mar2020",.0343259,0,.0723447,.290908,.2111189,.3706971,,,
"FRA","25mar2020",.072316,.0342972,.1103349,.3288982,.2491091,.4086873,,,
"FRA","03mar2020",.4174595,.3376704,.4972486,.4174595,.3376704,.4972486,,,
"FRA","04mar2020",.4507475,.3915513,.5099438,.4554496,.3756606,.5352387,,,
"FRA","05mar2020",.4902361,.4310398,.5494324,.4949382,.4151492,.5747273,,,
"FRA","06mar2020",.3853367,.3598309,.4108424,.5035476,.4237586,.5833367,,,
"FRA","07mar2020",.3670786,.3415729,.3925844,.4852896,.4055005,.5650787,,,
"FRA","08mar2020",.3218905,.2759317,.3678492,.485505,.4057159,.565294,,,
"FRA","09mar2020",.2779299,.2319712,.3238887,.4415444,.3617553,.5213335,,,
"FRA","10mar2020",.253845,.2078862,.2998037,.4174595,.3376704,.4972486,,,
"FRA","11mar2020",.2691334,.2108166,.3274502,.4554496,.3756606,.5352387,,,
"FRA","12mar2020",.3086219,.2503051,.3669388,.4949382,.4151492,.5747273,,,
"FRA","13mar2020",.2718278,.1876033,.3560523,.5035476,.4237586,.5833367,,,
"FRA","14mar2020",.2535698,.1693453,.3377942,.4852896,.4055005,.5650787,,,
"FRA","15mar2020",.1984259,.1471606,.2496912,.4539278,.3603533,.5475022,,,
"FRA","16mar2020",.1860425,.1209741,.251111,.4415444,.3617553,.5213335,,,
"FRA","17mar2020",.1429319,.0902231,.1956407,.4174595,.3376704,.4972486,,,
"FRA","18mar2020",.1809221,.1282133,.2336309,.4554496,.3756606,.5352387,,,
"FRA","19mar2020",.2204107,.1677019,.2731195,.4949382,.4151492,.5747273,,,
"FRA","20mar2020",.2290201,.1763113,.2817289,.5035476,.4237586,.5833367,,,
"FRA","21mar2020",.210762,.1580532,.2634708,.4852896,.4055005,.5650787,,,
"FRA","22mar2020",.2109774,.1582686,.2636862,.485505,.4057159,.565294,,,
"FRA","23mar2020",.1622605,.1119626,.2125584,.4415444,.3617553,.5213335,,,
"FRA","24mar2020",.1381755,.0878776,.1884734,.4174595,.3376704,.4972486,,,
"FRA","25mar2020",.1761657,.1258678,.2264636,.4554496,.3756606,.5352387,,,
"FRA","07mar2020",.3040535,.2242645,.3838426,.3040535,.2242645,.3838426,,,
"FRA","08mar2020",.2588654,.1923219,.3254089,.3042689,.2244799,.384058,,,
"FRA","09mar2020",.2149049,.1483614,.2814484,.2603084,.1805193,.3400975,,,
"FRA","10mar2020",.1908199,.1242764,.2573634,.2362235,.1564344,.3160125,,,
"FRA","11mar2020",.2061083,.1427307,.2694859,.2742136,.1944246,.3540027,,,
"FRA","12mar2020",.2455969,.1822193,.3089745,.3137022,.2339131,.3934913,,,
"FRA","13mar2020",.2088028,.1431544,.2744511,.3223116,.2425225,.4021007,,,
"FRA","14mar2020",.1905447,.1248963,.2561931,.3040535,.2242645,.3838426,,,
"FRA","15mar2020",.1354008,.0609898,.2098119,.2726918,.1791173,.3662662,,,
"FRA","16mar2020",.1183154,.1056448,.130986,.2603084,.1805193,.3400975,,,
"FRA","17mar2020",.0752048,.0506946,.099715,.2362235,.1564344,.3160125,,,
"FRA","18mar2020",.113195,.0886847,.1377052,.2742136,.1944246,.3540027,,,
"FRA","19mar2020",.1526835,.1281733,.1771937,.3137022,.2339131,.3934913,,,
"FRA","20mar2020",.1612929,.1367827,.1858032,.3223116,.2425225,.4021007,,,
"FRA","21mar2020",.1430349,.1185247,.1675451,.3040535,.2242645,.3838426,,,
"FRA","22mar2020",.1432503,.1187401,.1677605,.3042689,.2244799,.384058,,,
"FRA","23mar2020",.0945333,.0657864,.1232802,.2603084,.1805193,.3400975,,,
"FRA","24mar2020",.0704484,.0417014,.0991953,.2362235,.1564344,.3160125,,,
"FRA","25mar2020",.1084385,.0796916,.1371855,.2742136,.1944246,.3540027,,,
"FRA","03mar2020",.2148322,.1556359,.2740285,.2195343,.1397452,.2993234,,,
"FRA","04mar2020",.2528224,.1936261,.3120187,.2575245,.1777354,.3373136,,,
"FRA","05mar2020",.292311,.2331147,.3515072,.2970131,.217224,.3768021,,,
"FRA","06mar2020",.3009204,.2417241,.3601167,.3056225,.2258334,.3854116,,,
"FRA","07mar2020",.2826623,.223466,.3418586,.2873644,.2075753,.3671535,,,
"FRA","08mar2020",.2374742,.2021597,.2727886,.2875798,.2077907,.3673689,,,
"FRA","09mar2020",.1935136,.1581992,.2288281,.2436193,.1638302,.3234084,,,
"FRA","10mar2020",.1694287,.1341142,.2047431,.2195343,.1397452,.2993234,,,
"FRA","11mar2020",.1847171,.1587098,.2107244,.2575245,.1777354,.3373136,,,
"FRA","12mar2020",.2242057,.1981983,.250213,.2970131,.217224,.3768021,,,
"FRA","13mar2020",.1874115,.1619058,.2129173,.3056225,.2258334,.3854116,,,
"FRA","14mar2020",.1691535,.1436477,.1946592,.2873644,.2075753,.3671535,,,
"FRA","15mar2020",.1140096,.0808337,.1471855,.2560026,.1624282,.3495771,,,
"FRA","16mar2020",.1016263,.0889557,.1142968,.2436193,.1638302,.3234084,,,
"FRA","17mar2020",.0585156,.0340054,.0830259,.2195343,.1397452,.2993234,,,
"FRA","18mar2020",.0965058,.0719956,.121016,.2575245,.1777354,.3373136,,,
"FRA","19mar2020",.1359944,.1114842,.1605046,.2970131,.217224,.3768021,,,
"FRA","20mar2020",.1446038,.1200936,.169114,.3056225,.2258334,.3854116,,,
"FRA","21mar2020",.1263457,.1018355,.1508559,.2873644,.2075753,.3671535,,,
"FRA","22mar2020",.1265611,.1020509,.1510713,.2875798,.2077907,.3673689,,,
"FRA","23mar2020",.0778442,.0490972,.1065911,.2436193,.1638302,.3234084,,,
"FRA","24mar2020",.0537592,.0250123,.0825062,.2195343,.1397452,.2993234,,,
"FRA","25mar2020",.0917494,.0630025,.1204963,.2575245,.1777354,.3373136,,,
"FRA","07mar2020",.3725303,.2927412,.4523194,.3725303,.2927412,.4523194,,,
"FRA","08mar2020",.3273422,.2607987,.3938857,.3727457,.2929566,.4525348,,,
"FRA","09mar2020",.2833816,.2168381,.3499251,.3287852,.2489961,.4085743,,,
"FRA","10mar2020",.2592967,.1927532,.3258402,.3047002,.2249112,.3844893,,,
"FRA","11mar2020",.2745851,.2112075,.3379627,.3426904,.2629013,.4224795,,,
"FRA","12mar2020",.3093716,.2833642,.3353789,.382179,.3023899,.4619681,,,
"FRA","13mar2020",.2725774,.2470717,.2980832,.3907884,.3109993,.4705775,,,
"FRA","14mar2020",.2543194,.2288136,.2798251,.3725303,.2927412,.4523194,,,
"FRA","15mar2020",.1991755,.1659996,.2323514,.3411685,.2475941,.434743,,,
"FRA","16mar2020",.1867922,.1741216,.1994628,.3287852,.2489961,.4085743,,,
"FRA","17mar2020",.1436816,.1191713,.1681918,.3047002,.2249112,.3844893,,,
"FRA","18mar2020",.1816717,.1571615,.2061819,.3426904,.2629013,.4224795,,,
"FRA","19mar2020",.2211603,.1966501,.2456705,.382179,.3023899,.4619681,,,
"FRA","20mar2020",.2297697,.2052595,.2542799,.3907884,.3109993,.4705775,,,
"FRA","21mar2020",.2115117,.1870014,.2360219,.3725303,.2927412,.4523194,,,
"FRA","22mar2020",.211727,.1872168,.2362373,.3727457,.2929566,.4525348,,,
"FRA","23mar2020",.1630101,.1342632,.191757,.3287852,.2489961,.4085743,,,
"FRA","24mar2020",.1389251,.1101782,.1676721,.3047002,.2249112,.3844893,,,
"FRA","25mar2020",.1769153,.1481684,.2056623,.3426904,.2629013,.4224795,,,
"FRA","06mar2020",.3809817,.3011926,.4607708,.3809817,.3011926,.4607708,,,
"FRA","07mar2020",.3627236,.2829345,.4425127,.3627236,.2829345,.4425127,,,
"FRA","08mar2020",.3175355,.250992,.384079,.362939,.2831499,.4427281,,,
"FRA","09mar2020",.2735749,.2070314,.3401184,.3189785,.2391894,.3987676,,,
"FRA","10mar2020",.24949,.1829465,.3160335,.2948935,.2151044,.3746826,,,
