t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
30mar2020,.045442,0,.1200313,.3539463,.2725599,.4353327,,,
31mar2020,.0508951,0,.1254844,.3593994,.278013,.4407858,,,
01apr2020,.0583003,0,.1328896,.3668046,.2854182,.448191,,,
02apr2020,.0732121,0,.1478014,.3817164,.30033,.4631028,,,
03apr2020,.0670252,0,.1416145,.3755295,.2941431,.4569159,,,
04apr2020,.0540512,0,.1286405,.3625555,.2811691,.4439419,,,
05apr2020,.0875428,.0129535,.1621322,.3960471,.3146607,.4774335,,,
06apr2020,.045442,0,.1200313,.3539463,.2725599,.4353327,,,
10mar2020,.224486,.1352831,.3136889,.2813086,.1999222,.362695,,,
11mar2020,.2053377,.1212784,.2893971,.2887138,.2073274,.3701002,,,
12mar2020,.2202496,.1361902,.304309,.3036256,.2222393,.385012,,,
13mar2020,.2140626,.1300033,.298122,.2974387,.2160523,.3788251,,,
14mar2020,.2010886,.1170293,.285148,.2844647,.2030783,.3658511,,,
15mar2020,.2345803,.1505209,.3186397,.3179564,.23657,.3993428,,,
16mar2020,.1924794,.1084201,.2765388,.2758555,.1944691,.3572419,,,
17mar2020,.1979325,.1138732,.2819919,.2813086,.1999222,.362695,,,
18mar2020,.2053377,.1212784,.2893971,.2887138,.2073274,.3701002,,,
19mar2020,.2202496,.1361902,.304309,.3036256,.2222393,.385012,,,
20mar2020,.2140626,.1300033,.298122,.2974387,.2160523,.3788251,,,
21mar2020,.2010886,.1170293,.285148,.2844647,.2030783,.3658511,,,
22mar2020,.1154125,.0339136,.1969114,.3179564,.23657,.3993428,,,
23mar2020,.0733116,0,.1548105,.2758555,.1944691,.3572419,,,
24mar2020,.0787647,0,.1602636,.2813086,.1999222,.362695,,,
25mar2020,.0861699,.004671,.1676688,.2887138,.2073274,.3701002,,,
26mar2020,.1010817,.0195828,.1825807,.3036256,.2222393,.385012,,,
27mar2020,.0948948,.0133959,.1763937,.2974387,.2160523,.3788251,,,
28mar2020,.0819208,.0004219,.1634197,.2844647,.2030783,.3658511,,,
29mar2020,.1154125,.0339136,.1969114,.3179564,.23657,.3993428,,,
30mar2020,.0733116,0,.1548105,.2758555,.1944691,.3572419,,,
31mar2020,.0787647,0,.1602636,.2813086,.1999222,.362695,,,
01apr2020,.0861699,.004671,.1676688,.2887138,.2073274,.3701002,,,
02apr2020,.1010817,.0195828,.1825807,.3036256,.2222393,.385012,,,
03apr2020,.0948948,.0133959,.1763937,.2974387,.2160523,.3788251,,,
04apr2020,.0819208,.0004219,.1634197,.2844647,.2030783,.3658511,,,
05apr2020,.1154125,.0339136,.1969114,.3179564,.23657,.3993428,,,
06apr2020,.0733116,0,.1548105,.2758555,.1944691,.3572419,,,
10mar2020,.2033939,.114191,.2925968,.2602165,.1788301,.3416029,,,
11mar2020,.1842456,.1001863,.268305,.2676217,.1862353,.3490081,,,
12mar2020,.1991575,.1150981,.2832168,.2825336,.2011472,.3639199,,,
13mar2020,.1929705,.1089112,.2770299,.2763466,.1949602,.357733,,,
14mar2020,.1799965,.0959372,.2640559,.2633726,.1819862,.344759,,,
15mar2020,.2134882,.1294288,.2975476,.2968643,.2154779,.3782507,,,
16mar2020,.1713873,.087328,.2554467,.2547634,.173377,.3361498,,,
17mar2020,.1768404,.0927811,.2608998,.2602165,.1788301,.3416029,,,
20mar2020,.1929705,.1089112,.2770299,.2763466,.1949602,.357733,,,
21mar2020,.1799965,.0959372,.2640559,.2633726,.1819862,.344759,,,
22mar2020,.0943204,.0128215,.1758193,.2968643,.2154779,.3782507,,,
23mar2020,.0522195,0,.1337184,.2547634,.173377,.3361498,,,
24mar2020,.0576726,0,.1391715,.2602165,.1788301,.3416029,,,
25mar2020,.0650778,0,.1465767,.2676217,.1862353,.3490081,,,
26mar2020,.0799896,0,.1614886,.2825336,.2011472,.3639199,,,
27mar2020,.0738027,0,.1553016,.2763466,.1949602,.357733,,,
28mar2020,.0608287,0,.1423276,.2633726,.1819862,.344759,,,
29mar2020,.0943204,.0128215,.1758193,.2968643,.2154779,.3782507,,,
30mar2020,.0522195,0,.1337184,.2547634,.173377,.3361498,,,
31mar2020,.0576726,0,.1391715,.2602165,.1788301,.3416029,,,
01apr2020,.0650778,0,.1465767,.2676217,.1862353,.3490081,,,
02apr2020,.0799896,0,.1614886,.2825336,.2011472,.3639199,,,
03apr2020,.0738027,0,.1553016,.2763466,.1949602,.357733,,,
04apr2020,.0608287,0,.1423276,.2633726,.1819862,.344759,,,
05apr2020,.0943204,.0128215,.1758193,.2968643,.2154779,.3782507,,,
06apr2020,.0522195,0,.1337184,.2547634,.173377,.3361498,,,
16mar2020,.1987313,.1252932,.2721694,.3880678,.3066814,.4694542,,,
17mar2020,.2041844,.1307463,.2776225,.3935209,.3121345,.4749073,,,
18mar2020,.2115896,.1381515,.2850277,.4009261,.3195397,.4823125,,,
19mar2020,.2265014,.1530633,.2999395,.4158379,.3344515,.4972243,,,
20mar2020,.2203145,.1468764,.2937526,.409651,.3282646,.4910374,,,
21mar2020,.2073405,.1339024,.2807786,.396677,.3152906,.4780634,,,
22mar2020,.1216644,.047075,.1962537,.4301687,.3487823,.5115551,,,
23mar2020,.0795635,.0049742,.1541528,.3880678,.3066814,.4694542,,,
24mar2020,.0850166,.0104273,.159606,.3935209,.3121345,.4749073,,,
25mar2020,.0924218,.0178325,.1670111,.4009261,.3195397,.4823125,,,
26mar2020,.1073336,.0327443,.181923,.4158379,.3344515,.4972243,,,
27mar2020,.1011467,.0265574,.1757361,.409651,.3282646,.4910374,,,
28mar2020,.0881727,.0135834,.162762,.396677,.3152906,.4780634,,,
29mar2020,.1216644,.047075,.1962537,.4301687,.3487823,.5115551,,,
30mar2020,.0795635,.0049742,.1541528,.3880678,.3066814,.4694542,,,
31mar2020,.0850166,.0104273,.159606,.3935209,.3121345,.4749073,,,
01apr2020,.0924218,.0178325,.1670111,.4009261,.3195397,.4823125,,,
02apr2020,.1073336,.0327443,.181923,.4158379,.3344515,.4972243,,,
03apr2020,.1011467,.0265574,.1757361,.409651,.3282646,.4910374,,,
04apr2020,.0881727,.0135834,.162762,.396677,.3152906,.4780634,,,
05apr2020,.1216644,.047075,.1962537,.4301687,.3487823,.5115551,,,
06apr2020,.0795635,.0049742,.1541528,.3880678,.3066814,.4694542,,,
03mar2020,.1922341,.1108477,.2736205,.1922341,.1108477,.2736205,,,
04mar2020,.1996393,.1182529,.2810256,.1996393,.1182529,.2810256,,,
05mar2020,.2145511,.1331647,.2959375,.2145511,.1331647,.2959375,,,
06mar2020,.2083642,.1269778,.2897506,.2083642,.1269778,.2897506,,,
07mar2020,.1953902,.1140038,.2767766,.1953902,.1140038,.2767766,,,
08mar2020,.1720592,.0828563,.2612621,.2288818,.1474954,.3102682,,,
09mar2020,.1299583,.0407554,.2191613,.186781,.1053946,.2681673,,,
10mar2020,.1354114,.0462085,.2246144,.1922341,.1108477,.2736205,,,
11mar2020,.1162632,.0322038,.2003226,.1996393,.1182529,.2810256,,,
12mar2020,.131175,.0471156,.2152344,.2145511,.1331647,.2959375,,,
13mar2020,.1249881,.0409287,.2090475,.2083642,.1269778,.2897506,,,
14mar2020,.1120141,.0279547,.1960735,.1953902,.1140038,.2767766,,,
15mar2020,.1455057,.0614464,.2295651,.2288818,.1474954,.3102682,,,
16mar2020,.1034049,.0193455,.1874643,.186781,.1053946,.2681673,,,
17mar2020,.108858,.0247986,.1929174,.1922341,.1108477,.2736205,,,
18mar2020,.1162632,.0322038,.2003226,.1996393,.1182529,.2810256,,,
19mar2020,.131175,.0471156,.2152344,.2145511,.1331647,.2959375,,,
20mar2020,.1249881,.0409287,.2090475,.2083642,.1269778,.2897506,,,
21mar2020,.1120141,.0279547,.1960735,.1953902,.1140038,.2767766,,,
22mar2020,.0263379,0,.1078368,.2288818,.1474954,.3102682,,,
23mar2020,0,0,.065736,.186781,.1053946,.2681673,,,
24mar2020,0,0,.0711891,.1922341,.1108477,.2736205,,,
25mar2020,0,0,.0785943,.1996393,.1182529,.2810256,,,
26mar2020,.0120072,0,.0935061,.2145511,.1331647,.2959375,,,
27mar2020,.0058203,0,.0873192,.2083642,.1269778,.2897506,,,
28mar2020,0,0,.0743452,.1953902,.1140038,.2767766,,,
29mar2020,.0263379,0,.1078368,.2288818,.1474954,.3102682,,,
30mar2020,0,0,.065736,.186781,.1053946,.2681673,,,
31mar2020,0,0,.0711891,.1922341,.1108477,.2736205,,,
01apr2020,0,0,.0785943,.1996393,.1182529,.2810256,,,
02apr2020,.0120072,0,.0935061,.2145511,.1331647,.2959375,,,
03apr2020,.0058203,0,.0873192,.2083642,.1269778,.2897506,,,
04apr2020,0,0,.0743452,.1953902,.1140038,.2767766,,,
05apr2020,.0263379,0,.1078368,.2288818,.1474954,.3102682,,,
06apr2020,0,0,.065736,.186781,.1053946,.2681673,,,
13mar2020,.2174346,.1333752,.301494,.3008107,.2194243,.3821971,,,
14mar2020,.2044606,.1204012,.28852,.2878367,.2064503,.3692231,,,
15mar2020,.2379522,.1538929,.3220116,.3213283,.239942,.4027147,,,
16mar2020,.1958514,.111792,.2799108,.2792275,.1978411,.3606139,,,
17mar2020,.2013045,.1172451,.2853639,.2846806,.2032942,.366067,,,
20mar2020,.2174346,.1333752,.301494,.3008107,.2194243,.3821971,,,
21mar2020,.2044606,.1204012,.28852,.2878367,.2064503,.3692231,,,
22mar2020,.1187844,.0372855,.2002833,.3213283,.239942,.4027147,,,
23mar2020,.0766836,0,.1581825,.2792275,.1978411,.3606139,,,
24mar2020,.0821367,.0006378,.1636356,.2846806,.2032942,.366067,,,
25mar2020,.0895419,.008043,.1710408,.2920858,.2106994,.3734722,,,
26mar2020,.1044537,.0229548,.1859526,.3069976,.2256112,.388384,,,
27mar2020,.0982668,.0167679,.1797657,.3008107,.2194243,.3821971,,,
28mar2020,.0852928,.0037939,.1667917,.2878367,.2064503,.3692231,,,
29mar2020,.1187844,.0372855,.2002833,.3213283,.239942,.4027147,,,
30mar2020,.0766836,0,.1581825,.2792275,.1978411,.3606139,,,
31mar2020,.0821367,.0006378,.1636356,.2846806,.2032942,.366067,,,
01apr2020,.0895419,.008043,.1710408,.2920858,.2106994,.3734722,,,
02apr2020,.1044537,.0229548,.1859526,.3069976,.2256112,.388384,,,
03apr2020,.0982668,.0167679,.1797657,.3008107,.2194243,.3821971,,,
04apr2020,.0852928,.0037939,.1667917,.2878367,.2064503,.3692231,,,
05apr2020,.1187844,.0372855,.2002833,.3213283,.239942,.4027147,,,
06apr2020,.0766836,0,.1581825,.2792275,.1978411,.3606139,,,
11mar2020,.2102956,.1262362,.2943549,.2936716,.2122853,.3750581,,,
12mar2020,.2252074,.141148,.3092668,.3085835,.2271971,.3899699,,,
13mar2020,.2190205,.1349611,.3030798,.3023966,.2210102,.383783,,,
14mar2020,.2060465,.1219871,.2901058,.2894225,.2080362,.3708089,,,
15mar2020,.2395381,.1554787,.3235975,.3229142,.2415278,.4043006,,,
18mar2020,.2102956,.1262362,.2943549,.2936716,.2122853,.3750581,,,
19mar2020,.2252074,.141148,.3092668,.3085835,.2271971,.3899699,,,
20mar2020,.2190205,.1349611,.3030798,.3023966,.2210102,.383783,,,
21mar2020,.2060465,.1219871,.2901058,.2894225,.2080362,.3708089,,,
22mar2020,.1203703,.0388714,.2018692,.3229142,.2415278,.4043006,,,
23mar2020,.0782695,0,.1597684,.2808133,.199427,.3621998,,,
24mar2020,.0837225,.0022236,.1652215,.2862664,.2048801,.3676528,,,
25mar2020,.0911278,.0096288,.1726267,.2936716,.2122853,.3750581,,,
26mar2020,.1060396,.0245407,.1875385,.3085835,.2271971,.3899699,,,
27mar2020,.0998527,.0183537,.1813516,.3023966,.2210102,.383783,,,
28mar2020,.0868786,.0053797,.1683776,.2894225,.2080362,.3708089,,,
29mar2020,.1203703,.0388714,.2018692,.3229142,.2415278,.4043006,,,
30mar2020,.0782695,0,.1597684,.2808133,.199427,.3621998,,,
31mar2020,.0837225,.0022236,.1652215,.2862664,.2048801,.3676528,,,
01apr2020,.0911278,.0096288,.1726267,.2936716,.2122853,.3750581,,,
02apr2020,.1060396,.0245407,.1875385,.3085835,.2271971,.3899699,,,
03apr2020,.0998527,.0183537,.1813516,.3023966,.2210102,.383783,,,
04apr2020,.0868786,.0053797,.1683776,.2894225,.2080362,.3708089,,,
05apr2020,.1203703,.0388714,.2018692,.3229142,.2415278,.4043006,,,
06apr2020,.0782695,0,.1597684,.2808133,.199427,.3621998,,,
14mar2020,.2056736,.1216142,.289733,.2890497,.2076633,.3704361,,,
15mar2020,.2391652,.1551059,.3232246,.3225413,.2411549,.4039277,,,
18mar2020,.2099227,.1258633,.2939821,.2932988,.2119124,.3746852,,,
19mar2020,.2248345,.1407751,.3088939,.3082106,.2268242,.389597,,,
20mar2020,.2186476,.1345882,.302707,.3020237,.2206373,.3834101,,,
21mar2020,.2056736,.1216142,.289733,.2890497,.2076633,.3704361,,,
22mar2020,.1199974,.0384985,.2014963,.3225413,.2411549,.4039277,,,
23mar2020,.0778966,0,.1593955,.2804405,.1990541,.3618269,,,
24mar2020,.0833497,.0018508,.1648486,.2858936,.2045072,.36728,,,
25mar2020,.0907549,.009256,.1722538,.2932988,.2119124,.3746852,,,
26mar2020,.1056667,.0241678,.1871656,.3082106,.2268242,.389597,,,
27mar2020,.0994798,.0179809,.1809787,.3020237,.2206373,.3834101,,,
28mar2020,.0865058,.0050069,.1680047,.2890497,.2076633,.3704361,,,
29mar2020,.1199974,.0384985,.2014963,.3225413,.2411549,.4039277,,,
30mar2020,.0778966,0,.1593955,.2804405,.1990541,.3618269,,,
31mar2020,.0833497,.0018508,.1648486,.2858936,.2045072,.36728,,,
01apr2020,.0907549,.009256,.1722538,.2932988,.2119124,.3746852,,,
02apr2020,.1056667,.0241678,.1871656,.3082106,.2268242,.389597,,,
03apr2020,.0994798,.0179809,.1809787,.3020237,.2206373,.3834101,,,
04apr2020,.0865058,.0050069,.1680047,.2890497,.2076633,.3704361,,,
05apr2020,.1199974,.0384985,.2014963,.3225413,.2411549,.4039277,,,
06apr2020,.0778966,0,.1593955,.2804405,.1990541,.3618269,,,
08mar2020,.31207,.2227632,.4013767,.401118,.3197316,.4825043,,,
09mar2020,.2699691,.1806623,.3592758,.3590171,.2776307,.4404035,,,
10mar2020,.2016872,.120248,.2831263,.3644702,.2830838,.4458566,,,
11mar2020,.1825389,.1091008,.255977,.3718754,.290489,.4532618,,,
12mar2020,.1974507,.1240126,.2708888,.3867872,.3054008,.4681736,,,
13mar2020,.1912638,.1178257,.2647019,.3806003,.2992139,.4619867,,,
14mar2020,.1782898,.1048517,.2517279,.3676263,.2862399,.4490127,,,
15mar2020,.2117815,.1383433,.2852196,.401118,.3197316,.4825043,,,
16mar2020,.1696806,.0962425,.2431187,.3590171,.2776307,.4404035,,,
17mar2020,.1751337,.1016956,.2485718,.3644702,.2830838,.4458566,,,
18mar2020,.1825389,.1091008,.255977,.3718754,.290489,.4532618,,,
19mar2020,.1974507,.1240126,.2708888,.3867872,.3054008,.4681736,,,
20mar2020,.1912638,.1178257,.2647019,.3806003,.2992139,.4619867,,,
21mar2020,.1782898,.1048517,.2517279,.3676263,.2862399,.4490127,,,
22mar2020,.0926136,.0180243,.167203,.401118,.3197316,.4825043,,,
23mar2020,.0505128,0,.1251021,.3590171,.2776307,.4404035,,,
24mar2020,.0559659,0,.1305552,.3644702,.2830838,.4458566,,,
25mar2020,.0633711,0,.1379604,.3718754,.290489,.4532618,,,
26mar2020,.0782829,.0036936,.1528722,.3867872,.3054008,.4681736,,,
27mar2020,.072096,0,.1466853,.3806003,.2992139,.4619867,,,
28mar2020,.059122,0,.1337113,.3676263,.2862399,.4490127,,,
29mar2020,.0926136,.0180243,.167203,.401118,.3197316,.4825043,,,
30mar2020,.0505128,0,.1251021,.3590171,.2776307,.4404035,,,
31mar2020,.0559659,0,.1305552,.3644702,.2830838,.4458566,,,
01apr2020,.0633711,0,.1379604,.3718754,.290489,.4532618,,,
02apr2020,.0782829,.0036936,.1528722,.3867872,.3054008,.4681736,,,
03apr2020,.072096,0,.1466853,.3806003,.2992139,.4619867,,,
04apr2020,.059122,0,.1337113,.3676263,.2862399,.4490127,,,
05apr2020,.0926136,.0180243,.167203,.401118,.3197316,.4825043,,,
06apr2020,.0505128,0,.1251021,.3590171,.2776307,.4404035,,,
22mar2020,.1674374,.0859385,.2489364,.3699813,.288595,.4513677,,,
23mar2020,.1253366,.0438377,.2068355,.3278805,.2464941,.4092669,,,
