adm0,policy,beta,se
"USA","p_1",-.103,.064
"USA","p_2",-.121,.04
"USA","p_3",-.102,.029
"USA","p_4",.07,.037
"USA","p_5",.013,.017
"USA","p_6",.032,.021
"USA","p_7",-.011,.024
"USA","p_8",-.049,.025
"USA","p_9",-.069,.015
"USA","comb. policy",-.339,.058
"USA","no_policy rate",.3,.07
"USA_Washington","no_policy rate",.376,.1
"USA_California","no_policy rate",.29,.064
"USA_NewYork","no_policy rate",.843,.499
