adm0,policy,beta,se
"ITA","p_1",.138,.073
"ITA","p_2",-.106,.078
"ITA","p_3",-.295,.164
"ITA","p_4",-.072,.058
"ITA","p_5",-.138,.115
"ITA","p_6",.06,.068
"ITA","comb. policy",-.413,.134
"ITA","no_policy rate",.327,.059
