t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
01apr2020,,.0584144,0,.1340565,,.3690095,.2851028,.4529161
02apr2020,,.0733271,0,.1489692,,.3839222,.3000155,.4678288
03apr2020,,.0671162,0,.1427583,,.3777113,.2938046,.4616179
04apr2020,,.0541425,0,.1297846,,.3647376,.280831,.4486443
05apr2020,,.0876017,.0119596,.1632438,,.3981968,.3142902,.4821035
06apr2020,,.0454961,0,.1211382,,.3560912,.2721846,.4399979
10mar2020,,.2245748,.1331251,.3160245,,.280945,.1970384,.3648517
11mar2020,,.2052359,.1189395,.2915322,,.2883681,.2044614,.3722747
12mar2020,,.2201485,.1338522,.3064449,,.3032807,.2193741,.3871874
13mar2020,,.2139377,.1276413,.300234,,.2970698,.2131632,.3809765
14mar2020,,.200964,.1146677,.2872604,,.2840962,.2001896,.3680029
15mar2020,,.2344232,.1481269,.3207196,,.3175554,.2336487,.4014621
16mar2020,,.1923176,.1060213,.2786139,,.2754498,.1915431,.3593564
17mar2020,,.1978128,.1115165,.2841092,,.280945,.1970384,.3648517
18mar2020,,.2052359,.1189395,.2915322,,.2883681,.2044614,.3722747
19mar2020,,.2201485,.1338522,.3064449,,.3032807,.2193741,.3871874
20mar2020,,.2139377,.1276413,.300234,,.2970698,.2131632,.3809765
21mar2020,,.200964,.1146677,.2872604,,.2840962,.2001896,.3680029
22mar2020,,.1154651,.0311797,.1997506,,.3175554,.2336487,.4014621
23mar2020,,.0733595,0,.157645,,.2754498,.1915431,.3593564
24mar2020,,.0788548,0,.1631402,,.280945,.1970384,.3648517
25mar2020,,.0862778,.0019923,.1705633,,.2883681,.2044614,.3722747
26mar2020,,.1011905,.016905,.1854759,,.3032807,.2193741,.3871874
27mar2020,,.0949796,.0106941,.1792651,,.2970698,.2131632,.3809765
28mar2020,,.082006,0,.1662914,,.2840962,.2001896,.3680029
29mar2020,,.1154651,.0311797,.1997506,,.3175554,.2336487,.4014621
30mar2020,,.0733595,0,.157645,,.2754498,.1915431,.3593564
31mar2020,,.0788548,0,.1631402,,.280945,.1970384,.3648517
01apr2020,,.0862778,.0019923,.1705633,,.2883681,.2044614,.3722747
02apr2020,,.1011905,.016905,.1854759,,.3032807,.2193741,.3871874
03apr2020,,.0949796,.0106941,.1792651,,.2970698,.2131632,.3809765
04apr2020,,.082006,0,.1662914,,.2840962,.2001896,.3680029
05apr2020,,.1154651,.0311797,.1997506,,.3175554,.2336487,.4014621
06apr2020,,.0733595,0,.157645,,.2754498,.1915431,.3593564
10mar2020,,.2034749,.1120252,.2949246,,.2598451,.1759385,.3437518
11mar2020,,.184136,.0978396,.2704323,,.2672682,.1833615,.3511748
12mar2020,,.1990487,.1127523,.285345,,.2821808,.1982742,.3660875
13mar2020,,.1928378,.1065414,.2791341,,.27597,.1920633,.3598766
14mar2020,,.1798641,.0935678,.2661605,,.2629963,.1790897,.346903
15mar2020,,.2133233,.127027,.2996196,,.2964555,.2125489,.3803622
16mar2020,,.1712177,.0849214,.257514,,.2543499,.1704432,.3382565
17mar2020,,.1767129,.0904166,.2630093,,.2598451,.1759385,.3437518
20mar2020,,.1928378,.1065414,.2791341,,.27597,.1920633,.3598766
21mar2020,,.1798641,.0935678,.2661605,,.2629963,.1790897,.346903
22mar2020,,.0943652,.0100798,.1786507,,.2964555,.2125489,.3803622
23mar2020,,.0522596,0,.1365451,,.2543499,.1704432,.3382565
24mar2020,,.0577549,0,.1420403,,.2598451,.1759385,.3437518
25mar2020,,.0651779,0,.1494634,,.2672682,.1833615,.3511748
26mar2020,,.0800906,0,.1643761,,.2821808,.1982742,.3660875
27mar2020,,.0738797,0,.1581652,,.27597,.1920633,.3598766
28mar2020,,.0609061,0,.1451915,,.2629963,.1790897,.346903
29mar2020,,.0943652,.0100798,.1786507,,.2964555,.2125489,.3803622
30mar2020,,.0522596,0,.1365451,,.2543499,.1704432,.3382565
31mar2020,,.0577549,0,.1420403,,.2598451,.1759385,.3437518
01apr2020,,.0651779,0,.1494634,,.2672682,.1833615,.3511748
02apr2020,,.0800906,0,.1643761,,.2821808,.1982742,.3660875
03apr2020,,.0738797,0,.1581652,,.27597,.1920633,.3598766
04apr2020,,.0609061,0,.1451915,,.2629963,.1790897,.346903
05apr2020,,.0943652,.0100798,.1786507,,.2964555,.2125489,.3803622
06apr2020,,.0522596,0,.1365451,,.2543499,.1704432,.3382565
16mar2020,,.1985458,.1236734,.2734182,,.3901828,.3062762,.4740895
17mar2020,,.204041,.1291687,.2789134,,.395678,.3117714,.4795847
18mar2020,,.2114641,.1365917,.2863365,,.4031011,.3191944,.4870078
19mar2020,,.2263768,.1515044,.3012491,,.4180138,.3341071,.5019204
20mar2020,,.2201659,.1452935,.2950382,,.4118029,.3278962,.4957095
21mar2020,,.2071922,.1323199,.2820646,,.3988293,.3149226,.4827359
22mar2020,,.1216934,.0460512,.1973355,,.4322884,.3483818,.5161951
23mar2020,,.0795877,.0039456,.1552298,,.3901828,.3062762,.4740895
