t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
01mar2020,,.0812513,.0529661,.1095365,,.304589,.1215098,.4876683
02mar2020,,.0567895,.0285043,.0850747,,.2801272,.097048,.4632065
03mar2020,,.0691028,.0408176,.097388,,.2924405,.1093612,.4755198
04mar2020,,.0733122,.045027,.1015974,,.2966499,.1135706,.4797292
05mar2020,,.0739482,.045663,.1022334,,.2972859,.1142066,.4803652
06mar2020,,.1113399,.0830548,.1396251,,.3346776,.1515984,.5177569
07mar2020,,.075852,.0475668,.1041372,,.2991897,.1161104,.4822689
08mar2020,,.0812513,.0529661,.1095365,,.304589,.1215098,.4876683
09mar2020,,.0567895,.0285043,.0850747,,.2801272,.097048,.4632065
10mar2020,,.0691028,.0408176,.097388,,.2924405,.1093612,.4755198
11mar2020,,.0525242,.0348396,.0702088,,.2966499,.1135706,.4797292
12mar2020,,.0531602,.0354756,.0708448,,.2972859,.1142066,.4803652
13mar2020,,.090552,.0728674,.1082365,,.3346776,.1515984,.5177569
14mar2020,,.055064,.0373794,.0727486,,.2991897,.1161104,.4822689
15mar2020,,.0604633,.0427787,.0781479,,.304589,.1215098,.4876683
16mar2020,,.0152136,0,.0377158,,.2801272,.097048,.4632065
17mar2020,,.0275268,.0050246,.0500291,,.2924405,.1093612,.4755198
18mar2020,,.0317362,.009234,.0542385,,.2966499,.1135706,.4797292
19mar2020,,.0323722,.00987,.0548745,,.2972859,.1142066,.4803652
20mar2020,,.069764,.0472617,.0922662,,.3346776,.1515984,.5177569
21mar2020,,.034276,.0117737,.0567783,,.2991897,.1161104,.4822689
22mar2020,,.0344103,0,.07727,,.2942789,.115893,.4726649
23mar2020,,.0202586,.0007611,.039756,,.2801272,.097048,.4632065
24mar2020,,.0325719,.0130744,.0520693,,.2924405,.1093612,.4755198
25mar2020,,.0367813,.0172838,.0562787,,.2966499,.1135706,.4797292
26mar2020,,.0374172,.0179198,.0569147,,.2972859,.1142066,.4803652
27mar2020,,.0411137,0,.1027579,,.2959374,.1254196,.4664551
28mar2020,,.044366,.0236765,.0650555,,.2991897,.1161104,.4822689
29mar2020,,.0497654,.0290759,.0704549,,.304589,.1215098,.4876683
30mar2020,,.0253036,.0046141,.0459931,,.2801272,.097048,.4632065
31mar2020,,.0376169,.0169273,.0583064,,.2924405,.1093612,.4755198
01apr2020,,.0468713,.0213749,.0723677,,.2966499,.1135706,.4797292
02apr2020,,.0475073,.0220109,.0730037,,.2972859,.1142066,.4803652
03apr2020,,.084899,.0594026,.1103954,,.3346776,.1515984,.5177569
04apr2020,,.049411,.0239146,.0749074,,.2991897,.1161104,.4822689
05apr2020,,.0598554,.0275107,.0922002,,.304589,.1215098,.4876683
06apr2020,,.0353936,.0030489,.0677384,,.2801272,.097048,.4632065
20feb2020,,.3918718,.3043935,.4793501,,.4931467,.4663692,.5199242
21feb2020,,.3550576,.2653753,.44474,,.4563325,.2732532,.6394117
22feb2020,,.2987817,.2050789,.3924845,,.4208445,.2377653,.6039238
23feb2020,,.304181,.2104783,.3978838,,.4262439,.2431646,.6093231
24feb2020,,.2797192,.1860165,.373422,,.4017821,.2187028,.5848613
25feb2020,,.2920325,.1983297,.3857353,,.4140953,.2310161,.5971746
26feb2020,,.2962419,.2025391,.3899447,,.4183048,.2352255,.601384
27feb2020,,.2968779,.2031751,.3905807,,.4189408,.2358615,.60202
28feb2020,,.2329948,.2047096,.26128,,.4563325,.2732532,.6394117
29feb2020,,.2374495,.2110145,.2638845,,.4607872,.2631769,.6583975
01mar2020,,.2029062,.174621,.2311914,,.4262439,.2431646,.6093231
02mar2020,,.1784444,.1501592,.2067296,,.4017821,.2187028,.5848613
03mar2020,,.1907577,.1624725,.2190428,,.4140953,.2310161,.5971746
04mar2020,,.1949671,.1666819,.2232522,,.4183048,.2352255,.601384
