t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
01apr2020,,.1987938,.1331126,.2644749,,.3598997,.2928493,.4269501
02apr2020,,.2185319,.1528507,.284213,,.3796378,.3125874,.4466882
03apr2020,,.1941743,.1288228,.2595257,,.3669325,.2998821,.4339829
04apr2020,,.1616753,.0957284,.2276223,,.3460858,.2790353,.4131362
05apr2020,,.1239117,.0579648,.1898586,,.3083221,.2412717,.3753725
06apr2020,,.1500954,.0841484,.2160423,,.3345058,.2674554,.4015562
03mar2020,.2779286,,,,.2906322,,,
04mar2020,.2779286,.3089288,.2418784,.3759792,.2906322,.3089288,.2418784,.3759792
05mar2020,.3541782,.3659781,.2903508,.4416053,.3616535,.3286669,.2616165,.3957174
06mar2020,.3414728,.3532727,.2776455,.4289,.3489482,.3159616,.2489112,.383012
07mar2020,.3206261,.332426,.2567987,.4080533,.3281015,.2951149,.2280645,.3621653
08mar2020,.2828601,.2946553,.2190356,.370275,.2903378,.2573513,.1903009,.3244017
09mar2020,.28177,.318672,.2433265,.3940176,.28587,.2835349,.2164845,.3505854
10mar2020,.3043649,.3299309,.2545854,.4052764,.3113345,.2947938,.2277434,.3618442
11mar2020,.3035403,.343273,.2687718,.4177741,.3121718,.3089288,.2418784,.3759792
12mar2020,.259391,.2831374,.2230239,.3432509,.3243747,.3286669,.2616165,.3957174
13mar2020,.2454072,.2504129,.1925196,.3083062,.3123107,.3159616,.2489112,.383012
14mar2020,.2957128,.2668773,.2268563,.3068984,.2960756,.2951149,.2280645,.3621653
15mar2020,.2382815,.2074152,.166043,.2487875,.2584125,.2573513,.1903009,.3244017
16mar2020,.2662997,.211309,.1562529,.266365,.2842054,.2987102,.1972815,.4001389
17mar2020,.2707787,.2118387,.1816691,.2420084,.2988213,.2947938,.2277434,.3618442
18mar2020,.2870209,.2259737,.1958041,.2561434,.3151959,.3089288,.2418784,.3759792
19mar2020,.3047464,.1459698,.1132112,.1787283,.3392032,.3286669,.2616165,.3957174
20mar2020,.2780938,.1332644,.1005059,.166023,.3130659,.3159616,.2489112,.383012
21mar2020,.2584819,.1124177,.0796591,.1451763,.3005091,.2951149,.2280645,.3621653
22mar2020,.2108925,.0746541,.0418955,.1074127,.2598707,.2573513,.1903009,.3244017
23mar2020,.2190406,.1008378,.0680792,.1335964,.2853489,.2835349,.2164845,.3505854
24mar2020,.2074356,.1120967,.0793381,.1448553,.2970337,.2947938,.2277434,.3618442
25mar2020,.2070709,.1262317,.0934731,.1589902,.3119596,.3089288,.2418784,.3759792
26mar2020,.2188367,.1459698,.1132112,.1787283,.330406,.3286669,.2616165,.3957174
27mar2020,.2045355,.1332644,.1005059,.166023,.3185446,.3159616,.2489112,.383012
28mar2020,.1752812,.1124177,.0796591,.1451763,.2978596,.2951149,.2280645,.3621653
29mar2020,.137226,.0746541,.0418955,.1074127,.2602367,.2573513,.1903009,.3244017
30mar2020,.1505504,.1008378,.0680792,.1335964,.2861474,.2835349,.2164845,.3505854
31mar2020,.1577488,.1120967,.0793381,.1448553,.2976792,.2947938,.2277434,.3618442
01apr2020,.166346,.1262317,.0934731,.1589902,.3118142,.3089288,.2418784,.3759792
02apr2020,.1842291,.1459698,.1132112,.1787283,.3315523,.3286669,.2616165,.3957174
03apr2020,.1607154,.1332644,.1005059,.166023,.318847,.3159616,.2489112,.383012
04apr2020,.1370393,.1124177,.0796591,.1451763,.2980002,.2951149,.2280645,.3621653
05apr2020,.0979166,.0746541,.0418955,.1074127,.2602367,.2573513,.1903009,.3244017
06apr2020,.1177532,.1008378,.0680792,.1335964,.2864203,.2835349,.2164845,.3505854
10mar2020,,.2940986,.2274471,.3607501,,.2981702,.2311198,.3652206
11mar2020,,.3270228,.2603012,.3937444,,.3123052,.2452548,.3793556
