t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
05mar2020,,.0588568,.0047788,.1129349,,.3020477,.1308022,.4732932
06mar2020,,.0934457,.0393676,.1475237,,.3366365,.165391,.5078821
07mar2020,,.0672053,.0131273,.1212834,,.3103962,.1391507,.4816417
08mar2020,,.0795462,.0254681,.1336242,,.322737,.1514915,.4939826
09mar2020,,.0465018,0,.1005798,,.2896926,.1184471,.4609382
10mar2020,,.0606864,.0066083,.1147644,,.3038772,.1326317,.4751228
11mar2020,,.0384653,0,.0996606,,.3067039,.1354584,.4779494
12mar2020,,.0338091,0,.0950044,,.3020477,.1308022,.4732932
13mar2020,,.0683979,.0072027,.1295932,,.3366365,.165391,.5078821
14mar2020,,.0421576,0,.1033529,,.3103962,.1391507,.4816417
15mar2020,,.0544985,0,.1156937,,.322737,.1514915,.4939826
16mar2020,,.027575,0,.0867583,,.2896926,.1184471,.4609382
17mar2020,,.0417596,0,.1009429,,.3038772,.1326317,.4751228
18mar2020,,.0445862,0,.1037695,,.3067039,.1354584,.4779494
19mar2020,,.03993,0,.0991133,,.3020477,.1308022,.4732932
20mar2020,,.0745189,.0153355,.1337022,,.3366365,.165391,.5078821
21mar2020,,.0482785,0,.1074619,,.3103962,.1391507,.4816417
22mar2020,,.0325878,0,.1046765,,.2950965,.1319758,.4582171
23mar2020,,.0271839,0,.0861349,,.2896926,.1184471,.4609382
24mar2020,,.0413685,0,.1003195,,.3038772,.1326317,.4751228
25mar2020,,.0441952,0,.1031461,,.3067039,.1354584,.4779494
26mar2020,,.039539,0,.0984899,,.3020477,.1308022,.4732932
27mar2020,,.0392912,0,.1113148,,.3021909,.1333554,.4710265
28mar2020,,.0474965,0,.1071735,,.3103962,.1391507,.4816417
29mar2020,,.0598373,.0001603,.1195144,,.322737,.1514915,.4939826
30mar2020,,.0267929,0,.08647,,.2896926,.1184471,.4609382
31mar2020,,.0409775,0,.1006546,,.3038772,.1326317,.4751228
01apr2020,,.0434131,0,.1047408,,.3067039,.1354584,.4779494
02apr2020,,.0387569,0,.1000846,,.3020477,.1308022,.4732932
03apr2020,,.0733458,.0120181,.1346735,,.3366365,.165391,.5078821
04apr2020,,.0471055,0,.1084331,,.3103962,.1391507,.4816417
05apr2020,,.0590553,0,.1228864,,.322737,.1514915,.4939826
06apr2020,,.0260109,0,.089842,,.2896926,.1184471,.4609382
20feb2020,,.61312,.4167904,.8094496,,.5703843,.4708003,.6699682
21feb2020,,.4724391,.280017,.6648611,,.4297033,.2584578,.6009489
22feb2020,,.3262856,.1762115,.4763597,,.403463,.2322175,.5747085
23feb2020,,.3386264,.1885523,.4887006,,.4158038,.2445583,.5870494
24feb2020,,.305582,.1555079,.4556562,,.3827595,.2115139,.554005
25feb2020,,.3197666,.1696925,.4698408,,.396944,.2256985,.5681896
26feb2020,,.3225933,.1725192,.4726674,,.3997707,.2285251,.5710163
27feb2020,,.3179371,.167863,.4680112,,.3951145,.223869,.5663601
28feb2020,,.1865125,.1324344,.2405905,,.4297033,.2584578,.6009489
29feb2020,,.2251419,.1663156,.2839681,,.4683327,.295121,.6415444
01mar2020,,.172613,.1185349,.226691,,.4158038,.2445583,.5870494
02mar2020,,.1395686,.0854905,.1936466,,.3827595,.2115139,.554005
03mar2020,,.1537532,.0996751,.2078312,,.396944,.2256985,.5681896
04mar2020,,.1565798,.1025018,.2106579,,.3997707,.2285251,.5710163
05mar2020,,.1519236,.0978456,.2060017,,.3951145,.223869,.5663601
06mar2020,,.1865125,.1324344,.2405905,,.4297033,.2584578,.6009489
07mar2020,,.1602721,.1061941,.2143502,,.403463,.2322175,.5747085
08mar2020,,.172613,.1185349,.226691,,.4158038,.2445583,.5870494
09mar2020,,.1395686,.0854905,.1936466,,.3827595,.2115139,.554005
10mar2020,,.1537532,.0996751,.2078312,,.396944,.2256985,.5681896
11mar2020,,.1315321,.0703368,.1927274,,.3997707,.2285251,.5710163
12mar2020,,.1268759,.0656806,.1880712,,.3951145,.223869,.5663601
13mar2020,,.1614647,.1002695,.22266,,.4297033,.2584578,.6009489
14mar2020,,.1352244,.0740291,.1964197,,.403463,.2322175,.5747085
15mar2020,,.0510866,0,.1293672,,.4158038,.2445583,.5870494
16mar2020,,.0241631,0,.0897613,,.3827595,.2115139,.554005
17mar2020,,.0383477,0,.1039459,,.396944,.2256985,.5681896
18mar2020,,.0411744,0,.1067726,,.3997707,.2285251,.5710163
19mar2020,,.0365182,0,.1021164,,.3951145,.223869,.5663601
20mar2020,,.071107,.0055088,.1367052,,.4297033,.2584578,.6009489
21mar2020,,.0448667,0,.1104649,,.403463,.2322175,.5747085
22mar2020,,.0291759,0,.1104801,,.3881633,.2250426,.5512839
23mar2020,,.0237721,0,.0895446,,.3827595,.2115139,.554005
24mar2020,,.0379567,0,.1037292,,.396944,.2256985,.5681896
25mar2020,,.0407834,0,.1065559,,.3997707,.2285251,.5710163
26mar2020,,.0361272,0,.1018996,,.3951145,.223869,.5663601
27mar2020,,.0358794,0,.1349355,,.3952577,.2264222,.5640932
28mar2020,,.0440846,0,.1108867,,.403463,.2322175,.5747085
29mar2020,,.0564255,0,.1232276,,.4158038,.2445583,.5870494
30mar2020,,.0233811,0,.0901831,,.3827595,.2115139,.554005
31mar2020,,.0375657,0,.1043677,,.396944,.2256985,.5681896
01apr2020,,.0400013,0,.1086497,,.3997707,.2285251,.5710163
02apr2020,,.0353451,0,.1039935,,.3951145,.223869,.5663601
03apr2020,,.0699339,.0012855,.1385824,,.4297033,.2584578,.6009489
04apr2020,,.0436936,0,.112342,,.403463,.2322175,.5747085
05apr2020,,.0556434,0,.1268915,,.4158038,.2445583,.5870494
06apr2020,,.022599,0,.0938471,,.3827595,.2115139,.554005
28feb2020,,.1944934,.0330674,.3559194,,.3177711,.1465256,.4890167
29feb2020,,.1132097,.0543835,.1720359,,.3564005,.1831889,.5296122
