gamma,policy,sample,sigma,S_min,coefficient,coefficient_true,LHS,pop
0.05000,Intercept,18,0.33000,0.99998,0.42408,0.40000,I,100000000
0.05000,Intercept,18,0.50000,0.99998,0.40299,0.40000,I,100000000
0.05000,Intercept,18,inf,0.99999,0.41843,0.40000,I,100000000
0.05000,Intercept,19,0.20000,0.99997,0.36171,0.40000,I,100000000
0.05000,Intercept,19,0.33000,0.99997,0.36151,0.40000,I,100000000
0.05000,Intercept,19,0.50000,0.99996,0.39929,0.40000,I,100000000
0.05000,Intercept,19,inf,0.99994,0.40151,0.40000,I,100000000
0.05000,Intercept,20,0.20000,0.99997,0.37201,0.40000,I,100000000
0.05000,Intercept,20,0.33000,0.99997,0.37815,0.40000,I,100000000
0.05000,Intercept,20,0.50000,0.99998,0.38209,0.40000,I,100000000
0.05000,Intercept,20,inf,0.99991,0.43167,0.40000,I,100000000
0.05000,Intercept,21,0.20000,0.99998,0.35632,0.40000,I,100000000
0.05000,Intercept,21,0.33000,0.99998,0.36525,0.40000,I,100000000
0.05000,Intercept,21,0.50000,0.99997,0.38157,0.40000,I,100000000
0.05000,Intercept,21,inf,0.99991,0.42232,0.40000,I,100000000
0.05000,Intercept,22,0.20000,0.99996,0.37321,0.40000,I,100000000
0.05000,Intercept,22,0.33000,0.99992,0.33203,0.40000,I,100000000
0.05000,Intercept,22,0.50000,0.99993,0.37710,0.40000,I,100000000
0.05000,Intercept,22,inf,0.99983,0.42785,0.40000,I,100000000
0.05000,Intercept,23,0.20000,0.99995,0.35761,0.40000,I,100000000
0.05000,Intercept,23,0.33000,0.99994,0.36375,0.40000,I,100000000
0.05000,Intercept,23,0.50000,0.99992,0.42535,0.40000,I,100000000
0.05000,Intercept,23,inf,0.99984,0.39202,0.40000,I,100000000
0.05000,Intercept,24,0.20000,0.99998,0.46475,0.40000,I,100000000
0.05000,Intercept,24,0.33000,0.99998,0.47076,0.40000,I,100000000
0.05000,Intercept,24,0.50000,0.99997,0.41749,0.40000,I,100000000
0.05000,Intercept,24,inf,0.99992,0.40038,0.40000,I,100000000
0.05000,Intercept,25,0.20000,0.99997,0.40325,0.40000,I,100000000
0.05000,Intercept,25,0.33000,0.99997,0.40844,0.40000,I,100000000
0.05000,Intercept,25,0.50000,0.99996,0.42152,0.40000,I,100000000
0.05000,Intercept,25,inf,0.99996,0.39223,0.40000,I,100000000
0.05000,Intercept,26,0.20000,0.99997,0.37193,0.40000,I,100000000
0.05000,Intercept,26,0.33000,0.99997,0.36451,0.40000,I,100000000
0.05000,Intercept,26,0.50000,0.99997,0.41756,0.40000,I,100000000
0.05000,Intercept,26,inf,0.99995,0.34482,0.40000,I,100000000
0.05000,Intercept,27,0.20000,0.99998,0.31238,0.40000,I,100000000
0.05000,Intercept,27,0.33000,0.99996,0.40615,0.40000,I,100000000
0.05000,Intercept,27,0.50000,0.99996,0.39382,0.40000,I,100000000
0.05000,Intercept,27,inf,0.99996,0.42596,0.40000,I,100000000
0.05000,Intercept,28,0.20000,0.99999,0.26541,0.40000,I,100000000
0.05000,Intercept,28,0.33000,0.99999,0.41815,0.40000,I,100000000
0.05000,Intercept,28,0.50000,0.99999,0.35473,0.40000,I,100000000
0.05000,Intercept,28,inf,0.99999,0.39956,0.40000,I,100000000
0.05000,Intercept,29,0.20000,1.00000,0.43345,0.40000,I,100000000
0.05000,Intercept,29,0.33000,0.99999,0.42195,0.40000,I,100000000
0.05000,Intercept,29,0.50000,0.99999,0.39880,0.40000,I,100000000
0.05000,Intercept,29,inf,0.99999,0.52363,0.40000,I,100000000
0.05000,Intercept,30,0.20000,0.99999,0.32863,0.40000,I,100000000
0.05000,Intercept,30,0.33000,0.99999,0.31455,0.40000,I,100000000
0.05000,Intercept,30,0.50000,0.99997,0.41631,0.40000,I,100000000
0.05000,Intercept,30,inf,0.99994,0.53555,0.40000,I,100000000
0.05000,Intercept,31,0.20000,0.99999,0.30741,0.40000,I,100000000
0.05000,Intercept,31,0.33000,0.99999,0.35837,0.40000,I,100000000
0.05000,Intercept,31,0.50000,0.99999,0.42836,0.40000,I,100000000
0.05000,Intercept,31,inf,0.99998,0.45123,0.40000,I,100000000
0.05000,Intercept,32,0.20000,0.99997,0.41773,0.40000,I,100000000
0.05000,Intercept,32,0.33000,0.99996,0.38655,0.40000,I,100000000
0.05000,Intercept,32,0.50000,0.99996,0.31062,0.40000,I,100000000
0.05000,Intercept,32,inf,0.99986,0.44270,0.40000,I,100000000
0.05000,Intercept,33,0.20000,0.99997,0.36066,0.40000,I,100000000
0.05000,Intercept,33,0.33000,0.99996,0.40121,0.40000,I,100000000
0.05000,Intercept,33,0.50000,0.99996,0.39324,0.40000,I,100000000
0.05000,Intercept,33,inf,0.99996,0.35735,0.40000,I,100000000
0.05000,Intercept,34,0.20000,0.99998,0.29909,0.40000,I,100000000
0.05000,Intercept,34,0.33000,0.99997,0.30642,0.40000,I,100000000
0.05000,Intercept,34,0.50000,0.99998,0.28188,0.40000,I,100000000
0.05000,Intercept,34,inf,0.99994,0.39099,0.40000,I,100000000
0.05000,Intercept,35,0.20000,0.99999,0.40552,0.40000,I,100000000
0.05000,Intercept,35,0.33000,0.99999,0.44563,0.40000,I,100000000
0.05000,Intercept,35,0.50000,0.99999,0.48815,0.40000,I,100000000
0.05000,Intercept,35,inf,0.99998,0.43406,0.40000,I,100000000
0.05000,Intercept,36,0.20000,0.99995,0.34669,0.40000,I,100000000
0.05000,Intercept,36,0.33000,0.99995,0.36435,0.40000,I,100000000
0.05000,Intercept,36,0.50000,0.99993,0.39607,0.40000,I,100000000
0.05000,Intercept,36,inf,0.99990,0.35359,0.40000,I,100000000
0.05000,Intercept,37,0.20000,0.99990,0.39751,0.40000,I,100000000
0.05000,Intercept,37,0.33000,0.99987,0.36369,0.40000,I,100000000
0.05000,Intercept,37,0.50000,0.99992,0.35207,0.40000,I,100000000
0.05000,Intercept,37,inf,0.99992,0.32422,0.40000,I,100000000
0.05000,Intercept,38,0.20000,0.99999,0.42153,0.40000,I,100000000
0.05000,Intercept,38,0.33000,0.99999,0.44061,0.40000,I,100000000
0.05000,Intercept,38,0.50000,0.99999,0.41204,0.40000,I,100000000
0.05000,Intercept,38,inf,0.99998,0.39890,0.40000,I,100000000
0.05000,Intercept,39,0.20000,0.99998,0.31893,0.40000,I,100000000
0.05000,Intercept,39,0.33000,0.99998,0.33601,0.40000,I,100000000
0.05000,Intercept,39,0.50000,0.99998,0.39313,0.40000,I,100000000
0.05000,Intercept,39,inf,0.99994,0.42121,0.40000,I,100000000
0.05000,Intercept,40,0.20000,0.99998,0.44994,0.40000,I,100000000
0.05000,Intercept,40,0.33000,0.99996,0.42086,0.40000,I,100000000
0.05000,Intercept,40,0.50000,0.99997,0.48464,0.40000,I,100000000
0.05000,Intercept,40,inf,0.99991,0.40122,0.40000,I,100000000
0.05000,Intercept,41,0.20000,0.99990,0.40656,0.40000,I,100000000
0.05000,Intercept,41,0.33000,0.99989,0.40780,0.40000,I,100000000
0.05000,Intercept,41,0.50000,0.99992,0.37914,0.40000,I,100000000
0.05000,Intercept,41,inf,0.99965,0.41831,0.40000,I,100000000
0.05000,Intercept,42,0.20000,0.99997,0.35858,0.40000,I,100000000
0.05000,Intercept,42,0.33000,0.99998,0.35553,0.40000,I,100000000
0.05000,Intercept,42,0.50000,0.99997,0.34595,0.40000,I,100000000
0.05000,Intercept,42,inf,0.99992,0.40044,0.40000,I,100000000
0.05000,Intercept,43,0.20000,0.99991,0.42555,0.40000,I,100000000
0.05000,Intercept,43,0.33000,0.99995,0.37585,0.40000,I,100000000
0.05000,Intercept,43,0.50000,0.99995,0.37340,0.40000,I,100000000
0.05000,Intercept,43,inf,0.99990,0.37379,0.40000,I,100000000
0.05000,Intercept,44,0.20000,0.99999,0.39973,0.40000,I,100000000
0.05000,Intercept,44,0.33000,0.99999,0.39948,0.40000,I,100000000
0.05000,Intercept,44,0.50000,0.99999,0.36067,0.40000,I,100000000
0.05000,Intercept,44,inf,0.99998,0.39678,0.40000,I,100000000
0.05000,Intercept,45,0.20000,0.99999,0.37463,0.40000,I,100000000
0.05000,Intercept,45,0.33000,0.99999,0.34527,0.40000,I,100000000
0.05000,Intercept,45,0.50000,0.99999,0.35017,0.40000,I,100000000
0.05000,Intercept,45,inf,0.99996,0.46605,0.40000,I,100000000
0.05000,Intercept,46,0.20000,0.99998,0.40670,0.40000,I,100000000
0.05000,Intercept,46,0.33000,0.99997,0.37494,0.40000,I,100000000
0.05000,Intercept,46,0.50000,0.99997,0.46671,0.40000,I,100000000
0.05000,Intercept,46,inf,0.99997,0.31000,0.40000,I,100000000
0.05000,Intercept,47,0.20000,0.99992,0.43137,0.40000,I,100000000
0.05000,Intercept,47,0.33000,0.99990,0.41627,0.40000,I,100000000
0.05000,Intercept,47,0.50000,0.99991,0.40690,0.40000,I,100000000
0.05000,Intercept,47,inf,0.99985,0.40527,0.40000,I,100000000
0.05000,Intercept,48,0.20000,0.99999,0.46061,0.40000,I,100000000
0.05000,Intercept,48,0.33000,0.99999,0.43153,0.40000,I,100000000
0.05000,Intercept,48,0.50000,0.99999,0.44710,0.40000,I,100000000
0.05000,Intercept,48,inf,0.99997,0.36794,0.40000,I,100000000
0.05000,Intercept,49,0.20000,0.99994,0.36364,0.40000,I,100000000
0.05000,Intercept,49,0.33000,0.99992,0.44192,0.40000,I,100000000
0.05000,Intercept,49,0.50000,0.99995,0.40376,0.40000,I,100000000
0.05000,Intercept,49,inf,0.99989,0.40175,0.40000,I,100000000
0.05000,Intercept,50,0.20000,0.99998,0.29134,0.40000,I,100000000
0.05000,Intercept,50,0.33000,0.99997,0.42357,0.40000,I,100000000
0.05000,Intercept,50,0.50000,0.99997,0.43711,0.40000,I,100000000
0.05000,Intercept,50,inf,0.99993,0.39098,0.40000,I,100000000
0.05000,Intercept,51,0.20000,0.99998,0.39625,0.40000,I,100000000
0.05000,Intercept,51,0.33000,0.99997,0.37892,0.40000,I,100000000
0.05000,Intercept,51,0.50000,0.99997,0.37788,0.40000,I,100000000
0.05000,Intercept,51,inf,0.99993,0.44512,0.40000,I,100000000
0.05000,Intercept,52,0.20000,0.99994,0.41105,0.40000,I,100000000
0.05000,Intercept,52,0.33000,0.99994,0.41400,0.40000,I,100000000
0.05000,Intercept,52,0.50000,0.99993,0.38316,0.40000,I,100000000
0.05000,Intercept,52,inf,0.99992,0.40676,0.40000,I,100000000
0.05000,Intercept,53,0.20000,0.99998,0.42006,0.40000,I,100000000
0.05000,Intercept,53,0.33000,0.99998,0.45532,0.40000,I,100000000
0.05000,Intercept,53,0.50000,0.99998,0.37187,0.40000,I,100000000
0.05000,Intercept,53,inf,0.99998,0.34400,0.40000,I,100000000
0.05000,Intercept,54,0.20000,0.99995,0.39563,0.40000,I,100000000
0.05000,Intercept,54,0.33000,0.99995,0.36676,0.40000,I,100000000
0.05000,Intercept,54,0.50000,0.99997,0.36801,0.40000,I,100000000
0.05000,Intercept,54,inf,0.99983,0.39032,0.40000,I,100000000
0.05000,Intercept,55,0.20000,0.99996,0.42524,0.40000,I,100000000
0.05000,Intercept,55,0.33000,0.99995,0.37697,0.40000,I,100000000
0.05000,Intercept,55,0.50000,0.99995,0.37044,0.40000,I,100000000
0.05000,Intercept,55,inf,0.99991,0.35767,0.40000,I,100000000
0.05000,Intercept,56,0.20000,0.99999,0.32742,0.40000,I,100000000
0.05000,Intercept,56,0.33000,0.99999,0.28997,0.40000,I,100000000
0.05000,Intercept,56,0.50000,0.99999,0.32620,0.40000,I,100000000
0.05000,Intercept,56,inf,0.99997,0.39628,0.40000,I,100000000
0.05000,Intercept,57,0.20000,0.99997,0.41429,0.40000,I,100000000
0.05000,Intercept,57,0.33000,0.99994,0.43548,0.40000,I,100000000
0.05000,Intercept,57,0.50000,0.99994,0.43346,0.40000,I,100000000
0.05000,Intercept,57,inf,0.99994,0.38328,0.40000,I,100000000
0.05000,Intercept,58,0.20000,0.99999,0.26514,0.40000,I,100000000
0.05000,Intercept,58,0.33000,0.99999,0.25524,0.40000,I,100000000
0.05000,Intercept,58,0.50000,0.99998,0.31593,0.40000,I,100000000
0.05000,Intercept,58,inf,0.99995,0.47710,0.40000,I,100000000
0.05000,Intercept,59,0.20000,0.99996,0.43740,0.40000,I,100000000
0.05000,Intercept,59,0.33000,0.99993,0.45487,0.40000,I,100000000
0.05000,Intercept,59,0.50000,0.99995,0.44364,0.40000,I,100000000
0.05000,Intercept,59,inf,0.99993,0.36847,0.40000,I,100000000
0.05000,Intercept,60,0.20000,0.99997,0.38240,0.40000,I,100000000
0.05000,Intercept,60,0.33000,0.99997,0.38777,0.40000,I,100000000
0.05000,Intercept,60,0.50000,0.99998,0.33018,0.40000,I,100000000
0.05000,Intercept,60,inf,0.99995,0.36806,0.40000,I,100000000
0.05000,Intercept,61,0.20000,0.99999,0.30438,0.40000,I,100000000
0.05000,Intercept,61,0.33000,0.99999,0.33197,0.40000,I,100000000
0.05000,Intercept,61,0.50000,0.99999,0.38506,0.40000,I,100000000
0.05000,Intercept,61,inf,0.99997,0.51136,0.40000,I,100000000
0.05000,Intercept,62,0.20000,0.99997,0.43699,0.40000,I,100000000
