country,date,cases,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy,quantile_0.025_policy,quantile_0.025_no_policy,quantile_0.15_policy,quantile_0.15_no_policy,quantile_0.85_policy,quantile_0.85_no_policy,quantile_0.975_policy,quantile_0.975_no_policy
France,1/24/2020,,,,,,,,,,,
France,1/25/2020,,,,,,,,,,,
France,1/26/2020,,,,,,,,,,,
France,1/27/2020,,,,,,,,,,,
France,1/28/2020,,,,,,,,,,,
France,1/29/2020,,,,,,,,,,,
France,1/30/2020,,,,,,,,,,,
France,1/31/2020,,,,,,,,,,,
France,2/1/2020,,,,,,,,,,,
France,2/2/2020,,,,,,,,,,,
France,2/3/2020,,,,,,,,,,,
France,2/4/2020,,,,,,,,,,,
France,2/5/2020,,,,,,,,,,,
France,2/6/2020,,,,,,,,,,,
France,2/7/2020,,,,,,,,,,,
France,2/8/2020,,,,,,,,,,,
France,2/9/2020,,,,,,,,,,,
France,2/10/2020,,,,,,,,,,,
France,2/11/2020,,,,,,,,,,,
France,2/12/2020,,,,,,,,,,,
France,2/13/2020,,,,,,,,,,,
France,2/14/2020,,,,,,,,,,,
France,2/15/2020,,,,,,,,,,,
France,2/16/2020,,,,,,,,,,,
France,2/17/2020,,,,,,,,,,,
France,2/18/2020,,,,,,,,,,,
France,2/19/2020,,,,,,,,,,,
France,2/20/2020,,,,,,,,,,,
France,2/21/2020,,,,,,,,,,,
France,2/22/2020,,,,,,,,,,,
France,2/23/2020,,,,,,,,,,,
France,2/24/2020,,,,,,,,,,,
France,2/25/2020,,,,,,,,,,,
France,2/26/2020,,,,,,,,,,,
France,2/27/2020,11,,,,,,,,,,
France,2/28/2020,11,,,,,,,,,,
France,2/29/2020,48,,,,,,,,,,
France,3/1/2020,65,,,,,,,,,,
France,3/2/2020,141,141,141,141,141,141,141,141,141,141,141
France,3/3/2020,191,218.888,224.409,205.713,203.596,212.018,213.476,225.757,235.941,232.583,245.858
France,3/4/2020,259,311.673,327.571,280.22,274.241,295.335,297.817,329.72,359.455,349.35,390.611
France,3/5/2020,388,466.13,501.374,403.644,390.836,432.52,438.852,506.627,576.499,546.305,646.221
France,3/6/2020,600,722.929,801.765,609.255,589.92,661.362,679.035,800.926,960.147,881.055,1108.703
France,3/7/2020,934,1028.102,1183.456,833.108,810.859,921.721,959.723,1161.571,1494.44,1311.149,1805.769
France,3/8/2020,1163,1399.431,1743.08,1119.236,1104.253,1249.58,1355.561,1612.867,2318.973,1824.49,2953.311
France,3/9/2020,1430,1838.579,2497.784,1443.381,1464.857,1627.124,1849.062,2153.291,3558.936,2479.165,4649.945
France,3/10/2020,1773,2323.546,3465.599,1790.805,1849.311,2032.112,2440.769,2784.084,5278.604,3238.716,7246.989
France,3/11/2020,2269,2963.521,4962.413,2276.337,2442.251,2596.851,3354.617,3590.907,8062.949,4281.886,11796.239
France,3/12/2020,2860,3895.272,7360.099,2998.64,3297.704,3432.014,4737.82,4795.377,12923.512,5642.006,19514.799
France,3/13/2020,3662,4947.559,11032.439,3860.121,4567.675,4413.194,6757.254,6137.157,20778.491,7320.941,33089.707
France,3/14/2020,4469,6185.429,16323.72,4911.944,6234.331,5556.875,9461.952,7758.68,32745.588,9165.101,55511.122
France,3/15/2020,5380,7396.082,24167.286,5872.793,8456.363,6671.156,13371.936,9446.81,51747.263,11301.298,91146.895
France,3/16/2020,6573,8735.248,34448.654,6886.487,11051.396,7870.011,18209.124,11416.503,78946.398,13806.173,139214.045
France,3/17/2020,7652,9968.685,47941.768,7870.846,14067.834,9016.91,24126.073,13298.806,115161.441,16221.495,206591.343
France,3/18/2020,9043,11663.194,68308.425,9210.104,18411.662,10584.014,33354.403,15866.772,168765.826,19750.452,292395.275
France,3/19/2020,10871,14019.731,99351.449,11137.13,24437.881,12738.486,47138.069,19493.511,243252.809,24590.626,403982.488
France,3/20/2020,12459,16962.963,143067.738,13368.51,32942.795,15531.226,67220.915,24078.107,334635.007,31458.242,530698.756
France,3/21/2020,14282,20262.419,198644.913,15853.206,44240.919,18587.699,93406.159,29500.258,442098.174,39148.536,666715.676
France,3/22/2020,16481,24199.927,268036.96,18764.677,59745.69,22261.359,128713.788,36134.516,561133.465,49065.13,812121.507
France,3/23/2020,19615,27923.074,342013.053,21539.174,78374.2,25493.652,169802.493,42826.295,682333.992,58697.775,958397.241
France,3/24/2020,22025,31630.175,419518.091,24161.128,97708.319,28750.64,216231.502,49579.364,802802.137,68377.259,1069619.333
France,3/25/2020,24920,36686.663,511205.561,27857.304,125369.771,33524.767,278669.282,58800.411,928127.864,81640.672,1195973.119
France,3/26/2020,,43663.986,617977.327,33317.209,163732.802,39817.649,362785.161,71089.5,1067546.797,99937.797,1351390.556
France,3/27/2020,,52293.768,731987.294,39807.137,213723.28,47946.799,457981.707,87172.527,1214361.37,124458.177,1498457.311
France,3/28/2020,,61873.097,844371.832,47150.62,276537.349,56613.142,563534.623,104884.392,1356950.189,146876.092,1642554.54
France,3/29/2020,,73147.596,957820.011,55596.669,351118.803,67114.854,672673.096,125887.169,1496773.854,173285.201,1778476.517
France,3/30/2020,,83891.541,1059038.582,62995.638,426946.427,77174.587,780125.226,146447.854,1617276.259,197625.38,1895645.249
France,3/31/2020,,94494.84,1151592.333,70922.231,492391.376,86517.919,883286.745,166261.481,1727813.149,222900.351,1994693.177
France,4/1/2020,,108679.319,1250229.511,81429.38,590521.649,100176.603,1000533.407,192767.687,1840575.652,254644.391,2083595.985
France,4/2/2020,,127780.544,1353480.203,95031.161,704372.766,118142.66,1140830.939,224562.706,1949116.846,294048.314,2162398.742
France,4/3/2020,,150738.856,1451259.099,113340.692,819813.182,139763.415,1275625.406,262404.546,2049727.859,342818.827,2229743.023
France,4/4/2020,,175426.981,1535690.517,130986.769,929212.465,163852.76,1401239.733,300181.38,2129739.415,388410.725,2282689.065
France,4/5/2020,,203440.655,1609843.747,153079.956,1051370.129,191553.926,1518687.991,342251.941,2194625.443,439871.238,2326469.886
France,4/6/2020,,229195.743,1666900.893,172129.079,1149434.228,216023.513,1620049.825,380148.768,2246096.924,485335.952,2356271.883
United States,1/15/2020,,,,,,,,,,,
United States,1/16/2020,,,,,,,,,,,
United States,1/17/2020,,,,,,,,,,,
United States,1/18/2020,,,,,,,,,,,
United States,1/19/2020,,,,,,,,,,,
United States,1/20/2020,,,,,,,,,,,
United States,1/21/2020,,,,,,,,,,,
United States,1/22/2020,,,,,,,,,,,
United States,1/23/2020,,,,,,,,,,,
United States,1/24/2020,,,,,,,,,,,
United States,1/25/2020,,,,,,,,,,,
United States,1/26/2020,,,,,,,,,,,
United States,1/27/2020,,,,,,,,,,,
United States,1/28/2020,,,,,,,,,,,
United States,1/29/2020,,,,,,,,,,,
United States,1/30/2020,,,,,,,,,,,
United States,1/31/2020,,,,,,,,,,,
United States,2/1/2020,,,,,,,,,,,
United States,2/2/2020,,,,,,,,,,,
United States,2/3/2020,,,,,,,,,,,
United States,2/4/2020,,,,,,,,,,,
United States,2/5/2020,,,,,,,,,,,
United States,2/6/2020,,,,,,,,,,,
United States,2/7/2020,,,,,,,,,,,
United States,2/8/2020,,,,,,,,,,,
United States,2/9/2020,,,,,,,,,,,
United States,2/10/2020,,,,,,,,,,,
United States,2/11/2020,,,,,,,,,,,
United States,2/12/2020,,,,,,,,,,,
United States,2/13/2020,,,,,,,,,,,
United States,2/14/2020,,,,,,,,,,,
United States,2/15/2020,,,,,,,,,,,
United States,2/16/2020,,,,,,,,,,,
United States,2/17/2020,,,,,,,,,,,
United States,2/18/2020,,,,,,,,,,,
United States,2/19/2020,,,,,,,,,,,
United States,2/20/2020,,,,,,,,,,,
United States,2/21/2020,,,,,,,,,,,
United States,2/22/2020,,,,,,,,,,,
United States,2/23/2020,,,,,,,,,,,
United States,2/24/2020,,,,,,,,,,,
United States,2/25/2020,,,,,,,,,,,
United States,2/26/2020,,,,,,,,,,,
United States,2/27/2020,,,,,,,,,,,
United States,2/28/2020,,,,,,,,,,,
United States,2/29/2020,,,,,,,,,,,
United States,3/1/2020,,,,,,,,,,,
United States,3/2/2020,,,,,,,,,,,
United States,3/3/2020,61,61,61,61,61,61,61,61,61,61,61
United States,3/4/2020,98,96.809,97.739,92.238,92.96,94.254,95.219,99.53,100.624,101.669,102.686
United States,3/5/2020,155,140.745,141.664,127.628,127.697,133.299,134.216,149.068,150.541,155.256,156.987
United States,3/6/2020,182,200.131,200.809,172.43,172.581,184.332,185.403,218.768,219.001,230.832,233.817
United States,3/7/2020,277,277.485,277.608,227.558,225.838,249.031,248.798,311.883,313.128,337.704,341.142
United States,3/8/2020,386,418.298,417.557,336.63,332.507,371.186,369.401,479.49,480.224,528.205,531.775
United States,3/9/2020,636,656.451,655.085,522.741,515.617,578.724,574.521,762.869,764.866,843.689,853.585
United States,3/10/2020,918,943.53,943.694,722.509,711.345,814.918,810.362,1124.801,1134.173,1270.493,1305.13
United States,3/11/2020,1286,1373.744,1378.556,1016.336,1001.865,1163.666,1159.26,1685.758,1716.663,1956.188,2057.376
United States,3/12/2020,1696,1929.056,2043.151,1446.666,1419.687,1639.464,1674.435,2362.488,2639.39,2736.18,3279.394
United States,3/13/2020,2239,2606.66,2928.487,1992.236,1972.572,2232.45,2350.171,3164.229,3888.429,3682.094,4940.27
United States,3/14/2020,2889,3582.764,4136.361,2743.436,2651.943,3063.454,3227.824,4370.441,5740.416,5140.382,7640.887
United States,3/15/2020,3666,4640.78,5590.58,3540.555,3366.468,3966.68,4215.438,5760.559,8154.743,6836.699,11409.125
United States,3/16/2020,4661,6087.638,7766.946,4619.862,4376.613,5178.27,5649.917,7656.538,11955.652,9160.589,17474.067
United States,3/17/2020,6245,8019.152,10895.851,6086.306,5806.109,6840.689,7666.969,10170.354,17798.814,12469.355,27770.591
United States,3/18/2020,9184,10730.121,15528.473,8097.627,7696.075,9171.286,10534.664,13806.899,27051.724,17474.477,45237.943
United States,3/19/2020,14217,14317.513,22572.528,10700.8,10469.914,12094.296,14688.649,18951.84,41806.819,25093.918,75617.935
United States,3/20/2020,19124,18876.915,32495.701,13809.324,14040.051,15936.981,20282.716,25728.735,64975.431,35345.241,123198.031
United States,3/21/2020,26459,24500.185,46220.108,17749.281,18648.448,20614.254,27533.258,34370.455,99532.795,48900.351,198882.662
United States,3/22/2020,33746,29912.166,63845.499,21759.662,23891.912,25065.134,36561.692,42553.914,147421.636,61946.369,308385.229
United States,3/23/2020,43883,36773.168,90275.943,26648.813,31115.189,30862.65,49253.593,53412.203,223278.863,80912.14,478040.636
United States,3/24/2020,53875,45208.894,129102.162,33073.071,41563.358,38117.558,67357.911,66540.824,338732.497,102536.427,724326.039
United States,3/25/2020,68559,55971.915,186669.706,40762.772,55819.191,47241.487,94144.587,83558.108,515182.125,133148.322,1069003.214
United States,3/26/2020,84967,70078.919,273107.707,50156.133,75986.881,58522.155,134860.974,107303.157,768767.948,176972.132,1526566.96
United States,3/27/2020,102596,86876.692,392836.231,62216.006,102959.522,72272.122,188939.841,136510.658,1103018.561,225301.836,1948515.285
United States,3/28/2020,122969,105781.673,548919.652,75996.123,136468.894,88277.488,258241.953,170378.45,1498933.537,283819.752,2408610.802
United States,3/29/2020,141738,125237.604,734391.205,90038.063,178256.815,105436.981,343600.356,205921.292,1927758.006,351298.217,2841058.226
United States,3/30/2020,163690,150026.062,980604.66,106210.548,235279.576,125908.19,471312.835,251887.577,2411770.935,429029.066,3412784.831
United States,3/31/2020,186734,180816.873,1288067.905,126580.949,317180.561,151802.795,644808.102,311028.402,2963600.965,530388.634,4134582.493
United States,4/1/2020,213118,218792.838,1665159.083,154367.049,429666.726,183703.618,882225.904,389409.579,3603143.517,657139.716,5014978.666
United States,4/2/2020,241840,267776.729,2126196.297,184698.53,572502.822,224373.746,1225099.027,488297.68,4445544.633,835710.228,6180381.643
United States,4/3/2020,277044,320878.723,2650749.151,218125.764,773641.162,268228.436,1622443.396,596038.193,5426832.43,994026.293,7475819.516
United States,4/4/2020,310722,377410.159,3230305.565,257709.519,1035017.785,318428.671,2107530.927,713399.365,6578810.457,1187568.452,8965271.277
United States,4/5/2020,335440,431724.943,3833738.33,294562.781,1331669.666,365597.411,2592417.804,824040.726,7737624.311,1363218.393,10562876.48
United States,4/6/2020,365304,501111.655,4566765.245,340583.996,1695575.036,424510.107,3215247.677,962264.102,9136354.92,1564557.332,12243584.85
