t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter2,ub_counter2,m_y_actual,m_y_counter,day_avg
16feb2020,0,0,.040598,.3167302,.2816413,.351819,,,
17feb2020,0,0,.040598,.3167302,.2816413,.351819,,,
18feb2020,.0049987,0,.0477007,.3167302,.2816413,.351819,,,
19feb2020,.0049987,0,.0477007,.3167302,.2816413,.351819,,,
20feb2020,0,0,.0396941,.3087101,.2736368,.3437833,,,
21feb2020,.0049987,0,.0477007,.3167302,.2816413,.351819,,,
22feb2020,0,0,.0303845,.3167302,.2816413,.351819,,,
23feb2020,0,0,.0303845,.3167302,.2816413,.351819,,,
24feb2020,0,0,.0303845,.3167302,.2816413,.351819,,,
25feb2020,0,0,.0291426,.3167302,.2816413,.351819,,,
26feb2020,0,0,.0291426,.3167302,.2816413,.351819,,,
27feb2020,0,0,.0291426,.3167302,.2816413,.351819,,,
28feb2020,0,0,.0291426,.3167302,.2816413,.351819,,,
29feb2020,0,0,.023258,.3167302,.2816413,.351819,,,
01mar2020,0,0,.023258,.3167302,.2816413,.351819,,,
02mar2020,0,0,.023258,.3167302,.2816413,.351819,,,
03mar2020,0,0,.023258,.3167302,.2816413,.351819,,,
04mar2020,0,0,.023258,.3167302,.2816413,.351819,,,
05feb2020,.1447134,.089047,.2003797,.3082929,.2732041,.3433818,,,
06feb2020,.1212553,.0695775,.1729331,.2848349,.2561745,.3134953,,,
07feb2020,.0502245,0,.1018421,.3082929,.2732041,.3433818,,,
08feb2020,.0502245,0,.1018421,.3082929,.2732041,.3433818,,,
09feb2020,.0502245,0,.1018421,.3082929,.2732041,.3433818,,,
10feb2020,.0502245,0,.1018421,.3082929,.2732041,.3433818,,,
11feb2020,.02521,0,.0737207,.3082929,.2732041,.3433818,,,
12feb2020,.02521,0,.0737207,.3082929,.2732041,.3433818,,,
13feb2020,.0230684,0,.0692644,.3061512,.2704773,.3418252,,,
14feb2020,.02521,0,.0737207,.3082929,.2732041,.3433818,,,
15feb2020,0,0,.0321607,.3082929,.2732041,.3433818,,,
16feb2020,0,0,.0321607,.3082929,.2732041,.3433818,,,
17feb2020,0,0,.0321607,.3082929,.2732041,.3433818,,,
18feb2020,0,0,.0392635,.3082929,.2732041,.3433818,,,
19feb2020,0,0,.0392635,.3082929,.2732041,.3433818,,,
20feb2020,0,0,.0312568,.3002728,.2651996,.3353461,,,
21feb2020,0,0,.0392635,.3082929,.2732041,.3433818,,,
22feb2020,0,0,.0219473,.3082929,.2732041,.3433818,,,
23feb2020,0,0,.0219473,.3082929,.2732041,.3433818,,,
24feb2020,0,0,.0219473,.3082929,.2732041,.3433818,,,
25feb2020,0,0,.0207053,.3082929,.2732041,.3433818,,,
26feb2020,0,0,.0207053,.3082929,.2732041,.3433818,,,
27feb2020,0,0,.0207053,.3082929,.2732041,.3433818,,,
28feb2020,0,0,.0207053,.3082929,.2732041,.3433818,,,
29feb2020,0,0,.0148208,.3082929,.2732041,.3433818,,,
01mar2020,0,0,.0148208,.3082929,.2732041,.3433818,,,
02mar2020,0,0,.0148208,.3082929,.2732041,.3433818,,,
03mar2020,0,0,.0148208,.3082929,.2732041,.3433818,,,
28jan2020,.4286837,.3846816,.4726858,.4698794,.450901,.4888579,,,
29jan2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
30jan2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
31jan2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
01feb2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
02feb2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
03feb2020,.2844499,.2299065,.3389932,.3256456,.2905568,.3607345,,,
04feb2020,.162066,.1063996,.2177324,.3256456,.2905568,.3607345,,,
05feb2020,.0675772,.0159596,.1191948,.3256456,.2905568,.3607345,,,
06feb2020,.0441191,0,.0963794,.3021876,.2735271,.3308479,,,
07feb2020,.0675772,.0159596,.1191948,.3256456,.2905568,.3607345,,,
08feb2020,.0675772,.0159596,.1191948,.3256456,.2905568,.3607345,,,
09feb2020,.0675772,.0159596,.1191948,.3256456,.2905568,.3607345,,,
10feb2020,.0675772,.0159596,.1191948,.3256456,.2905568,.3607345,,,
11feb2020,.0425627,0,.0910733,.3256456,.2905568,.3607345,,,
12feb2020,.0425627,0,.0910733,.3256456,.2905568,.3607345,,,
13feb2020,0,0,.0460612,.3235039,.2878299,.3591779,,,
14feb2020,.0019334,0,.0495134,.3256456,.2905568,.3607345,,,
15feb2020,.0019334,0,.0495134,.3256456,.2905568,.3607345,,,
16feb2020,.0019334,0,.0495134,.3256456,.2905568,.3607345,,,
17feb2020,.0019334,0,.0495134,.3256456,.2905568,.3607345,,,
18feb2020,.0139141,0,.0566162,.3256456,.2905568,.3607345,,,
19feb2020,.0139141,0,.0566162,.3256456,.2905568,.3607345,,,
20feb2020,0,0,.0313949,.3176255,.2825523,.3526987,,,
21feb2020,0,0,.0392999,.3256456,.2905568,.3607345,,,
22feb2020,0,0,.0392999,.3256456,.2905568,.3607345,,,
23feb2020,0,0,.0392999,.3256456,.2905568,.3607345,,,
24feb2020,0,0,.0392999,.3256456,.2905568,.3607345,,,
25feb2020,0,0,.038058,.3256456,.2905568,.3607345,,,
26feb2020,0,0,.038058,.3256456,.2905568,.3607345,,,
27feb2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
28feb2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
29feb2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
01mar2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
02mar2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
03mar2020,0,0,.0321735,.3256456,.2905568,.3607345,,,
26jan2020,.3199322,.2848433,.355021,.3199322,.2848433,.355021,,,
28jan2020,.4229703,.3789682,.4669724,.464166,.4451876,.4831444,,,
29jan2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
30jan2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
31jan2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
01feb2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
02feb2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
03feb2020,.2787364,.2241931,.3332798,.3199322,.2848433,.355021,,,
04feb2020,.1563526,.1006862,.212019,.3199322,.2848433,.355021,,,
05feb2020,.0618637,.0102461,.1134814,.3199322,.2848433,.355021,,,
06feb2020,.0384057,0,.0906659,.2964741,.2678137,.3251345,,,
07feb2020,.0618637,.0102461,.1134814,.3199322,.2848433,.355021,,,
08feb2020,.0618637,.0102461,.1134814,.3199322,.2848433,.355021,,,
09feb2020,.0618637,.0102461,.1134814,.3199322,.2848433,.355021,,,
10feb2020,.0618637,.0102461,.1134814,.3199322,.2848433,.355021,,,
11feb2020,.0368493,0,.0853599,.3199322,.2848433,.355021,,,
12feb2020,.0368493,0,.0853599,.3199322,.2848433,.355021,,,
13feb2020,0,0,.0403477,.3177905,.2821165,.3534645,,,
14feb2020,0,0,.0437999,.3199322,.2848433,.355021,,,
15feb2020,0,0,.0437999,.3199322,.2848433,.355021,,,
16feb2020,0,0,.0437999,.3199322,.2848433,.355021,,,
17feb2020,0,0,.0437999,.3199322,.2848433,.355021,,,
18feb2020,.0082007,0,.0509027,.3199322,.2848433,.355021,,,
19feb2020,.0082007,0,.0509027,.3199322,.2848433,.355021,,,
20feb2020,0,0,.0256815,.3119121,.2768388,.3469853,,,
21feb2020,0,0,.0335865,.3199322,.2848433,.355021,,,
24feb2020,0,0,.0335865,.3199322,.2848433,.355021,,,
25feb2020,0,0,.0323445,.3199322,.2848433,.355021,,,
26feb2020,0,0,.0323445,.3199322,.2848433,.355021,,,
27feb2020,0,0,.02646,.3199322,.2848433,.355021,,,
28feb2020,0,0,.02646,.3199322,.2848433,.355021,,,
29feb2020,0,0,.02646,.3199322,.2848433,.355021,,,
01mar2020,0,0,.02646,.3199322,.2848433,.355021,,,
02mar2020,0,0,.02646,.3199322,.2848433,.355021,,,
03mar2020,0,0,.02646,.3199322,.2848433,.355021,,,
04mar2020,0,0,.02646,.3199322,.2848433,.355021,,,
05mar2020,0,0,.0272632,.3229149,.2858991,.3599306,,,
05feb2020,.0943293,.0427117,.1459469,.3523978,.3173089,.3874866,,,
06feb2020,.0708713,.018611,.1231315,.3289397,.3002793,.3576001,,,
07feb2020,.0943293,.0427117,.1459469,.3523978,.3173089,.3874866,,,
08feb2020,.0943293,.0427117,.1459469,.3523978,.3173089,.3874866,,,
09feb2020,.0943293,.0427117,.1459469,.3523978,.3173089,.3874866,,,
10feb2020,.0537,.002084,.1053161,.3523978,.3173089,.3874866,,,
11feb2020,.0286856,0,.0762655,.3523978,.3173089,.3874866,,,
12feb2020,.0286856,0,.0762655,.3523978,.3173089,.3874866,,,
13feb2020,.0265439,0,.0728133,.3502561,.3145821,.3859301,,,
14feb2020,.0286856,0,.0762655,.3523978,.3173089,.3874866,,,
15feb2020,.0286856,0,.0762655,.3523978,.3173089,.3874866,,,
16feb2020,.0286856,0,.0762655,.3523978,.3173089,.3874866,,,
17feb2020,.0109141,0,.0587176,.3523978,.3173089,.3874866,,,
18feb2020,.0228948,0,.0660521,.3523978,.3173089,.3874866,,,
19feb2020,.0228948,0,.0660521,.3523978,.3173089,.3874866,,,
20feb2020,.0148747,0,.0581471,.3443776,.3093044,.3794509,,,
21feb2020,.0228948,0,.0660521,.3523978,.3173089,.3874866,,,
22feb2020,.0228948,0,.0660521,.3523978,.3173089,.3874866,,,
23feb2020,.0228948,0,.0660521,.3523978,.3173089,.3874866,,,
24feb2020,.0162941,0,.060391,.3523978,.3173089,.3874866,,,
25feb2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
26feb2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
27feb2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
28feb2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
29feb2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
01mar2020,.0151784,0,.0589256,.3523978,.3173089,.3874866,,,
02mar2020,.0137446,0,.0591411,.3523978,.3173089,.3874866,,,
03mar2020,.0137446,0,.0591411,.3523978,.3173089,.3874866,,,
04mar2020,.0137446,0,.0591411,.3523978,.3173089,.3874866,,,
06feb2020,.1590383,.1073605,.2107162,.3226179,.2939575,.3512783,,,
07feb2020,.0880075,.0363899,.1396252,.346076,.3109871,.3811648,,,
08feb2020,.0880075,.0363899,.1396252,.346076,.3109871,.3811648,,,
09feb2020,.0880075,.0363899,.1396252,.346076,.3109871,.3811648,,,
10feb2020,.0880075,.0363899,.1396252,.346076,.3109871,.3811648,,,
14feb2020,.0629931,.0144825,.1115037,.346076,.3109871,.3811648,,,
15feb2020,.0223638,0,.0699438,.346076,.3109871,.3811648,,,
16feb2020,.0223638,0,.0699438,.346076,.3109871,.3811648,,,
17feb2020,.0223638,0,.0699438,.346076,.3109871,.3811648,,,
18feb2020,.0343445,0,.0770465,.346076,.3109871,.3811648,,,
19feb2020,.0343445,0,.0770465,.346076,.3109871,.3811648,,,
20feb2020,.0263244,0,.0690399,.3380558,.3029826,.3731291,,,
21feb2020,.0343445,0,.0770465,.346076,.3109871,.3811648,,,
22feb2020,.016573,0,.0597303,.346076,.3109871,.3811648,,,
23feb2020,.016573,0,.0597303,.346076,.3109871,.3811648,,,
24feb2020,.016573,0,.0597303,.346076,.3109871,.3811648,,,
25feb2020,.0154573,0,.0584883,.346076,.3109871,.3811648,,,
