adm1_code,adm2_code,date_real,daily_count,cumul_count,adm1_name,adm2_name,adm0_name
11,11010,2020-01-26,0,0,서울특별시,종로구,South Korea
11,11010,2020-02-05,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-06,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-07,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-08,0,3,서울특별시,종로구,South Korea
11,11010,2020-01-27,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-28,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-29,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-30,1,1,서울특별시,종로구,South Korea
11,11010,2020-01-31,2,3,서울특별시,종로구,South Korea
11,11010,2020-02-01,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-02,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-03,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-04,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-18,0,5,서울특별시,종로구,South Korea
11,11010,2020-02-19,1,6,서울특별시,종로구,South Korea
11,11010,2020-02-20,3,9,서울특별시,종로구,South Korea
11,11010,2020-02-21,0,9,서울특별시,종로구,South Korea
11,11010,2020-02-09,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-10,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-11,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-12,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-13,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-14,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-15,0,3,서울특별시,종로구,South Korea
11,11010,2020-02-16,2,5,서울특별시,종로구,South Korea
11,11010,2020-02-17,0,5,서울특별시,종로구,South Korea
11,11010,2020-03-02,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-03,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-04,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-05,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-06,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-07,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-08,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-09,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-10,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-11,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-12,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-13,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-14,0,11,서울특별시,종로구,South Korea
11,11010,2020-03-01,0,11,서울특별시,종로구,South Korea
11,11010,2020-01-20,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-21,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-22,0,0,서울특별시,종로구,South Korea
11,11010,2020-01-23,0,0,서울특별시,종로구,South Korea
