"adm1_name","adm2_name","max_cases","any_policy"
"Jiangxi","Xinyu",130,1
"Jiangxi","Shangrao",123,1
"Shaanxi","Xi'an",120,1
"Jiangxi","Jiujiang",118,1
"Jiangxi","Yichun",106,1
"Guangdong","Dongguan",100,1
"Guangdong","Zhuhai",98,1
"Jiangsu","Nanjing",93,1
"Jiangsu","Suzhou",87,1
"Guangdong","Foshan",85,1
"Jiangsu","Xuzhou",79,1
"Sichuan","Garzê Tibetan Autonomous Prefecture",78,1
"Jiangxi","Ganzhou",76,1
"Fujian","Fuzhou",72,1
"Jiangxi","Fuzhou",72,1
"Jiangsu","Huai'an",66,1
"Guangdong","Huizhou",62,1
"Shandong","Qingdao",61,1
"Hebei","Tangshan",58,1
"Guangxi","Nanning",55,1
"Jiangsu","Wuxi",55,1
"Hainan","Sanya",54,1
"Yunnan","Kunming",53,1
"Jiangsu","Changzhou",51,1
"Shandong","Linyi",49,1
"Jiangsu","Lianyungang",48,1
"Shandong","Jinan",47,1
"Jilin","Changchun",45,1
"Jiangsu","Nantong",40,1
"Hainan","Haikou",39,1
"Anhui","Ma'anshan",38,1
"Jiangsu","Taizhou",37,1
"Gansu","Lanzhou",36,1
"Guizhou","Guiyang",36,1
"Ningxia","Yinchuan",36,1
"Shandong","Tai'an",35,1
"Jiangxi","Pingxiang",33,1
"Guangxi","Guilin",32,1
"Hebei","Shijiazhuang",29,1
"Guangxi","Hechi",28,1
"Ningxia","Wuzhong",28,1
"Anhui","Huaibei",27,1
"Jiangsu","Yancheng",27,1
"Shaanxi","Hanzhong",26,1
"Guangxi","Liuzhou",24,1
"Jiangsu","Yangzhou",23,1
"Jiangxi","Ji'an",22,1
"Sichuan","Mianyang",22,1
"Sichuan","Neijiang",22,1
"Guangxi","Fangchenggang",19,1
"Jiangxi","Yingtan",18,1
"Sichuan","Deyang",18,1
"Shaanxi","Xianyang",17,1
"Sichuan","Suining",17,1
"Shandong","Rizhao",16,1
"Shandong","Binzhou",15,1
"Jiangsu","Suqian",13,1
"Jiangsu","Zhenjiang",12,1
"Liaoning","Jinzhou",12,1
"Guangxi","Yulin",11,1
"Hubei","Shennongjia",11,1
