adm0_name,adm1_name,adm2_name,policy,no_gathering_size,policy_description,policy_intensity,optional,date_start,date_end,source,access_date,notes,implied_policy
FRA,84,74,school_closure_1,,,1.0,N,3/2/2020,,https://www.auvergne-rhone-alpes.ars.sante.fr/communique-de-presse-covid-19-point-de-situation-au-lundi-2-mars-14h,3/14/2020,,False
FRA,93,6,social_distance,,strict home isolation between 10pm and 5am,1.0,N,3/21/2020,,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,,True
FRA,93,6,home_isolation,,strict home isolation between 10pm and 5am,0.67,N,3/21/2020,,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,,False
FRA,93,6,event_cancel,,strict home isolation between 10pm and 5am,1.0,N,3/21/2020,,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,,True
FRA,93,6,no_gathering_inside,,strict home isolation between 10pm and 5am,1.0,N,3/21/2020,,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,,True
FRA,All,All,home_isolation,,"Ban of outside market, very limited movement outside of home (no more than 1 km for more than one hour)",1.0,N,3/23/2020,,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&fastPos=1&fastReqId=2083200511&categorieLien=cid&oldAction=rechTexte,3/25/2020,,False
FRA,All,All,no_gathering_inside,,"Ban of outside market, very limited movement outside of home (no more than 1 km for more than one hour)",1.0,N,3/23/2020,,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&fastPos=1&fastReqId=2083200511&categorieLien=cid&oldAction=rechTexte,3/25/2020,,True
FRA,All,All,event_cancel,,"Ban of outside market, very limited movement outside of home (no more than 1 km for more than one hour)",1.0,N,3/23/2020,,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&fastPos=1&fastReqId=2083200511&categorieLien=cid&oldAction=rechTexte,3/25/2020,,True
FRA,All,All,social_distance,,"Ban of outside market, very limited movement outside of home (no more than 1 km for more than one hour)",1.0,N,3/23/2020,,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&fastPos=1&fastReqId=2083200511&categorieLien=cid&oldAction=rechTexte,3/25/2020,,True
FRA,32,60,event_cancel,,canceled professional football game between FC Chambly Oise and Le Mans FC,1.0,N,3/3/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,44,68,school_closure_3,,,1.0,N,3/4/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,93,13,school_closure_1,,one school with confirmed case closed,1.0,N,3/4/2020,,https://www.paca.ars.sante.fr/coronavirus-en-provence-alpes-cote-dazur-point-de-situation,3/15/2020,,False
FRA,24,45,school_closure_1,,"minor, due to a professor testing positive",1.0,N,3/5/2020,,https://www.centre-val-de-loire.ars.sante.fr/coronavirus-un-troisieme-cas-confirme-en-region-centre-val-de-loire,3/14/2020,,False
FRA,11,93,school_closure_1,,high school with confirmed case closed,1.0,N,3/6/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200306.pdf,3/15/2020,,False
FRA,32,59,school_closure_1,,one school with confirmed case closed,1.0,N,3/6/2020,,https://www.hauts-de-france.ars.sante.fr/covid-19-une-ecole-fermee-dans-le-douaisis,3/14/2020,,False
FRA,44,68,event_cancel,,all professional sport events to be without public,1.0,N,3/6/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,,False
FRA,11,93,school_closure_1,,nursery school with confirmed case closed,1.0,N,3/6/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200306.pdf,3/15/2020,,False
FRA,44,68,social_distance,,"closed public pools, except for training and competitions",1.0,N,3/6/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,,False
FRA,44,68,social_distance,,"minors cannot visit dependent elderly or long-term care establishments, recommend adults as well",1.0,N,3/6/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,,False
FRA,44,68,no_gathering_inside,50.0,"excludes shops, businesses, restaurants, bars, wedding, funerals, public transit",1.0,N,3/6/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,,False
FRA,11,95,school_closure_1,,one school with confirmed case closed,1.0,N,3/7/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200307.pdf,3/15/2020,,False
FRA,44,68,school_closure_all,,only early childhood establisments,1.0,N,3/7/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,,False
FRA,44,68,school_closure_all,,"primary and secondary schools plus daycare, excludes BTS/CPGE/GRETA training courses in high schools",1.0,N,3/8/2020,,https://www.grand-est.ars.sante.fr/system/files/2020-03/Covid19_point_GrandEst080320.pdf,3/14/2020,,False
FRA,93,83,school_closure_1,,one school with confirmed case closed,1.0,N,3/8/2020,,https://www.paca.ars.sante.fr/coronavirus-en-provence-alpes-cote-dazur-point-de-situation-du-8-mars,3/15/2020,,False
FRA,94,2,event_cancel,,professional sport event to be without public,1.0,N,3/8/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,32,59,school_closure_1,,one school with confirmed case closed,1.0,N,3/8/2020,,https://www.hauts-de-france.ars.sante.fr/covid-19-lecole-publique-leon-lambert-de-coutiches-fermee-par-mesure-de-precaution,3/14/2020,,False
FRA,11,95,school_closure_1,,nursery school with confirmed case closed,1.0,N,3/8/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200308.pdf,3/15/2020,,False
FRA,94,2,school_closure_1,,school closure in the biggest city of corse,1.0,N,3/8/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,All,All,no_gathering,1000.0,limit gatherings of more than 1000,1.0,N,3/8/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,11,91,school_closure_1,,one school with confirmed case closed,1.0,N,3/8/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200308.pdf,3/15/2020,,False
FRA,94,2,no_gathering_inside,50.0,"excludes shops, businesses, restaurants, bars, wedding, funerals, public transit",1.0,N,3/8/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,75,All,social_distance,,Visits to nursing homes strongly discouraged,1.0,Y,3/8/2020,,https://www.nouvelle-aquitaine.ars.sante.fr/communique-de-presse-coronavirus-point-de-situation-en-nouvelle-aquitaine-du-08032020,3/15/2020,,False
FRA,32,60,school_closure_all,,all school closure,1.0,N,3/9/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
FRA,28,14,no_gathering_inside,50.0,town of Bi̩ville-Beuville only,1.0,N,3/9/2020,,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-1,3/15/2020,,False
FRA,11,75,school_closure_1,,one school with confirmed case closed,1.0,N,3/9/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200309.pdf,3/15/2020,,False
FRA,11,78,school_closure_1,,one school with confirmed case closed,1.0,N,3/9/2020,,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200309.pdf,3/15/2020,,False
FRA,28,14,social_distance,,closure of certain establishments open to the public in town of Bi̩ville-Beuville,1.0,N,3/9/2020,,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-3,3/15/2020,,False
FRA,28,14,school_closure_1,,school group of Bi̩ville-Beuville,1.0,N,3/9/2020,,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-2,3/15/2020,,False
FRA,32,60,no_gathering_inside,50.0,no gathering of more than 50 inside,1.0,N,3/9/2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,,False
