id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
839,2020-03-15,42598.78663374497,375357.2674140848
839,2020-03-16,52152.56394720605,577265.1793842547
839,2020-03-17,58708.56232885467,791932.2228454276
839,2020-03-18,62873.46057957422,1008600.4271413375
839,2020-03-19,73070.16160941236,1330078.460554934
839,2020-03-20,93322.45765496307,1796686.9043796372
839,2020-03-21,105164.01208619507,2161163.764144986
839,2020-03-22,121767.5356115568,2586256.133810836
840,2020-02-27,188,188
840,2020-02-28,337.2806030723152,363.91695736552657
840,2020-02-29,642.1435745084391,719.9981484349858
840,2020-03-01,1014.4225214705992,1276.7500447674308
840,2020-03-02,1473.2290719217506,2085.850459836058
840,2020-03-03,1990.8767952463022,3497.2680994410393
840,2020-03-04,2829.7512994651074,6066.608694919119
840,2020-03-05,3653.6681279533495,10481.10030403537
840,2020-03-06,5057.948194463737,19484.86899894671
840,2020-03-07,6239.443519355376,32441.654367156636
840,2020-03-08,7822.933286717809,55080.069262007084
840,2020-03-09,9348.580922339144,88621.38632005903
840,2020-03-10,11463.93417057149,145901.5600424875
840,2020-03-11,14284.795681977472,242603.8491581627
840,2020-03-12,17878.068140517225,399467.5118583101
840,2020-03-13,20407.509185483876,663626.6493465455
840,2020-03-14,21960.199820897775,1008922.1657746992
840,2020-03-15,24044.89951219428,1501435.3107059882
840,2020-03-16,25316.660571196593,2062886.9610857025
840,2020-03-17,27225.31032256694,2748473.773236672
840,2020-03-18,29662.765108671945,3510245.862828039
840,2020-03-19,32400.370128634186,4276137.838944306
840,2020-03-20,37190.67921253864,5086260.9894745145
840,2020-03-21,39788.91555006347,5686156.064537009
840,2020-03-22,43240.89167747787,6220296.183164092
841,2020-02-27,188,188
841,2020-02-28,316.7957746125569,333.25071168348506
841,2020-02-29,588.4375715282906,634.5397612274825
841,2020-03-01,911.8521401093833,1060.1918535922855
841,2020-03-02,1330.2531996116866,1670.1463434678735
841,2020-03-03,1812.26439929865,2618.099479778066
841,2020-03-04,2519.47771195923,4123.484248783826
841,2020-03-05,3855.038858179545,7661.807355946792
841,2020-03-06,5586.5427351877315,13465.104736159838
841,2020-03-07,7378.576913409324,21694.394830742778
841,2020-03-08,9961.77093954372,35857.85327726051
841,2020-03-09,13147.034471667945,57870.6392308251
841,2020-03-10,17392.284118966712,93332.1063087893
841,2020-03-11,22703.82698553673,147629.6221135404
841,2020-03-12,35029.92364301699,273025.5887496411
841,2020-03-13,43332.26107501845,454532.75404202036
841,2020-03-14,50817.83766529466,691939.5880192657
841,2020-03-15,60888.57604307431,1021959.2412930552
841,2020-03-16,71375.78774934617,1403266.5363280224
841,2020-03-17,83565.98745553657,1828819.9918759896
841,2020-03-18,96432.26203172792,2264637.5572791654
841,2020-03-19,127770.66904626881,2912062.7353801085
841,2020-03-20,161366.0486542696,3532219.5631586965
841,2020-03-21,190537.1670681612,4065332.75729865
841,2020-03-22,228184.11783054628,4615709.677646001
842,2020-02-27,188,188
842,2020-02-28,311.2306308388008,334.2237061633955
842,2020-02-29,604.1620135118884,671.6893789869072
