date,adm0_name,adm1_id,adm1_name,lat,lon,cum_hospitalized_symptom,cum_intensive_care,cum_hospitalized,cum_home_confinement,active_cases,active_cases_new,cum_recoveries,cum_deaths,cum_confirmed_cases,cum_tests,cum_hospitalized_symptom_imputed,cum_intensive_care_imputed,cum_hospitalized_imputed,cum_home_confinement_imputed,cum_recoveries_imputed,cum_deaths_imputed,cum_confirmed_cases_imputed,cum_tests_imputed
2020-02-25,ITA,8,Emilia Romagna,44.4943668,11.3417208,15.0000000,2.0000000,17.0000000,9.0000000,26,8,0.0000000,0.0000000,26.0000000,391.0000000,15,2,17,9,0,0,26,391
2020-02-25,ITA,6,Friuli Venezia Giulia,45.6494354,13.7681365,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,89.0000000,0,0,0,0,0,0,0,89
2020-02-25,ITA,12,Lazio,41.8927704,12.4836672,,,,0.0000000,2,0,1.0000000,0.0000000,3.0000000,124.0000000,0,0,0,0,1,0,3,124
2020-02-25,ITA,7,Liguria,44.4114931,8.9326992,1.0000000,0.0000000,1.0000000,0.0000000,1,1,0.0000000,0.0000000,1.0000000,39.0000000,1,0,1,0,0,0,1,39
2020-02-25,ITA,3,Lombardia,45.4667941,9.1903474,79.0000000,25.0000000,104.0000000,,231,65,0.0000000,9.0000000,240.0000000,,79,25,104,72,0,9,240,2167
2020-02-25,ITA,11,Marche,43.6167597,13.5188753,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,21.0000000,0,0,0,0,0,0,0,21
2020-02-25,ITA,14,Molise,41.5577475,14.6591605,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-25,ITA,1,Piemonte,45.0732745,7.6806875,2.0000000,0.0000000,2.0000000,,3,0,0.0000000,0.0000000,,141.0000000,2,0,2,0,0,0,2,141
2020-02-25,ITA,16,Puglia,41.1255958,16.8673669,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-25,ITA,20,Sardegna,39.2153119,9.1106163,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,1.0000000,0,0,0,0,0,0,0,1
2020-02-25,ITA,19,Sicilia,38.1156972,13.3623567,1.0000000,0.0000000,1.0000000,,3,3,0.0000000,0.0000000,3.0000000,5.0000000,1,0,1,0,0,0,3,5
2020-02-25,ITA,9,Toscana,43.7692308,11.2558888,2.0000000,0.0000000,2.0000000,0.0000000,2,2,0.0000000,0.0000000,2.0000000,296.0000000,2,0,2,0,0,0,2,296
2020-02-25,ITA,4,P.A. Trento,46.0689351,11.1212310,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,3.0000000,0,0,0,0,0,0,0,3
2020-02-25,ITA,10,Umbria,43.1067584,12.3882470,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,8.0000000,0,0,0,0,0,0,0,8
2020-02-25,ITA,2,Valle d'Aosta,45.7375029,7.3201494,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,7.0000000,0,0,0,0,0,0,0,7
2020-02-25,ITA,5,Veneto,45.4349049,12.3384521,12.0000000,7.0000000,19.0000000,23.0000000,42,10,0.0000000,1.0000000,43.0000000,3780.0000000,12,7,19,23,0,1,43,3780
2020-02-26,ITA,13,Abruzzo,42.3512220,13.3984382,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,13.0000000,0,0,0,0,0,0,0,13
2020-02-26,ITA,17,Basilicata,40.6394705,15.8051483,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-26,ITA,4,P.A. Bolzano,46.4993345,11.3566242,1.0000000,0.0000000,1.0000000,0.0000000,1,0,0.0000000,0.0000000,1.0000000,1.0000000,1,0,1,0,0,0,1,1
2020-02-26,ITA,18,Calabria,38.9059760,16.5944019,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,3.0000000,0,0,0,0,0,0,0,3
2020-02-26,ITA,15,Campania,40.8395656,14.2508498,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,10.0000000,0,0,0,0,0,0,0,10
2020-02-26,ITA,8,Emilia Romagna,44.4943668,11.3417208,20.0000000,3.0000000,23.0000000,23.0000000,46,20,0.0000000,1.0000000,47.0000000,577.0000000,20,3,23,23,0,1,47,577
2020-02-26,ITA,6,Friuli Venezia Giulia,45.6494354,13.7681365,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,114.0000000,0,0,0,0,0,0,0,114
2020-02-26,ITA,12,Lazio,41.8927704,12.4836672,0.0000000,0.0000000,0.0000000,0.0000000,0,-2,3.0000000,0.0000000,3.0000000,124.0000000,0,0,0,0,3,0,3,124
2020-02-26,ITA,7,Liguria,44.4114931,8.9326992,,0.0000000,,5.0000000,11,10,0.0000000,0.0000000,11.0000000,66.0000000,2,0,2,5,0,0,11,66
2020-02-26,ITA,3,Lombardia,45.4667941,9.1903474,79.0000000,25.0000000,104.0000000,,249,18,0.0000000,9.0000000,258.0000000,3208.0000000,79,25,104,72,0,9,258,3208
2020-02-26,ITA,11,Marche,43.6167597,13.5188753,1.0000000,0.0000000,1.0000000,0.0000000,1,1,0.0000000,0.0000000,1.0000000,28.0000000,1,0,1,0,0,0,1,28
