adm3_name,adm_1_name,pop,state,place
Mayodan town,North Carolina,2700.0,37,42060
Reidsville city,North Carolina,13933.0,37,55900
Raeford city,North Carolina,4859.0,37,54580
Bethlehem CDP,North Carolina,4592.0,37,05530
Maggie Valley town,North Carolina,1541.0,37,40600
Kure Beach town,North Carolina,2295.0,37,36220
Green Level town,North Carolina,1878.0,37,27870
Woodlawn CDP,North Carolina,853.0,37,75375
Morven town,North Carolina,494.0,37,44560
Chocowinity town,North Carolina,867.0,37,12580
Myrtle Grove CDP,North Carolina,10610.0,37,45840
Sea Breeze CDP,North Carolina,1775.0,37,60000
Silver Lake CDP,North Carolina,6669.0,37,61950
Jackson town,North Carolina,543.0,37,34000
Granite Quarry town,North Carolina,2947.0,37,27440
Kannapolis city,North Carolina,46498.0,37,35200
Bostic town,North Carolina,289.0,37,07220
Clinton city,North Carolina,8630.0,37,13240
Ingold CDP,North Carolina,476.0,37,33640
Highlands town,North Carolina,1079.0,37,31360
Newton city,North Carolina,12991.0,37,47000
Fairfield Harbour CDP,North Carolina,3044.0,37,22305
Kitty Hawk town,North Carolina,3422.0,37,36060
Huntersville town,North Carolina,53302.0,37,33120
Askewville town,North Carolina,224.0,37,02320
Boiling Spring Lakes city,North Carolina,5777.0,37,06760
Oak Island town,North Carolina,7400.0,37,48345
Sunset Beach town,North Carolina,3769.0,37,65900
Rutherford College town,North Carolina,1143.0,37,58440
Bogue town,North Carolina,668.0,37,06740
Emerald Isle town,North Carolina,3705.0,37,21160
Edenton town,North Carolina,4800.0,37,20120
Casar town,North Carolina,261.0,37,10760
Kingstown town,North Carolina,612.0,37,35890
Mooresboro town,North Carolina,447.0,37,44160
East Flat Rock CDP,North Carolina,4287.0,37,19420
Etowah CDP,North Carolina,7589.0,37,21880
Mooresville town,North Carolina,36577.0,37,44220
Pine Level town,North Carolina,2078.0,37,52020
Dublin town,North Carolina,296.0,37,18040
Carolina Shores town,North Carolina,3771.0,37,10550
St. James town,North Carolina,4747.0,37,58630
Glen Alpine town,North Carolina,1408.0,37,26200
Valdese town,North Carolina,4408.0,37,69520
Grover town,North Carolina,977.0,37,28400
Ahoskie town,North Carolina,4895.0,37,00500
Balfour CDP,North Carolina,1490.0,37,03220
Flat Rock village,North Carolina,3267.0,37,23600
Lincolnton city,North Carolina,10574.0,37,38320
Belmont city,North Carolina,11373.0,37,04840
Gastonia city,North Carolina,74381.0,37,25580
McAdenville town,North Carolina,662.0,37,39880
Cullowhee CDP,North Carolina,5753.0,37,15880
Webster town,North Carolina,442.0,37,71600
Mount Gilead town,North Carolina,1110.0,37,44900
Asheville city,North Carolina,89318.0,37,02140
Woodfin town,North Carolina,6394.0,37,75280
Mount Pleasant town,North Carolina,2064.0,37,45140
Lake Norman of Catawba CDP,North Carolina,8060.0,37,36511
Goldston town,North Carolina,297.0,37,26920
Siler City town,North Carolina,8116.0,37,61860
Hamilton town,North Carolina,409.0,37,29120
Cornelius town,North Carolina,28052.0,37,14700
Butters CDP,North Carolina,191.0,37,09380
Red Oak town,North Carolina,3421.0,37,55640
Lilesville town,North Carolina,399.0,37,38200
West Jefferson town,North Carolina,1357.0,37,72540
Nashville town,North Carolina,5473.0,37,46000
Rocky Mount city,North Carolina,55373.0,37,57500
Wrightsboro CDP,North Carolina,5642.0,37,75780
Conway town,North Carolina,637.0,37,14400
Gaston town,North Carolina,1046.0,37,25560
Forest City town,North Carolina,7250.0,37,24080
Wilson's Mills town,North Carolina,2504.0,37,74580
Benson town,North Carolina,3578.0,37,05040
Four Oaks town,North Carolina,1862.0,37,24520
Kinston city,North Carolina,21004.0,37,35920
Gamewell town,North Carolina,3979.0,37,25380
Long View town,North Carolina,5013.0,37,39280
Hayesville town,North Carolina,365.0,37,30280
Rowland town,North Carolina,1223.0,37,58140
St. Pauls town,North Carolina,1897.0,37,58720
Goldsboro city,North Carolina,35432.0,37,26880
Greenville city,North Carolina,90347.0,37,28080
Fairplains CDP,North Carolina,2118.0,37,22380
Lake Waccamaw town,North Carolina,1583.0,37,36640
Pleasant Garden town,North Carolina,4762.0,37,52760
Tabor City town,North Carolina,3916.0,37,66520
Spring Lake town,North Carolina,12746.0,37,64180
Bermuda Run town,North Carolina,2540.0,37,05135
Stem town,North Carolina,1029.0,37,64940
Stovall town,North Carolina,375.0,37,65320
Clemmons village,North Carolina,19844.0,37,12960
Lewisville town,North Carolina,13516.0,37,38040
South Weldon CDP,North Carolina,626.0,37,63560
Micro town,North Carolina,660.0,37,42620
Pink Hill town,North Carolina,433.0,37,52400
Avery Creek CDP,North Carolina,2320.0,37,02760
Weaverville town,North Carolina,3857.0,37,71560
Cedar Rock village,North Carolina,245.0,37,11352
Wendell town,North Carolina,6516.0,37,71860
Bonnetsville CDP,North Carolina,507.0,37,06980
New London town,North Carolina,618.0,37,46820
Raleigh city,North Carolina,449477.0,37,55000
Brogden CDP,North Carolina,2349.0,37,08110
Ashley Heights CDP,North Carolina,461.0,37,02240
Beulaville town,North Carolina,1516.0,37,05660
Rose Hill town,North Carolina,2026.0,37,57860
Denton town,North Carolina,1745.0,37,16980
Macclesfield town,North Carolina,538.0,37,39960
West Canton CDP,North Carolina,1224.0,37,72150
Ogden CDP,North Carolina,7608.0,37,48790
Skippers Corner CDP,North Carolina,2705.0,37,62190
Rockwell town,North Carolina,1839.0,37,57340
Oxford city,North Carolina,8614.0,37,49800
Norman town,North Carolina,68.0,37,47260
Whiteville city,North Carolina,5487.0,37,73660
Godwin town,North Carolina,118.0,37,26740
Roanoke Rapids city,North Carolina,15107.0,37,56900
South Rosemary CDP,North Carolina,2488.0,37,63470
Smithfield town,North Carolina,11824.0,37,62520
Bent Creek CDP,North Carolina,1271.0,37,05049
Concord city,North Carolina,87607.0,37,14100
Saratoga town,North Carolina,451.0,37,59340
Ayden town,North Carolina,5120.0,37,02840
Falkland town,North Carolina,82.0,37,22640
Archdale city,North Carolina,11509.0,37,01720
Liberty town,North Carolina,2652.0,37,38100
Cricket CDP,North Carolina,2035.0,37,15440
Mulberry CDP,North Carolina,2132.0,37,45560
North Wilkesboro town,North Carolina,4217.0,37,47880
Half Moon CDP,North Carolina,7696.0,37,28900
Holly Ridge town,North Carolina,2202.0,37,32180
East Rockingham CDP,North Carolina,3397.0,37,19800
Hoffman town,North Carolina,645.0,37,31920
Greensboro city,North Carolina,284816.0,37,28000
Summerfield town,North Carolina,10957.0,37,65580
Whitsett town,North Carolina,973.0,37,73760
Bethania town,North Carolina,378.0,37,05340
Walkertown town,North Carolina,4970.0,37,70660
Enfield town,North Carolina,2588.0,37,21360
Halifax town,North Carolina,218.0,37,28920
Scotland Neck town,North Carolina,1484.0,37,59780
Littleton town,North Carolina,588.0,37,38680
Clayton town,North Carolina,19306.0,37,12860
Princeton town,North Carolina,1046.0,37,53820
Selma town,North Carolina,6375.0,37,60320
Beech Mountain town,North Carolina,551.0,37,04510
Ronda town,North Carolina,619.0,37,57700
Wilkesboro town,North Carolina,3488.0,37,74020
Sneads Ferry CDP,North Carolina,2910.0,37,62680
Atkinson town,North Carolina,323.0,37,02460
Surf City town,North Carolina,3251.0,37,66040
Murphy town,North Carolina,1954.0,37,45660
Centerville town,North Carolina,120.0,37,11560
Dillsboro town,North Carolina,258.0,37,17180
Middlesex town,North Carolina,993.0,37,42700
Five Points CDP,North Carolina,781.0,37,23520
Teachey town,North Carolina,366.0,37,67000
Castalia town,North Carolina,324.0,37,10860
Saxapahaw CDP,North Carolina,1370.0,37,59580
McFarlan town,North Carolina,92.0,37,40240
Polkton town,North Carolina,3265.0,37,53140
Banner Elk town,North Carolina,1451.0,37,03500
Washington city,North Carolina,9721.0,37,71220
Hightsville CDP,North Carolina,824.0,37,31490
Kings Grant CDP,North Carolina,9119.0,37,35870
Woodland town,North Carolina,1118.0,37,75340
Madison town,North Carolina,2462.0,37,40560
Wentworth town,North Carolina,2729.0,37,71900
East Spencer town,North Carolina,1558.0,37,19860
Salisbury city,North Carolina,33561.0,37,58860
Spindale town,North Carolina,4236.0,37,63880
Garland town,North Carolina,699.0,37,25460
Newton Grove town,North Carolina,485.0,37,47020
Silver City CDP,North Carolina,893.0,37,61920
Warsaw town,North Carolina,3141.0,37,71160
Lexington city,North Carolina,18916.0,37,38060
Conetoe town,North Carolina,281.0,37,14200
Pinetops town,North Carolina,1123.0,37,52140
Bailey town,North Carolina,416.0,37,03020
Dortches town,North Carolina,1016.0,37,17520
Bayshore CDP,North Carolina,3790.0,37,04015
Carolina Beach town,North Carolina,6116.0,37,10500
Grandfather village,North Carolina,63.0,37,27320
Newland town,North Carolina,942.0,37,46740
Castle Hayne CDP,North Carolina,850.0,37,10880
Lumberton city,North Carolina,21366.0,37,39700
Powellsville town,North Carolina,205.0,37,53680
Roxobel town,North Carolina,306.0,37,58180
Kelly CDP,North Carolina,349.0,37,35440
Bolivia town,North Carolina,227.0,37,06820
Grifton town,North Carolina,2782.0,37,28200
Grimesland town,North Carolina,483.0,37,28240
Navassa town,North Carolina,1556.0,37,46060
Ocean Isle Beach town,North Carolina,726.0,37,48700
Shallotte town,North Carolina,3825.0,37,60800
Indian Beach town,North Carolina,233.0,37,33460
Peletier town,North Carolina,823.0,37,51040
Pine Knoll Shores town,North Carolina,1409.0,37,52000
Lawndale town,North Carolina,758.0,37,37260
Andrews town,North Carolina,1971.0,37,01380
Cramerton town,North Carolina,4274.0,37,15260
Dallas town,North Carolina,4592.0,37,16180
Kings Mountain city,North Carolina,10929.0,37,35880
Lowell city,North Carolina,3591.0,37,39480
Ranlo town,North Carolina,3523.0,37,55260
Spencer Mountain town,North Carolina,0.0,37,63780
Mars Hill town,North Carolina,2595.0,37,41620
Aberdeen town,North Carolina,7265.0,37,00160
Taylortown town,North Carolina,962.0,37,66980
Parkton town,North Carolina,494.0,37,50340
Simpson village,North Carolina,369.0,37,62040
Pumpkin Center CDP,North Carolina,1478.0,37,54160
Topsail Beach town,North Carolina,366.0,37,68040
Swansboro town,North Carolina,3090.0,37,66360
St. Helena village,North Carolina,347.0,37,58620
Oriental town,North Carolina,1003.0,37,49380
Midland town,North Carolina,3422.0,37,42760
Wallace town,North Carolina,3957.0,37,70720
Dobbins Heights town,North Carolina,925.0,37,17325
Blowing Rock town,North Carolina,1152.0,37,06500
Dellview town,North Carolina,7.0,37,16820
Fairview town,North Carolina,3660.0,37,22500
Grantsboro town,North Carolina,809.0,37,27520
Elon town,North Carolina,9939.0,37,21095
Wallburg town,North Carolina,3061.0,37,70740
Altamahaw CDP,North Carolina,332.0,37,01140
Bear Grass town,North Carolina,129.0,37,04180
North Topsail Beach town,North Carolina,1061.0,37,47845
Ossipee town,North Carolina,495.0,37,49600
Misenheimer village,North Carolina,723.0,37,43580
Red Cross town,North Carolina,732.0,37,55460
Duck town,North Carolina,531.0,37,18060
Mills River town,North Carolina,7079.0,37,43260
Butner town,North Carolina,7709.0,37,09360
Eastover town,North Carolina,3698.0,37,19740
Midway town,North Carolina,4749.0,37,42860
Chimney Rock Village village,North Carolina,88.0,37,12460
Moyock CDP,North Carolina,3227.0,37,45460
Caroleen CDP,North Carolina,737.0,37,10460
Coinjock CDP,North Carolina,331.0,37,13500
Millingport CDP,North Carolina,390.0,37,43200
Aquadale CDP,North Carolina,221.0,37,01560
Henrietta CDP,North Carolina,400.0,37,30800
Cliffside CDP,North Carolina,258.0,37,13100
Cove Creek CDP,North Carolina,1022.0,37,15040
Valle Crucis CDP,North Carolina,298.0,37,69600
Foscoe CDP,North Carolina,1632.0,37,24380
Delco CDP,North Carolina,274.0,37,16780
Riegelwood CDP,North Carolina,441.0,37,56600
Hallsboro CDP,North Carolina,408.0,37,29000
Evergreen CDP,North Carolina,261.0,37,22080
Rougemont CDP,North Carolina,847.0,37,58040
Lake Santeetlah town,North Carolina,52.0,37,36514
Marble CDP,North Carolina,406.0,37,41220
Cherokee CDP,North Carolina,2309.0,37,12140
Manns Harbor CDP,North Carolina,1021.0,37,40980
Rodanthe CDP,North Carolina,120.0,37,57580
Salvo CDP,North Carolina,269.0,37,58940
Avon CDP,North Carolina,848.0,37,02780
Buxton CDP,North Carolina,1436.0,37,09400
Frisco CDP,North Carolina,152.0,37,25020
Hatteras CDP,North Carolina,395.0,37,30100
Waves CDP,North Carolina,67.0,37,71440
Robbins town,North Carolina,1725.0,37,57000
Pinnacle CDP,North Carolina,1010.0,37,52500
Sunbury CDP,North Carolina,167.0,37,65700
Swan Quarter CDP,North Carolina,327.0,37,66340
Engelhard CDP,North Carolina,613.0,37,21380
Fairfield CDP,North Carolina,314.0,37,22280
Hampstead CDP,North Carolina,5200.0,37,29180
Rocky Point CDP,North Carolina,1879.0,37,57540
Hobucken CDP,North Carolina,80.0,37,31880
Germanton CDP,North Carolina,853.0,37,25880
Bell Arthur CDP,North Carolina,206.0,37,04680
Tyro CDP,North Carolina,4252.0,37,69020
Southmont CDP,North Carolina,890.0,37,63360
Lake Royale CDP,North Carolina,2677.0,37,36513
Atlantic CDP,North Carolina,408.0,37,02480
Davis CDP,North Carolina,350.0,37,16480
Marshallberg CDP,North Carolina,331.0,37,41600
Gloucester CDP,North Carolina,522.0,37,26680
Broad Creek CDP,North Carolina,2450.0,37,08040
Spivey's Corner CDP,North Carolina,456.0,37,63920
Cordova CDP,North Carolina,1974.0,37,14600
Stokes CDP,North Carolina,709.0,37,65020
Rich Square town,North Carolina,915.0,37,56440
Eden city,North Carolina,15235.0,37,20080
China Grove town,North Carolina,4144.0,37,12480
Cleveland town,North Carolina,1095.0,37,13000
Broadway town,North Carolina,1421.0,37,08080
Greenevers town,North Carolina,759.0,37,27780
Light Oak CDP,North Carolina,1023.0,37,38170
White Oak CDP,North Carolina,121.0,37,73320
Holden Beach town,North Carolina,1037.0,37,31960
Leland town,North Carolina,18023.0,37,37680
Atlantic Beach town,North Carolina,1763.0,37,02500
Hildebran town,North Carolina,2160.0,37,31500
Shelby city,North Carolina,20058.0,37,61200
Waco town,North Carolina,254.0,37,70320
Gorman CDP,North Carolina,807.0,37,27120
Como town,North Carolina,86.0,37,14060
Murfreesboro town,North Carolina,2952.0,37,45640
Winton town,North Carolina,947.0,37,75080
Laurel Park town,North Carolina,2738.0,37,37160
Louisburg town,North Carolina,3503.0,37,39360
Robbinsville town,North Carolina,514.0,37,57020
Forest Hills village,North Carolina,341.0,37,24170
Biscoe town,North Carolina,2420.0,37,06000
Troy town,North Carolina,3372.0,37,68520
Boardman town,North Carolina,227.0,37,06660
Catawba town,North Carolina,525.0,37,10980
Hickory city,North Carolina,40157.0,37,31060
James City CDP,North Carolina,5882.0,37,34260
Coats town,North Carolina,2255.0,37,13360
Erwin town,North Carolina,4798.0,37,21740
Jamesville town,North Carolina,566.0,37,34320
Oak City town,North Carolina,292.0,37,48060
Williamston town,North Carolina,5398.0,37,74220
Davidson town,North Carolina,12325.0,37,16400
Cerro Gordo town,North Carolina,160.0,37,11620
Chadbourn town,North Carolina,2110.0,37,11640
Mocksville town,North Carolina,5130.0,37,43720
Hamlet city,North Carolina,6401.0,37,29160
Pleasant Hill CDP,North Carolina,751.0,37,52920
Stokesdale town,North Carolina,5331.0,37,65040
Severn town,North Carolina,228.0,37,60560
Calypso town,North Carolina,596.0,37,09760
Gardena city,North Dakota,24.0,38,29180
Kramer city,North Dakota,57.0,38,43500
Landa city,North Dakota,44.0,38,44700
Willow City city,North Dakota,211.0,38,86380
Benedict city,North Dakota,87.0,38,05980
Ruso city,North Dakota,7.0,38,69140
Hatton city,North Dakota,709.0,38,36100
Wing city,North Dakota,115.0,38,86780
Buxton city,North Dakota,437.0,38,11340
Grandin city,North Dakota,195.0,38,32300
Portland city,North Dakota,566.0,38,63900
Wahpeton city,North Dakota,7822.0,38,82660
Walcott city,North Dakota,223.0,38,82780
Amidon city,North Dakota,23.0,38,02060
Marmarth city,North Dakota,145.0,38,50860
Lakota city,North Dakota,688.0,38,44300
Tolna city,North Dakota,179.0,38,79180
Grafton city,North Dakota,4243.0,38,31820
Esmond city,North Dakota,81.0,38,24780
Minnewaukan city,North Dakota,226.0,38,53220
Oberon city,North Dakota,135.0,38,59020
Oakes city,North Dakota,2018.0,38,58740
Braddock city,North Dakota,10.0,38,08900
Columbus city,North Dakota,115.0,38,15460
Calvin city,North Dakota,11.0,38,11700
Osnabrock city,North Dakota,149.0,38,60100
Forman city,North Dakota,550.0,38,27260
Alamo city,North Dakota,60.0,38,00940
Tioga city,North Dakota,1116.0,38,78940
Gwinner city,North Dakota,1012.0,38,34020
Wildrose city,North Dakota,98.0,38,86020
Aneta city,North Dakota,293.0,38,02380
Michigan City city,North Dakota,237.0,38,52740
Maddock city,North Dakota,396.0,38,49620
Wilton city,North Dakota,912.0,38,86580
Dickinson city,North Dakota,22309.0,38,19620
Richardton city,North Dakota,769.0,38,66500
Taylor city,North Dakota,180.0,38,78180
Ludden city,North Dakota,33.0,38,48460
Crary city,North Dakota,130.0,38,16580
Devils Lake city,North Dakota,7313.0,38,19420
Lincoln city,North Dakota,3467.0,38,46640
Mayville city,North Dakota,1874.0,38,51500
Reynolds city,North Dakota,270.0,38,66260
Amenia city,North Dakota,84.0,38,01940
Briarwood city,North Dakota,65.0,38,09320
Fordville city,North Dakota,202.0,38,27060
Forest River city,North Dakota,106.0,38,27100
Lankin city,North Dakota,110.0,38,44860
Martin city,North Dakota,73.0,38,51060
Coleharbor city,North Dakota,64.0,38,15140
White Shield CDP,North Dakota,288.0,38,85660
Monango city,North Dakota,72.0,38,53820
Hazelton city,North Dakota,258.0,38,36700
Hannaford city,North Dakota,108.0,38,35020
Buffalo city,North Dakota,208.0,38,10420
Erie CDP,North Dakota,75.0,38,24620
Hunter city,North Dakota,298.0,38,39460
Kenmare city,North Dakota,887.0,38,42020
Sykeston city,North Dakota,119.0,38,77660
Surrey city,North Dakota,1165.0,38,77180
McHenry city,North Dakota,97.0,38,49260
Mott city,North Dakota,813.0,38,54620
Emerado city,North Dakota,359.0,38,24060
Munich city,North Dakota,293.0,38,55020
South Heart city,North Dakota,359.0,38,74185
Max city,North Dakota,387.0,38,51380
Washburn city,North Dakota,1432.0,38,83700
Fort Totten CDP,North Dakota,1372.0,38,27700
York city,North Dakota,26.0,38,87860
Ardoch city,North Dakota,87.0,38,02860
Minto city,North Dakota,697.0,38,53540
Bowdon city,North Dakota,171.0,38,08580
Hamberg city,North Dakota,18.0,38,34460
Fullerton city,North Dakota,54.0,38,28780
Strasburg city,North Dakota,376.0,38,76500
Cooperstown city,North Dakota,1166.0,38,15900
Starkweather city,North Dakota,107.0,38,75580
Beach city,North Dakota,987.0,38,05420
Golva city,North Dakota,95.0,38,31420
Carrington city,North Dakota,1923.0,38,12340
New England city,North Dakota,607.0,38,56180
Regent city,North Dakota,193.0,38,66020
Galesburg city,North Dakota,194.0,38,28980
Argusville city,North Dakota,502.0,38,03020
Mountain city,North Dakota,67.0,38,54740
Antler city,North Dakota,29.0,38,02660
Hansboro city,North Dakota,19.0,38,35140
Venturia city,North Dakota,32.0,38,81700
Portal city,North Dakota,192.0,38,63740
Perth city,North Dakota,2.0,38,61780
Overly city,North Dakota,8.0,38,60380
Alexander city,North Dakota,278.0,38,01180
Loraine city,North Dakota,3.0,38,48020
Flaxton city,North Dakota,119.0,38,26700
Powers Lake city,North Dakota,355.0,38,64140
Ellendale city,North Dakota,1271.0,38,23220
Hague city,North Dakota,45.0,38,34180
Linton city,North Dakota,1047.0,38,46980
Binford city,North Dakota,176.0,38,07020
Goodrich city,North Dakota,129.0,38,31500
McClusky city,North Dakota,350.0,38,49020
Dunseith city,North Dakota,785.0,38,21020
Gardner city,North Dakota,124.0,38,29220
Lawton city,North Dakota,16.0,38,45300
Park River city,North Dakota,1452.0,38,60900
Knox city,North Dakota,28.0,38,43260
Leeds city,North Dakota,511.0,38,45580
Adams city,North Dakota,175.0,38,00340
Grace City city,North Dakota,83.0,38,31740
Alice city,North Dakota,22.0,38,01420
Ayr city,North Dakota,12.0,38,04020
Thompson city,North Dakota,1161.0,38,78660
Inkster city,North Dakota,32.0,38,39980
Manvel city,North Dakota,332.0,38,50420
Niagara city,North Dakota,37.0,38,56780
Egeland city,North Dakota,27.0,38,22540
Pick City city,North Dakota,110.0,38,62260
Belcourt CDP,North Dakota,1933.0,38,05740
East Dunseith CDP,North Dakota,505.0,38,21520
Minot city,North Dakota,48171.0,38,53380
Brinsmade city,North Dakota,35.0,38,09460
Warwick city,North Dakota,56.0,38,83580
Fairdale city,North Dakota,46.0,38,25180
Fessenden city,North Dakota,473.0,38,26180
Golden Valley city,North Dakota,242.0,38,31180
North River city,North Dakota,62.0,38,58120
Page city,North Dakota,308.0,38,60500
Tower City city,North Dakota,275.0,38,79340
Stanton city,North Dakota,330.0,38,75420
Rolla city,North Dakota,1273.0,38,67820
Donnybrook city,North Dakota,90.0,38,19900
Cathay city,North Dakota,34.0,38,12820
Gilby city,North Dakota,200.0,38,30180
Grand Forks city,North Dakota,56236.0,38,32060
Larimore city,North Dakota,1518.0,38,45020
Lisbon city,North Dakota,2082.0,38,47100
Sheldon city,North Dakota,101.0,38,72180
Petersburg city,North Dakota,149.0,38,61860
Arthur city,North Dakota,349.0,38,03300
Burlington city,North Dakota,1332.0,38,10940
Leonard city,North Dakota,295.0,38,45980
West Fargo city,North Dakota,33089.0,38,84780
Zap city,North Dakota,228.0,38,88140
Mylo city,North Dakota,7.0,38,55220
Berthold city,North Dakota,440.0,38,06460
Makoti city,North Dakota,95.0,38,49820
Ryder city,North Dakota,115.0,38,69460
Regan city,North Dakota,36.0,38,65980
Sentinel Butte city,North Dakota,157.0,38,71780
Glenfield city,North Dakota,106.0,38,30660
Hillsboro city,North Dakota,1576.0,38,38100
Hurdsfield city,North Dakota,59.0,38,39580
Grand Forks AFB CDP,North Dakota,2922.0,38,32140
Northwood city,North Dakota,767.0,38,58300
Elliott city,North Dakota,17.0,38,23340
Fargo city,North Dakota,118099.0,38,25700
Frontier city,North Dakota,205.0,38,28720
Harwood city,North Dakota,797.0,38,35940
Kindred city,North Dakota,787.0,38,42780
Reile's Acres city,North Dakota,520.0,38,66040
Wheatland CDP,North Dakota,26.0,38,85180
Carpio city,North Dakota,130.0,38,12260
Des Lacs city,North Dakota,238.0,38,19300
Pisek city,North Dakota,109.0,38,62780
Center city,North Dakota,547.0,38,13180
Harvey city,North Dakota,1762.0,38,35900
Bisbee city,North Dakota,115.0,38,07180
Sarles city,North Dakota,17.0,38,70780
Enderlin city,North Dakota,963.0,38,24260
Rocklake city,North Dakota,92.0,38,67500
Finley city,North Dakota,509.0,38,26420
Oxbow city,North Dakota,313.0,38,60480
Hazen city,North Dakota,2643.0,38,36780
St. John city,North Dakota,313.0,38,69980
Douglas city,North Dakota,44.0,38,20020
Hankinson city,North Dakota,987.0,38,34900
Valley City city,North Dakota,6547.0,38,81180
Velva city,North Dakota,1288.0,38,81620
Cannon Ball CDP,North Dakota,931.0,38,12020
Litchville city,North Dakota,203.0,38,47140
Nome city,North Dakota,47.0,38,57180
Rogers city,North Dakota,44.0,38,67620
Christine city,North Dakota,180.0,38,14100
Fairmount city,North Dakota,381.0,38,25300
Mantador city,North Dakota,59.0,38,50380
Pingree city,North Dakota,34.0,38,62620
Spiritwood Lake city,North Dakota,97.0,38,74740
Halliday city,North Dakota,340.0,38,34340
Dickey city,North Dakota,41.0,38,19580
Palermo city,North Dakota,173.0,38,60620
Drake city,North Dakota,391.0,38,20300
Dazey city,North Dakota,77.0,38,18340
New Leipzig city,North Dakota,216.0,38,56420
Wyndmere city,North Dakota,489.0,38,87740
Medora city,North Dakota,153.0,38,51900
LaMoure city,North Dakota,764.0,38,44540
Flasher city,North Dakota,325.0,38,26660
Hebron city,North Dakota,816.0,38,36860
Ross city,North Dakota,108.0,38,68540
Crystal city,North Dakota,117.0,38,17060
Glenburn city,North Dakota,534.0,38,30580
St. Thomas city,North Dakota,306.0,38,70260
Walhalla city,North Dakota,1008.0,38,82980
Newburg city,North Dakota,124.0,38,56020
Sherwood city,North Dakota,202.0,38,72540
Wolford city,North Dakota,20.0,38,87180
Loma city,North Dakota,5.0,38,47660
Nekoma city,North Dakota,40.0,38,55740
Ambrose city,North Dakota,12.0,38,01860
Karlsruhe city,North Dakota,71.0,38,41380
Upham city,North Dakota,139.0,38,80860
Bucyrus city,North Dakota,12.0,38,10300
Crosby city,North Dakota,891.0,38,16940
Almont city,North Dakota,115.0,38,01700
New Salem city,North Dakota,911.0,38,56700
Parshall city,North Dakota,1036.0,38,60940
Plaza city,North Dakota,188.0,38,62980
Bathgate city,North Dakota,66.0,38,05260
Langdon city,North Dakota,1946.0,38,44780
Turtle Lake city,North Dakota,431.0,38,79940
Forbes city,North Dakota,48.0,38,26980
Gladstone city,North Dakota,465.0,38,30460
Mapleton city,North Dakota,917.0,38,50580
Rolette city,North Dakota,803.0,38,67780
Shell Valley CDP,North Dakota,1360.0,38,72250
Hope city,North Dakota,276.0,38,38860
Cleveland city,North Dakota,88.0,38,14660
Great Bend city,North Dakota,68.0,38,32900
Buchanan city,North Dakota,65.0,38,10060
Dunn Center city,North Dakota,227.0,38,20940
Killdeer city,North Dakota,891.0,38,42700
Stanley city,North Dakota,2487.0,38,75380
Pembina city,North Dakota,503.0,38,61580
Bottineau city,North Dakota,2300.0,38,08460
Tappen city,North Dakota,321.0,38,77980
Anamoose city,North Dakota,280.0,38,02220
Voltaire city,North Dakota,38.0,38,82380
Gascoyne city,North Dakota,9.0,38,29540
Scranton city,North Dakota,354.0,38,71500
Fort Yates city,North Dakota,241.0,38,27860
Balta city,North Dakota,126.0,38,04580
Calio city,North Dakota,7.0,38,11580
Cayuga city,North Dakota,35.0,38,13020
Havana city,North Dakota,69.0,38,36140
Rutland city,North Dakota,174.0,38,69340
Grenora city,North Dakota,237.0,38,33500
Dawson city,North Dakota,34.0,38,18260
Pettibone city,North Dakota,72.0,38,62060
Tuttle city,North Dakota,80.0,38,80140
Deering city,North Dakota,120.0,38,18620
Towner city,North Dakota,549.0,38,79420
Rhame city,North Dakota,226.0,38,66300
Kathryn city,North Dakota,57.0,38,41500
Sanborn city,North Dakota,164.0,38,70380
Sibley city,North Dakota,50.0,38,72820
Colfax city,North Dakota,186.0,38,15180
Mooreton city,North Dakota,208.0,38,54220
Kensal city,North Dakota,202.0,38,42180
Berlin city,North Dakota,53.0,38,06300
Marion city,North Dakota,139.0,38,50780
Mandan city,North Dakota,21472.0,38,49900
Neche city,North Dakota,316.0,38,55620
Souris city,North Dakota,67.0,38,74020
Westhope city,North Dakota,360.0,38,85020
Rugby city,North Dakota,2847.0,38,68860
Hannah city,North Dakota,12.0,38,35060
Fingal city,North Dakota,125.0,38,26380
Leal city,North Dakota,16.0,38,45460
Elgin city,North Dakota,655.0,38,23020
Carson city,North Dakota,214.0,38,12460
Barney city,North Dakota,47.0,38,04940
Dwight city,North Dakota,81.0,38,21220
Fredonia city,North Dakota,47.0,38,28380
Belfield city,North Dakota,903.0,38,05820
Luverne city,North Dakota,85.0,38,48580
Butte city,North Dakota,93.0,38,11180
Garrison city,North Dakota,1508.0,38,29460
Mercer city,North Dakota,60.0,38,52340
Underwood city,North Dakota,870.0,38,80660
Milton city,North Dakota,63.0,38,53020
Epping city,North Dakota,98.0,38,24540
Wales city,North Dakota,30.0,38,82940
Cogswell city,North Dakota,74.0,38,15100
Milnor city,North Dakota,627.0,38,52940
Ray city,North Dakota,464.0,38,65580
Williston city,North Dakota,25072.0,38,86220
Churchs Ferry city,North Dakota,8.0,38,14140
Edmore city,North Dakota,185.0,38,22340
Canton City city,North Dakota,18.0,38,12060
Hamilton city,North Dakota,64.0,38,34620
Horace city,North Dakota,2603.0,38,38900
Grano city,North Dakota,2.0,38,32580
Springbrook city,North Dakota,9.0,38,74780
Brocket city,North Dakota,60.0,38,09700
