date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-24,USA,New Mexico,1,83.0,5973.0,
2020-03-24,USA,Nevada,1,278.0,4232.0,4.0
2020-03-24,USA,New York,1,25665.0,91270.0,210.0
2020-03-24,USA,Ohio,1,564.0,704.0,8.0
2020-03-24,USA,Oklahoma,1,106.0,841.0,3.0
2020-03-24,USA,Oregon,1,209.0,4559.0,8.0
2020-03-24,USA,Pennsylvania,1,851.0,9494.0,7.0
2020-03-24,USA,Puerto Rico,1,39.0,307.0,2.0
2020-03-24,USA,Rhode Island,1,106.0,1226.0,
2020-03-24,USA,South Carolina,1,298.0,2310.0,5.0
2020-03-24,USA,South Dakota,1,30.0,820.0,1.0
2020-03-24,USA,Tennessee,1,667.0,11184.0,2.0
2020-03-24,USA,Texas,1,410.0,11167.0,9.0
2020-03-24,USA,Utah,1,299.0,5823.0,1.0
2020-03-24,USA,Virginia,1,290.0,4470.0,7.0
2020-03-24,USA,Virgin Islands,1,17.0,,0.0
2020-03-24,USA,Vermont,1,95.0,1535.0,7.0
2020-03-24,USA,Washington,1,2221.0,33933.0,110.0
2020-03-24,USA,Wisconsin,1,457.0,8694.0,5.0
2020-03-24,USA,West Virginia,1,20.0,630.0,0.0
2020-03-24,USA,Wyoming,1,29.0,739.0,
2020-03-23,USA,Alaska,1,22.0,968.0,
2020-03-23,USA,Alabama,1,167.0,1832.0,0.0
2020-03-23,USA,Arkansas,1,174.0,1080.0,0.0
2020-03-23,USA,American Samoa,1,,,0.0
2020-03-23,USA,Arizona,1,265.0,574.0,2.0
2020-03-23,USA,California,1,1733.0,14300.0,27.0
2020-03-23,USA,Colorado,1,591.0,5436.0,6.0
2020-03-23,USA,Connecticut,1,415.0,4500.0,10.0
2020-03-23,USA,District of Columbia,1,116.0,1229.0,2.0
2020-03-23,USA,Delaware,1,68.0,104.0,0.0
2020-03-23,USA,Florida,1,1171.0,12234.0,14.0
2020-03-23,USA,Georgia,1,772.0,5069.0,25.0
2020-03-23,USA,Guam,1,29.0,190.0,1.0
2020-03-23,USA,Hawaii,1,56.0,3011.0,
2020-03-23,USA,Iowa,1,105.0,2148.0,
2020-03-23,USA,Idaho,1,47.0,1356.0,0.0
2020-03-23,USA,Illinois,1,1285.0,9868.0,12.0
2020-03-23,USA,Indiana,1,259.0,1960.0,7.0
2020-03-23,USA,Kansas,1,82.0,499.0,2.0
2020-03-23,USA,Kentucky,1,104.0,1866.0,3.0
2020-03-23,USA,Louisiana,1,1172.0,5948.0,34.0
2020-03-23,USA,Massachusetts,1,777.0,8922.0,9.0
2020-03-23,USA,Maryland,1,288.0,382.0,3.0
2020-03-23,USA,Maine,1,107.0,2898.0,
2020-03-23,USA,Michigan,1,1328.0,3397.0,15.0
2020-03-23,USA,Minnesota,1,235.0,4746.0,1.0
2020-03-23,USA,Missouri,1,183.0,552.0,3.0
2020-03-23,USA,Northern Marianas,1,0.0,,0.0
2020-03-23,USA,Mississippi,1,249.0,1392.0,1.0
2020-03-23,USA,Montana,1,34.0,1180.0,
2020-03-23,USA,North Carolina,1,297.0,8438.0,0.0
2020-03-23,USA,North Dakota,1,30.0,1383.0,0.0
2020-03-23,USA,Nebraska,1,50.0,406.0,0.0
2020-03-23,USA,New Hampshire,1,78.0,1452.0,
2020-03-23,USA,New Jersey,1,2844.0,3203.0,27.0
2020-03-23,USA,New Mexico,1,65.0,5386.0,
2020-03-23,USA,Nevada,1,245.0,3735.0,4.0
2020-03-23,USA,New York,1,20875.0,78289.0,114.0
2020-03-23,USA,Ohio,1,442.0,582.0,6.0
2020-03-23,USA,Oklahoma,1,81.0,775.0,2.0
2020-03-23,USA,Oregon,1,191.0,3840.0,5.0
2020-03-23,USA,Pennsylvania,1,644.0,7239.0,6.0
2020-03-23,USA,Puerto Rico,1,31.0,220.0,2.0
2020-03-23,USA,Rhode Island,1,106.0,1038.0,
2020-03-23,USA,South Carolina,1,299.0,1765.0,5.0
2020-03-23,USA,South Dakota,1,28.0,790.0,1.0
2020-03-23,USA,Tennessee,1,615.0,3887.0,2.0
2020-03-23,USA,Texas,1,352.0,10055.0,8.0
2020-03-23,USA,Utah,1,257.0,5047.0,1.0
2020-03-23,USA,Virginia,1,254.0,3697.0,6.0
2020-03-23,USA,Virgin Islands,1,17.0,,0.0
2020-03-23,USA,Vermont,1,75.0,1181.0,5.0
2020-03-23,USA,Washington,1,1996.0,30875.0,95.0
2020-03-23,USA,Wisconsin,1,416.0,7466.0,5.0
2020-03-23,USA,West Virginia,1,16.0,460.0,0.0
