"","adm0_name","adm1_id","adm1_name","adm1_pop_weight","adm2_name","adm3_name","date","policy","travel_ban_country_list","no_gathering_size","Optional","Notes","source","access_date"
"173","USA","NC","North Carolina",1,"all","all",2020-03-13,"testing_regime","NA","NA","N","Eliminated the Member Cost-share for COVID-19 testing to ensure there are no cost barriers to testing.","https://www.nctreasurer.com/news/press-releases/2020/03/13/state-health-plan-board-approves-emergency-authority-respond-covid-19",2020-03-16
"174","USA","NC","North Carolina",1,"all","all",2020-03-10,"emergency_declaration","NA","NA","NA","Governor Cooper declared a state of emergency, which actives the Emergency Operation Center, and allows for control of cost burdens, protects consumers from price gouging, and makes it easier to purchase necessary medical supplies. The executive order also makes other recommendations around telework schedules, social gatherings, school closures, and high-risk populations, such as those in adult living facilities.","https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19",2020-03-17
"175","USA","NC","North Carolina",1,"all","all",2020-03-10,"no_gathering","NA","100","Y","Included in today’s guidance is a recommendation to cancel or postpone gatherings over 100 people and telework if possible.","https://governor.nc.gov/news/north-carolina-recommends-new-steps-protect-against-covid-19",2020-03-17
"176","USA","NC","North Carolina",1,"all","all",2020-03-15,"no_gathering","NA","100","Y","The executive order also prohibits mass gatherings of more than 100 people.","https://governor.nc.gov/news/governor-cooper-issues-executive-order-closing-k-12-public-schools-and-banning-gatherings-more",2020-03-17
"177","USA","ND","North Dakota",1,"all","all",2020-03-12,"no_gathering","NA","NA","Y","limit gatherings based on three risk levels","https://www.governor.nd.gov/news/burgum-department-health-release-recommendations-events-and-public-gatherings",2020-03-17
"178","USA","ND","North Dakota",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","Y","state of emergency","https://www.governor.nd.gov/news/burgum-department-health-release-recommendations-events-and-public-gatherings",2020-03-17
"179","USA","NH","New Hampshire",1,"all","all",2020-03-12,"testing_regime","NA","NA","N","a new order, issued by the states Insurance Commissioner, requiring health insurers to cover services associated with testing of COVID-19. It outlines a series of actions that health insurers must take, such as offering telehealth services and expanding access to prescription drug refills.","https://www.nh.gov/insurance/legal/documents/nhid-order-health-insurer-coverage-coronavirus.pdf",2020-03-17
"180","USA","NH","New Hampshire",1,"all","all",2020-03-16,"no_gathering","NA","50","N","over 50 people and required that all bars and restaurants transition to offsite eating options.","https://www.governor.nh.gov/news-media/press-2020/20200316-covid-10-businesses.htm",2020-03-17
"181","USA","NJ","New Jersey",1,"all","all",2020-03-16,"no_gathering","NA","50","N","These uniform standards will limit crowd capacity for social and recreational gatherings to 50 people effective 8PM tonight.","https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures",2020-03-17
"182","USA","NJ","New Jersey",1,"all","all",2020-03-16,"business_closure","NA","NA","N","Bars that do not serve food will be required to temporarily close. These measures will take effect at 8PM tonight. Temporarily close movie theaters, gyms and fitness centers, and similar public workout facilities and studios.","https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures",2020-03-17
"183","USA","NJ","New Jersey",1,"all","all",2020-03-05,"travel_ban_local","NA","NA","N","Governor Murphy placed restrictions on state-related business travel for state employees. New Jersey suspended all international travel for state employees until further notice. All domestic out-of-state travel on state-related business must be approved by the Governor’s Office, including same-day travel.","https://nj.gov/governor/news/news/562020/approved/20200305b.shtml",2020-03-17
"184","USA","NJ","New Jersey",1,"all","all",2020-03-09,"emergency_declaration","NA","NA","N","executive order declaring a state of emergency and public health emergency. The declaration allows for certain safeguards, such as the prohibition of price increases pursuant to New Jersey’s Consumer Fraud Act, as well as the ability to expedite the delivery of goods and services essential for preparedness and response efforts.","https://www.nga.org/coronavirus/#states",2020-03-17
"185","USA","NJ","New Jersey",1,"all","all",2020-03-12,"no_gathering","NA","250","N","The Governor cancelled all public gatherings with more than 250 individuals.","https://nj.gov/governor/news/news/562020/approved/20200312a.shtml",2020-03-17
"186","USA","NM","New Mexico",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","declaring a state of public health emergency. The Governor is also restricted state employee travel.","https://www.nga.org/coronavirus/#states",2020-03-17
"187","USA","NM","New Mexico",1,"all","all",2020-03-11,"travel_ban_local","NA","NA","NA","declaring a state of public health emergency. The Governor is also restricted state employee travel.","https://www.nga.org/coronavirus/#states",2020-03-17
"188","USA","NM","New Mexico",1,"all","all",2020-03-15,"no_gathering","NA","100","N","The Governor issued a public health order prohibiting gatherings of 100 people or more and also ordered that all restaurants, bars, and food establishments operate at no greater than 50 percent of maximum occupancy.","https://www.governor.state.nm.us/2020/03/15/health-secretary-to-amend-public-health-order-adding-new-restrictions-to-public-gatherings/",2020-03-17
"189","USA","NM","New Mexico",1,"all","all",2020-03-15,"business_closure","NA","100","N","The Governor ordered that all restaurants, bars, and food establishments operate at no greater than 50 percent of maximum occupancy.","https://www.governor.state.nm.us/2020/03/15/health-secretary-to-amend-public-health-order-adding-new-restrictions-to-public-gatherings/",2020-03-17
"190","USA","NM","New Mexico",1,"all","all",2020-03-15,"social_distance","NA","NA","N","all state agencies to accelerate remote work to minimize face-to-face contact.","https://www.newmexico.gov/2020/03/15/governor-directs-state-government-agencies-to-minimize-face-to-face-contact-while-continuing-service-delivery/",2020-03-17
"191","USA","NV","Nevada",1,"all","all",2020-03-12,"emergency_declaration","NA","NA","NA","declared state of emergency","http://gov.nv.gov/News/Press/2020/TODAY_at_5_30pm__Governor_Sisolak_to_Make_Announcement_Regarding_COVID-19/",2020-03-17
"192","USA","NV","Nevada",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","Gov. Ricketts issued an emergency declaration for COVID-19","https://governor.nebraska.gov/press/gov-ricketts-issues-emergency-declaration-covid-19",2020-03-17
"193","USA","NV","Nevada",1,"all","all",2020-03-16,"no_gathering","NA","50","N","The Governor announced new guidance which limits mass gatherings to 50 people or less and requires bars and restaurants to move to takeout only (on a regional basis).","https://www.nga.org/coronavirus/#states",2020-03-17
"194","USA","NY","New York",0.0818384070844503,"New York","New York City",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"195","USA","NY","New York",1,"all","all",2020-03-07,"emergency_declaration","NA","NA","NA","state of emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"196","USA","NY","New York",1,"all","all",2020-03-11,"paid_sick_leave","NA","NA","N","paid sick leave","https://www.nga.org/coronavirus/#states",2020-03-14
"197","USA","NY","New York",1,"all","all",2020-03-12,"no_gathering","NA","500","N","cancel large gatherings of over 500 people","https://www.nga.org/coronavirus/#states",2020-03-14
"198","USA","NY","New York",1,"all","all",2020-03-02,"testing_regime","NA","NA","N","waive testing costs by insureres","https://www.nga.org/coronavirus/#states",2020-03-14
"199","USA","NY","New York",1,"all","all",2020-03-03,"paid_sick_leave","NA","NA","N","paid sick leave","https://www.nga.org/coronavirus/#states",2020-03-14
"200","USA","NY","New York",1,"all","all",2020-02-01,"social_distance","NA","NA","Y","self-quarantining when sick","http://www.p12.nysed.gov/sss/schoolhealth/schoolhealthservices/coronavirus/covid-19-p-12-school-guidance.pdf",2020-03-14
"201","USA","NY","New York",1,"all","all",2020-02-28,"travel_ban_local","NA","NA","Y","suspend school sponsored travel","http://www.p12.nysed.gov/sss/schoolhealth/schoolhealthservices/coronavirus/covid-19-p-12-school-guidance.pdf",2020-03-14
"202","USA","NY","New York",1,"all","all",2020-03-16,"social_distance","NA","NA","N","Directs all nonessential state workers to work from home;","https://www.nga.org/coronavirus/#states",2020-03-17
"203","USA","NY","New York",1,"all","all",2020-03-16,"event_cancel","NA","NA","N","delayed village elections until APril 28","https://www.nga.org/coronavirus/#states",2020-03-17
"204","USA","NY","New York",1,"all","all",2020-03-11,"testing_regime","NA","NA","N","New York will contract with 28 private labs to increase COVID-19 testing capacity. Additionally, he announced that the state will provide two weeks paid leave for workers who are quarantined as well as $200,000 to local food banks in New Rochelle for families who rely on free school lunches.","https://www.governor.ny.gov/news/during-coronavirus-briefing-governor-cuomo-announces-department-financial-services-will-require",2020-03-14
"205","USA","NY","New York",0.0818384070844503,"New York","New York City",2020-03-17,"restaurant_limited","NA","NA","N","mandatory shut down of restaurants and bars","https://www.washingtonpost.com/health/states-begin-imposing-harsher-measures-to-contain-coronavirus-as-us-cases-rise-sharply/2020/03/15/267577a6-65b3-11ea-acca-80c22bbee96f_story.html",2020-03-16
"206","USA","NY","New York",1,"all","all",2020-03-16,"no_gathering","NA","50","N","These uniform standards will limit crowd capacity for social and recreational gatherings to 50 people effective 8PM tonight.","https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures",2020-03-17
"207","USA","NY","New York",1,"all","all",2020-03-16,"business_closure","NA","NA","N","Bars that do not serve food will be required to temporarily close. These measures will take effect at 8PM tonight. Temporarily close movie theaters, gyms and fitness centers, and similar public workout facilities and studios.","https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures",2020-03-17
"208","USA","OH","Ohio",0.100846322248057,"Franklin","Columbus",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"209","USA","OH","Ohio",0.06955087953855,"Hamilton","Cincinnati",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"210","USA","OH","Ohio",0.0382971305691915,"Lucas","Toledo",2020-03-15,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"211","USA","OH","Ohio",1,"all","all",2020-02-27,"travel_ban_local","NA","NA","Y","asking our college and university leaders to prohibit college travel to nations where the CDC has recommended no travel, such as China and South Korea.","https://www.nga.org/coronavirus/#states",2020-03-17
"212","USA","OH","Ohio",1,"all","all",2020-03-15,"business_closure","NA","NA","N","ordered all Ohio bars and restaurants to close, with only take-out and delivery options available.","https://www.nga.org/coronavirus/#states",2020-03-17
"213","USA","OH","Ohio",1,"all","all",2020-03-15,"no_gathering","NA","NA","Y","Generally, Governor DeWine recommends that organizers of any events involving a large gathering of individuals in close proximity be canceled or postponed, such as parades.","https://www.nga.org/coronavirus/#states",2020-03-17
"214","USA","OR","Oregon",1,"all","all",2020-03-05,"testing_regime","NA","NA","N","waive cost-sharing for patients who testing for COVID-19. The agreement means that people with insurance and group health plans won’t face co-payments, co-insurance, or deductibles for COVID-19 testing at in-network healthcare providers or emergency rooms. It will also cover immunization for covered people, when that becomes available.","https://katu.com/news/local/oregon-insurance-companies-reach-agreement-to-cover-coronavirus-testing",2020-03-17
"215","USA","OR","Oregon",1,"all","all",2020-03-08,"emergency_declaration","NA","NA","NA","state of emergency","https://www.nga.org/coronavirus/#states",2020-03-17
"216","USA","OR","Oregon",1,"all","all",2020-03-10,"social_distance","NA","NA","N","restrict vistitation to nursing, assisted living and residential care facilities, including those providing memory care","https://www.oregon.gov/oha/ERD/Pages/New-guidance-long-term-care-facilities-limit-exposure-COVID-19.aspx",2020-03-17
"217","USA","OR","Oregon",1,"all","all",2020-03-15,"emergency_declaration","NA","NA","NA","state of emergency","https://www.nga.org/coronavirus/#states",2020-03-17
"218","USA","PA","Pennsylvania",1,"all","all",2020-03-14,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"219","USA","PA","Pennsylvania",1,"all","all",2020-03-05,"travel_ban_international_inbound","China, Italy, Iran, South Korea","NA","N","Anyone who has arrived from China or Iran, and anyone who has returned from Italy or South Korea, within the last 14 days, are required to contact the public health department and practice social distancing for 14 days post travel.","https://www.media.pa.gov/Pages/Health-Details.aspx?newsid=726",2020-03-17
"220","USA","PA","Pennsylvania",1,"all","all",2020-03-06,"emergency_declaration","NA","NA","NA","Governor Tom Wolf signed an emergency disaster declaration on March 6 that directs all commonwealth departments and agencies to use all available resources and personnel as is deemed necessary to respond to the emergency situation.","https://www.governor.pa.gov/newsroom/wolf-administration-provides-guidance-to-commonwealth-employees-on-travel-and-large-gatherings/",2020-03-17
"221","USA","PA","Pennsylvania",1,"all","all",2020-03-11,"travel_ban_local","NA","NA","N","no out of state travel or international travel for official commonwealth business","https://www.governor.pa.gov/newsroom/wolf-administration-provides-guidance-to-commonwealth-employees-on-travel-and-large-gatherings/",2020-03-17
"222","USA","PA","Pennsylvania",1,"all","all",2020-03-13,"social_distance","NA","NA","N","A no visitor policy will be implemented for correctional facilities, nursing homes, and others to be evaluated.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"223","USA","PA","Pennsylvania",0.0963085733782624,"Allegheny","all",2020-03-15,"business_closure","NA","NA","N","starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"224","USA","PA","Pennsylvania",0.0492229841354915,"Bucks","all",2020-03-15,"business_closure","NA","NA","N","starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"225","USA","PA","Pennsylvania",0.0392750050994385,"Chester","all",2020-03-15,"business_closure","NA","NA","N","starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"226","USA","PA","Pennsylvania",0.0440058511874036,"Delaware","all",2020-03-15,"business_closure","NA","NA","N","starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"227","USA","PA","Pennsylvania",0.0629704089289101,"Montgomery","all",2020-03-15,"business_closure","NA","NA","N","starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.","https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-outline-covid-19-mitigation-guidance-for-montgomery-county-commonwealth-of-pennsylvania/",2020-03-17
"228","USA","PA","Pennsylvania",1,"all","all",2020-03-17,"business_closure","NA","NA","N","all restaurants and bars will close dine-in facilities, but carry out and delivery and drive through allowed","https://www.governor.pa.gov/newsroom/gov-wolf-puts-statewide-covid-19-mitigation-efforts-in-effect-stresses-need-for-every-pennsylvanian-to-take-action-to-stop-the-spread/",2020-03-17
"229","USA","PA","Pennsylvania",1,"all","all",2020-03-17,"social_distance","NA","NA","N","A no-visitor policy for correctional facilities and nursing homes has been implemented and will be evaluated for other facilities. Freedom of travel will remain, but all Pennsylvanians are asked to refrain from non-essential travel. Freedom of travel will remain, but all Pennsylvanians are asked to refrain from non-essential travel.","https://www.governor.pa.gov/newsroom/gov-wolf-puts-statewide-covid-19-mitigation-efforts-in-effect-stresses-need-for-every-pennsylvanian-to-take-action-to-stop-the-spread/",2020-03-17
"230","USA","PA","Pennsylvania",1,"all","all",2020-03-18,"paid_sick_leave","NA","NA","N","Telework or a 10 workday paid absence for individuals who do not have telework capability","https://www.governor.pa.gov/newsroom/gov-wolf-puts-statewide-covid-19-mitigation-efforts-in-effect-stresses-need-for-every-pennsylvanian-to-take-action-to-stop-the-spread/",2020-03-17
"231","USA","RI","Rhode Island",1,"all","all",2020-03-11,"no_gathering","NA","250","Y","Do not organize or attend events that will be attended by 250 people or more.","https://www.ri.gov/press/view/37892",2020-03-17
"232","USA","RI","Rhode Island",1,"all","all",2020-03-16,"social_distance","NA","NA","N","regarding restrictions for public meetings.","http://www.governor.ri.gov/documents/orders/Executive-Order-20-05.pdf",2020-03-17
"233","USA","RI","Rhode Island",1,"all","all",2020-03-16,"business_closure","NA","NA","N","regarding restrictions for restaurants, bars, entertainment venues, and public gatherings.","http://www.governor.ri.gov/documents/orders/Executive-Order-20-04.pdf",2020-03-17
"234","USA","SD","South Dakota",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","state of emergency order for South Dakota.","https://www.nga.org/coronavirus/#states",2020-03-17
"235","USA","TN","Tennessee",1,"all","all",2020-03-12,"emergency_declaration","NA","NA","NA","state of emergency declared","https://www.nga.org/coronavirus/#states",2020-03-17
"236","USA","TN","Tennessee",1,"all","all",2020-03-12,"no_gathering","NA","250","N","state of emergency declared","https://www.nga.org/coronavirus/#states",2020-03-17
"237","USA","TN","Tennessee",1,"all","all",2020-03-13,"travel_ban_local","NA","NA","N","School districts have been advised to exercise discretion when canceling school for K-12 students.","https://www.nga.org/coronavirus/#states",2020-03-17
"238","USA","TX","Texas",1,"all","all",2020-03-11,"testing_regime","NA","NA","N","insurers and HMOs to waive copayments, co-insurance, and deductibles for “testing and telemedicine visits for the diagnosis of coronavirus,” that is consistent with CDC guidance.","https://www.nga.org/coronavirus/#states",2020-03-17
"239","USA","TX","Texas",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","state of emergency declared","https://www.nga.org/coronavirus/#states",2020-03-17
"240","USA","UT","Utah",1,"all","all",2020-03-06,"emergency_declaration","NA","NA","NA","state of emergency declared","https://www.nga.org/coronavirus/#states",2020-03-17
"241","USA","UT","Utah",1,"all","all",2020-03-12,"no_gathering","NA","100","N","limit gatherings of 100+ people (including church); not participate in group gatherings for individuals over 60 years of age or immunocompromised; and restrict access to long-term care facilities.","https://www.nga.org/coronavirus/#states",2020-03-17
"242","USA","VA","Virginia",1,"all","all",2020-03-12,"business_closure","NA","NA","Y","plans to enable state employee teleworking. He also encouraged private businesses to explore telework and paid time-off options.","https://www.nga.org/coronavirus/#states",2020-03-17
"243","USA","VA","Virginia",1,"all","all",2020-03-12,"travel_ban_local","NA","NA","N","Guidance included a ban on out-of-state travel, implementation of telework policies, cancelling specially scheduled state events for 30 days, and urging avoidance of large public gatherings","https://www.nga.org/coronavirus/#states",2020-03-17
"244","USA","VA","Virginia",1,"all","all",2020-03-12,"business_closure","NA","NA","N","Guidance included a ban on out-of-state travel, implementation of telework policies, cancelling specially scheduled state events for 30 days, and urging avoidance of large public gatherings","https://www.nga.org/coronavirus/#states",2020-03-17
"245","USA","VA","Virginia",1,"all","all",2020-03-12,"event_cancel","NA","NA","N","Guidance included a ban on out-of-state travel, implementation of telework policies, cancelling specially scheduled state events for 30 days, and urging avoidance of large public gatherings","https://www.nga.org/coronavirus/#states",2020-03-17
"246","USA","VA","Virginia",1,"all","all",2020-03-15,"no_gathering","NA","100","N","Guidance included a ban on out-of-state travel, implementation of telework policies, cancelling specially scheduled state events for 30 days, and urging avoidance of large public gatherings","https://www.nga.org/coronavirus/#states",2020-03-17
"247","USA","VT","Vermont",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","Govenor Scott declared a state of emergency","https://www.nga.org/coronavirus/#states",2020-03-17
"248","USA","VT","Vermont",1,"all","all",2020-03-13,"no_gathering","NA","50","N","Restricting the size of mass gatherings to the lesser of 50 people or 50% of the occupancy of certain facilities.","https://www.nga.org/coronavirus/#states",2020-03-17
"249","USA","VT","Vermont",1,"all","all",2020-03-17,"business_closure","NA","NA","N","The closure of all bars and restaurants statewide. Establishments can continue to offer food takeout and delivery service.","https://www.nga.org/coronavirus/#states",2020-03-17
"250","USA","WA","Washington",1,"all","all",2020-03-05,"testing_regime","NA","NA","N","waive co-pays and deductibles for testing","https://www.nga.org/coronavirus/#states",2020-03-14
"251","USA","WA","Washington",1,"all","all",2020-02-29,"emergency_declaration","NA","NA","NA","state of emergency","https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf",2020-03-14
"252","USA","WA","Washington",1,"all","all",2020-02-29,"social_distance","NA","NA","Y","social distancing","https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf",2020-03-14
"253","USA","WA","Washington",1,"all","all",2020-02-29,"work_from_home","NA","NA","Y","businesses to adjust workplace (i.e. remote, staggering start/ends, flexibile sick leave)","https://www.kingcounty.gov/depts/health/communicable-diseases/disease-control/novel-coronavirus/protection.aspx",2020-03-14
"254","USA","WA","Washington",0.287194217002204,"King","all",2020-03-04,"home_isolation","NA","NA","N","expanded quarantine","https://www.nga.org/coronavirus/#states",2020-03-14
"255","USA","WA","Washington",0.287194217002204,"King","all",2020-03-11,"no_gathering","NA","250","N","limit gathering size to 250","https://publichealthinsider.com/2020/03/11/new-limits-on-large-gatherings-other-emergency-strategies-to-slow-the-spread-of-covid-19/",2020-03-14
"256","USA","WA","Washington",0.118257159597534,"Pierce","all",2020-03-11,"social_distance","NA","NA","Y","self-quaranting for sick/high risk individuals","https://www.kingcounty.gov/depts/health/communicable-diseases/disease-control/novel-coronavirus/protection.aspx",2020-03-14
"257","USA","WA","Washington",0.106079374946093,"Snohomish","all",2020-03-11,"social_distance","NA","NA","Y","self-quaranting for sick individuals","https://www.kingcounty.gov/depts/health/communicable-diseases/disease-control/novel-coronavirus/protection.aspx",2020-03-14
"258","USA","WA","Washington",0.287194217002204,"King","Seattle",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"259","USA","WA","Washington",1,"all","all",2020-03-17,"no_gathering","NA","50","N","limited gathering size","https://www.washingtonpost.com/health/states-begin-imposing-harsher-measures-to-contain-coronavirus-as-us-cases-rise-sharply/2020/03/15/267577a6-65b3-11ea-acca-80c22bbee96f_story.html",2020-03-16
"260","USA","WA","Washington",1,"all","all",2020-03-17,"restaurant_limited","NA","NA","N","mandatory shut down of restaurants and bars","https://www.washingtonpost.com/health/states-begin-imposing-harsher-measures-to-contain-coronavirus-as-us-cases-rise-sharply/2020/03/15/267577a6-65b3-11ea-acca-80c22bbee96f_story.html",2020-03-16
"261","USA","WA","Washington",1,"all","all",2020-03-16,"business_closure","NA","NA","N","an emergency proclamation that mandates the immediate two-week closure of all restaurants, bars, and entertainment and recreational facilities, as well as additional limits on large gatherings.","https://www.nga.org/coronavirus/#states",2020-03-17
"262","USA","WI","Wisconsin",1,"all","all",2020-03-12,"emergency_declaration","NA","NA","N","Governor Evers declared a public health emergency","https://www.nga.org/coronavirus/#states",2020-03-17
"263","USA","WI","Wisconsin",1,"all","all",2020-03-17,"no_gathering","NA","50","N","prohibiting mass gatherings of 50 people or more statewide to mitigate the spread of COVID-19. Restaurants and bars are required to operate at less than 50 percent capacity or have fewer than 50 people, whichever is less.","https://www.dhs.wisconsin.gov/covid-19/index.htm",2020-03-17
"264","USA","WI","Wisconsin",1,"all","all",2020-03-12,"travel_ban_local","NA","NA","Y","DHS recommends against all nonessential travel to any U.S. state where the CDC deems there is “community transmission” of COVID-19.","https://www.dhs.wisconsin.gov/covid-19/index.htm",2020-03-17
"265","USA","WI","Wisconsin",1,"all","all",2020-03-12,"social_distance","NA","NA","Y","ned that community transmission is occurring, DHS recommends that those individuals self-quarantine at home for 14 days and monitor for symptoms of COVID-19 (including fever and cough). Instructions on how to self-quarantine and self-monitor for symptoms, are available on this page in the next section.","https://www.dhs.wisconsin.gov/covid-19/index.htm",2020-03-17
"266","USA","WV","West Virginia",1,"all","all",2020-03-12,"travel_ban_local","NA","NA","N","Governor Justice announced a state employee travel ban on out-of-state and international travel and asked West Virginians to reconsider non-essential, personal travel.","https://governor.wv.gov/News/press-releases/2020/Pages/COVID-UPDATE-Gov.-Justice-announces-State-employee-travel-ban,-basketball-tournament-cancellation-among-latest-precautions.aspx",2020-03-17
"267","USA","WV","West Virginia",1,"all","all",2020-03-12,"social_distance","NA","NA","Y","asking all nursing homes to restrict visitors with exceptions for end-of-life or serious illness situations.","https://governor.wv.gov/News/press-releases/2020/Pages/COVID-UPDATE-Gov.-Justice-announces-State-employee-travel-ban,-basketball-tournament-cancellation-among-latest-precautions.aspx",2020-03-17
"268","USA","WV","West Virginia",1,"all","all",2020-03-16,"emergency_declaration","NA","NA","NA","state of emergency declared","https://www.nga.org/coronavirus/#states",2020-03-17
"269","USA","WY","Wyoming",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","N","Governor Gordon declared a state of emergency in Wyoming.","https://www.nga.org/coronavirus/#states",2020-03-17
"270","USA","WY","Wyoming",1,"all","all",2020-03-13,"social_distance","NA","NA","N","only for those that have been testing and have positive results, or are waiting test results for COVID-19","https://health.wyo.gov/wp-content/uploads/2020/03/Coronavirus-Disease-2019-HAN-7_3.13.20-002.pdf",2020-03-17
"271","USA","IA","Iowa",0.000231095850614915,NA,"Adair",2020-03-17,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"272","USA","IA","Iowa",0.00123951410784364,NA,"Adel",2020-03-15,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"273","USA","IA","Iowa",0.000500598255948502,NA,"Ackley",2020-03-17,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"274","USA","IA","Iowa",0.000498300427888411,NA,"Avoca",2020-03-17,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"275","USA","IA","Iowa",0.000479589542256237,NA,"Akron",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"276","USA","IA","Iowa",0.000222561060677433,NA,"Albert City",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"277","USA","IA","Iowa",0.00117156404949522,NA,"Albia",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"278","USA","IA","Iowa",0.000229454544857707,NA,"Alburnett",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"279","USA","IA","Iowa",0.000248165430489881,NA,"Alden",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"280","USA","IA","Iowa",0.00172369930622006,NA,"Algona",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"281","USA","IA","Iowa",0.00116204447610341,NA,"Waukon",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
"282","USA","IA","Iowa",0.000635513589191017,NA,"Alta",2020-03-16,"school_closure",NA,NA,"N",NA,"https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html",2020-03-25
