date,adm0_name,adm1_name,school_closure,school_closure_popwt,school_closure_opt,school_closure_opt_popwt,business_closure,business_closure_popwt,business_closure_opt,business_closure_opt_popwt,no_gathering,no_gathering_popwt,no_gathering_opt,no_gathering_opt_popwt,travel_ban_intl_out,travel_ban_intl_out_popwt,travel_ban_local,travel_ban_local_popwt,social_distance,social_distance_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home,work_from_home_popwt,work_from_home_opt,work_from_home_opt_popwt,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,home_isolation_opt,home_isolation_opt_popwt,paid_sick_leave,paid_sick_leave_popwt,paid_sick_leave_opt,paid_sick_leave_opt_popwt,emergency_declaration,emergency_declaration_popwt,travel_ban_intl_out_country_list,no_gathering_size
2020-03-06,USA,Pennsylvania,1,0.00064793,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan nan nan],
2020-03-06,USA,Tennessee,1,0.01058198,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-06,USA,Utah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan],
2020-03-06,USA,Washington,1,0.00806416,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-07,USA,Kentucky,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-07,USA,New York,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan],
2020-03-08,USA,Oregon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan],
2020-03-08,USA,all,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-09,USA,California,1,0.00416221,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04851507,0,0.0,1,0.04851507,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan nan nan],
2020-03-09,USA,Connecticut,1,0.00376051,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan nan nan nan],250.0
2020-03-09,USA,District of Columbia,1,0.93298617,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-09,USA,Florida,1,0.00066826,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,[nan nan nan nan],
2020-03-09,USA,Georgia,1,0.00329544,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan],
2020-03-09,USA,Illinois,1,0.21505959,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan],
2020-03-09,USA,Indiana,1,0.01511085,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan],
2020-03-09,USA,Kentucky,1,0.00140632,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
2020-03-09,USA,Massachusetts,1,0.02648039,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan],
2020-03-09,USA,Nebraska,1,0.01349811,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan nan nan],
2020-03-09,USA,New Hampshire,1,0.00402481,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,[nan],
