adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,523,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Bourgogne-Franche-Comté,412,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Bretagne,207,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Centre-Val de Loire,71,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Corse,115,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Grand Est,1378,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Hauts-de-France,507,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Ile-de-France,1209,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Normandie,143,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Nouvelle-Aquitaine,144,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Occitanie,243,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Pays de la Loire,98,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Provence-Alpes-Côte d’Azur,330,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Total Métropole,5380,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Guadeloupe,6,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Saint-Barthélémy,3,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Saint-Martin,2,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Guyane,7,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Martinique,15,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Mayotte,1,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
La Réunion,9,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
Total Outre Mer,43,2020-03-15T15:00:00Z,2020-03-15,2020-03-15T20:21:20Z,France
