adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,454,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Bourgogne-Franche-Comté,339,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Bretagne,182,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Centre-Val de Loire,54,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Corse,106,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Grand Est,1085,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Hauts-de-France,466,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Ile-de-France,949,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Normandie,127,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Nouvelle-Aquitaine,130,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Occitanie,214,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Pays de la Loire,82,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Provence-Alpes-Côte d’Azur,281,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Total Métropole,4469,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Guadeloupe,3,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Saint-Barthélémy,1,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Saint-Martin,2,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Guyane,7,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Martinique,10,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Mayotte,1,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
La Réunion,6,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
Total Outre Mer,30,2020-03-14T15:00:00Z,2020-03-14,2020-03-14T22:19:21Z,France
