adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,710,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Bourgogne-Franche-Comté,549,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Bretagne,247,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Centre-Val de Loire,103,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Corse,145,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Grand Est,1820,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Hauts-de-France,612,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Ile-de-France,2177,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Normandie,174,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Nouvelle-Aquitaine,200,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Occitanie,311,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Pays de la Loire,126,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Provence-Alpes-Côte d’Azur,478,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Total Métropole,7652,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Guadeloupe,27,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Saint-Barthélémy,3,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Saint-Martin,3,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Guyane,11,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Martinique,19,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Mayotte,3,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
La Réunion,12,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
Total Outre Mer,78,2020-03-17T15:00:00Z,2020-03-17,2020-03-17T19:00:03Z,France
