adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1730,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Bourgogne-Franche-Comté,1347,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Bretagne,490,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Centre-Val de Loire,361,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Corse,194,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Grand Est,4256,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Hauts-de-France,1269,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Ile-de-France,6211,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Normandie,511,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Nouvelle-Aquitaine,676,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Occitanie,767,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Pays de la Loire,293,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Provence-Alpes-Côte d’Azur,1510,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Total Métropole,19615,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Guadeloupe,62,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Saint-Barthélémy,3,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Saint-Martin,8,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Guyane,20,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Martinique,53,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Mayotte,24,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
La Réunion,71,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
Total Outre Mer,241,2020-03-23T14:00:00Z,2020-03-23,2020-03-23T23:06:38Z,France
