adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1101,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Bourgogne-Franche-Comté,770,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Bretagne,346,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Centre-Val de Loire,219,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Corse,168,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Grand Est,3006,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Hauts-de-France,759,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Ile-de-France,3818,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Normandie,287,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Nouvelle-Aquitaine,432,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Occitanie,537,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Pays de la Loire,190,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Provence-Alpes-Côte d’Azur,826,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Total Métropole,12459,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Guadeloupe,51,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Saint-Barthélémy,3,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Saint-Martin,4,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Guyane,15,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Martinique,32,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Mayotte,7,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
La Réunion,38,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
Total Outre Mer,153,2020-03-20T14:00:00Z,2020-03-20,2020-03-20T19:00:06Z,France
