adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,416,2020-03-13,2020-03-13,2020-03-13,France
Bourgogne-Franche-Comté,272,2020-03-13,2020-03-13,2020-03-13,France
Bretagne,157,2020-03-13,2020-03-13,2020-03-13,France
Centre-Val de Loire,33,2020-03-13,2020-03-13,2020-03-13,France
Corse,85,2020-03-13,2020-03-13,2020-03-13,France
Grand Est,911,2020-03-13,2020-03-13,2020-03-13,France
Hauts-de-France,417,2020-03-13,2020-03-13,2020-03-13,France
Ile-de-France,721,2020-03-13,2020-03-13,2020-03-13,France
Normandie,97,2020-03-13,2020-03-13,2020-03-13,France
Nouvelle-Aquitaine,114,2020-03-13,2020-03-13,2020-03-13,France
Occitanie,172,2020-03-13,2020-03-13,2020-03-13,France
Pays de la Loire,55,2020-03-13,2020-03-13,2020-03-13,France
Provence-Alpes-Côte d’Azur,212,2020-03-13,2020-03-13,2020-03-13,France
Total Métropole,,2020-03-13,2020-03-13,2020-03-13,France
Guadeloupe,,2020-03-13,2020-03-13,2020-03-13,France
Saint-Barthélémy,,2020-03-13,2020-03-13,2020-03-13,France
Saint-Martin,,2020-03-13,2020-03-13,2020-03-13,France
Guyane,,2020-03-13,2020-03-13,2020-03-13,France
Martinique,,2020-03-13,2020-03-13,2020-03-13,France
Mayotte,,2020-03-13,2020-03-13,2020-03-13,France
La Réunion,,2020-03-13,2020-03-13,2020-03-13,France
Total Outre Mer,,2020-03-13,2020-03-13,2020-03-13,France
