adm0_name,adm1_name,adm2_name,policy,no_gathering_size,policy_description,policy_intensity,optional,date_start,date_end,source,access_date,notes
France,75,All,social_distance,NA,Visits to nursing homes strongly discouraged,1,Y,3/8/2020,NA,https://www.nouvelle-aquitaine.ars.sante.fr/communique-de-presse-coronavirus-point-de-situation-en-nouvelle-aquitaine-du-08032020,3/15/2020,
France,28,14,no_gathering,50,town of Biéville-Beuville only,1,N,3/9/2020,NA,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-1,3/15/2020,
France,32,60,no_gathering,50,no gathering of more than 50 inside,1,N,3/9/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,11,75,school_closure_1,NA,one school with confirmed case closed,1,N,3/9/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200309.pdf,3/15/2020,
France,11,78,school_closure_1,NA,one school with confirmed case closed,1,N,3/9/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200309.pdf,3/15/2020,
France,28,14,school_closure_1,NA,school group of Biéville-Beuville,1,N,3/9/2020,NA,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-2,3/15/2020,
France,32,60,school_closure_all,NA,all school closure,1,N,3/9/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,28,14,social_distance,NA,closure of certain establishments open to the public in town of Biéville-Beuville,1,N,3/9/2020,NA,https://www.normandie.ars.sante.fr/coronavirus-point-de-situation-en-normandie-3,3/15/2020,
France,24,41,school_closure_1,NA,"minor, due to a professor testing positive",1,N,3/10/2020,NA,https://www.centre-val-de-loire.ars.sante.fr/communique-de-presse-coronavirus-informations-sur-le-lycee-de-pontlevoy-loir-et-cher,3/14/2020,
France,32,80,school_closure_1,NA,one school with confirmed case closed,1,N,3/10/2020,NA,https://www.hauts-de-france.ars.sante.fr/covid-19-lecole-maternelle-au-pays-des-enfants-sages-de-chaulnes-80-fermee-par-mesure-de-precaution,3/14/2020,
France,11,91,school_closure_2,NA,two schools with confirmed case closed,1,N,3/10/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200309.pdf,3/15/2020,
France,11,75,school_closure_1,NA,"mother of student tested positive, school closed",1,N,3/11/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid10_20200311.pdf,3/15/2020,
France,53,35,school_closure_1,NA,"minor, due to a professor beeing tested positive",1,N,3/11/2020,NA,https://www.bretagne.ars.sante.fr/coronavirus-en-ille-et-vilaine-fermeture-detablissements-scolaires-de-la-commune-de-bruz,3/14/2020,
France,76,34,school_closure_16,NA,,1,N,3/11/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,94,2,school_closure_all,NA,,1,N,3/11/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
