adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1266,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Bourgogne-Franche-Comté,903,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Bretagne,359,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Centre-Val de Loire,254,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Corse,173,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Grand Est,3089,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Hauts-de-France,791,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Ile-de-France,4695,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Normandie,345,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Nouvelle-Aquitaine,521,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Occitanie,611,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Pays de la Loire,234,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Provence-Alpes-Côte d’Azur,1041,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Total Métropole,14282,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Guadeloupe,56,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Saint-Barthélémy,3,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Saint-Martin,5,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Guyane,18,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Martinique,37,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Mayotte,11,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
La Réunion,47,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
Total Outre Mer,177,2020-03-21T14:00:00Z,2020-03-21,2020-03-22T01:28:08Z,France
