adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,858,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Bourgogne-Franche-Comté,593,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Bretagne,273,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Centre-Val de Loire,128,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Corse,152,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Grand Est,2163,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Hauts-de-France,665,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Ile-de-France,2693,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Normandie,208,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Nouvelle-Aquitaine,237,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Occitanie,371,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Pays de la Loire,128,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Provence-Alpes-Côte d’Azur,574,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Total Métropole,9043,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Guadeloupe,33,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Saint-Barthélémy,3,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Saint-Martin,4,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Guyane,11,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Martinique,23,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Mayotte,3,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
La Réunion,14,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
Total Outre Mer,91,2020-03-18T14:00:00Z,2020-03-18,2020-03-18T19:01:24Z,France
