adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,182,2020-03-09,2020-03-09,2020-03-09,France
Bourgogne-Franche-Comté,119,2020-03-09,2020-03-09,2020-03-09,France
Bretagne,71,2020-03-09,2020-03-09,2020-03-09,France
Centre-Val de Loire,17,2020-03-09,2020-03-09,2020-03-09,France
Corse,28,2020-03-09,2020-03-09,2020-03-09,France
Grand Est,310,2020-03-09,2020-03-09,2020-03-09,France
Hauts-de-France,181,2020-03-09,2020-03-09,2020-03-09,France
Ile-de-France,300,2020-03-09,2020-03-09,2020-03-09,France
Normandie,25,2020-03-09,2020-03-09,2020-03-09,France
Nouvelle-Aquitaine,39,2020-03-09,2020-03-09,2020-03-09,France
Occitanie,60,2020-03-09,2020-03-09,2020-03-09,France
Pays de la Loire,26,2020-03-09,2020-03-09,2020-03-09,France
Provence-Alpes-Côte d’Azur,72,2020-03-09,2020-03-09,2020-03-09,France
Total Métropole,,2020-03-09,2020-03-09,2020-03-09,France
Guadeloupe,,2020-03-09,2020-03-09,2020-03-09,France
Saint-Barthélémy,,2020-03-09,2020-03-09,2020-03-09,France
Saint-Martin,,2020-03-09,2020-03-09,2020-03-09,France
Guyane,,2020-03-09,2020-03-09,2020-03-09,France
Martinique,,2020-03-09,2020-03-09,2020-03-09,France
Mayotte,,2020-03-09,2020-03-09,2020-03-09,France
La Réunion,,2020-03-09,2020-03-09,2020-03-09,France
Total Outre Mer,,2020-03-09,2020-03-09,2020-03-09,France
