adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1857,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Bourgogne-Franche-Comté,1510,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Bretagne,526,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Centre-Val de Loire,450,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Corse,217,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Grand Est,4922,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Hauts-de-France,1532,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Ile-de-France,6798,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Normandie,586,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Nouvelle-Aquitaine,789,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Occitanie,900,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Pays de la Loire,343,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Provence-Alpes-Côte d’Azur,1595,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Total Métropole,22025,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Guadeloupe,73,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Saint-Barthélémy,3,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Saint-Martin,8,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Guyane,23,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Martinique,57,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Mayotte,30,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
La Réunion,83,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
Total Outre Mer,277,2020-03-24T14:00:00Z,2020-03-24,2020-03-24T19:00:06Z,France
