adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,2093,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Bourgogne-Franche-Comté,1569,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Bretagne,603,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Centre-Val de Loire,561,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Corse,225,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Grand Est,5479,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Hauts-de-France,1753,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Ile-de-France,7660,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Normandie,688,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Nouvelle-Aquitaine,912,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Occitanie,1082,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Pays de la Loire,368,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Provence-Alpes-Côte d’Azur,1927,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Total Métropole,24920,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Guadeloupe,76,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Saint-Barthélémy,3,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Saint-Martin,11,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Guyane,28,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Martinique,66,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Mayotte,35,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
La Réunion,94,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
Total Outre Mer,313,2020-03-25T14:00:00Z,2020-03-25,2020-03-25T19:00:05Z,France
