adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,618,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Bourgogne-Franche-Comté,507,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Bretagne,233,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Centre-Val de Loire,90,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Corse,126,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Grand Est,1543,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Hauts-de-France,585,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Ile-de-France,1762,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Normandie,156,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Nouvelle-Aquitaine,178,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Occitanie,262,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Pays de la Loire,108,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Provence-Alpes-Côte d’Azur,405,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Total Métropole,6573,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Guadeloupe,18,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Saint-Barthélémy,3,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Saint-Martin,2,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Guyane,11,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Martinique,16,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Mayotte,1,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
La Réunion,9,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
Total Outre Mer,60,2020-03-16T15:00:00Z,2020-03-16,2020-03-16T20:26:40Z,France
