adm0,policy,beta,se
"IRN","p_1",-.347,.048
"IRN","p_2",-.102,.02
"IRN","p_3",.033,.039
"IRN","comb. policy",-.416,.06
"IRN","comb. policy Tehran",-.392,.104
"IRN","no_policy rate",.539,.051
"IRN_Tehran","no_policy rate",.484,.063
