ATE,sd,pval,LB,UB,lag,r2,adm0
-.2390824,.0676002,.0004051,-.3715763,-.1065885,0,.2922895,"ITA"
-.250385,.046705,8.28e-08,-.3419251,-.1588449,1,.291663,"ITA"
-.2184544,.0352823,5.96e-10,-.2876064,-.1493023,2,.288457,"ITA"
-.2070218,.0273669,3.89e-14,-.26066,-.1533837,3,.2890631,"ITA"
-.1923462,.0208207,2.51e-20,-.233154,-.1515384,4,.2945229,"ITA"
-.1766159,.0237311,9.89e-14,-.2231281,-.1301038,5,.2997856,"ITA"
-.1156163,.0121378,1.65e-21,-.1394061,-.0918266,10,.3070859,"ITA"
-.099973,.0080836,3.92e-35,-.1158165,-.0841295,15,.2844645,"ITA"
