adm0,policy,beta,se
"USA","p_1",-.046,.137
"USA","p_2",-.052,.095
"USA","p_3",-.149,.17
"USA","comb. policy",-.247,.194
"USA","no_policy rate",.345,.116
"USA_Washington","no_policy rate",.606,.282
"USA_California","no_policy rate",.246,.038
"USA_NewYork","no_policy rate",.288,.231
