adm0,policy,beta,se
"ITA","p_1",.083,.037
"ITA","p_2",-.1,.077
"ITA","p_3",-.109,.072
"ITA","p_4",-.237,.164
"ITA","p_5",.055,.068
"ITA","p_6",-.074,.05
"ITA","comb. policy",-.381,.124
"ITA","no_policy rate",.372,.043
