date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200514,KY,7080.0,110315.0,,377.0,1835.0,215.0,784.0,,,2649.0,A+,5/13/2020 17:00,974c86ea643c02fbba54fa1c3d4c9a722df886bf,2020-05-14T20:00:00Z,326.0,1835.0,117395,117395,117395,21,5.0,10.0,6534.0,227.0,6761.0
20200514,LA,33489.0,214099.0,,1193.0,,,,140.0,,22608.0,B,5/14/2020 13:00,d4c7186772b7c37de7ad8a1263e57da38205e75d,2020-05-14T20:00:00Z,2417.0,,247588,247588,247588,22,36.0,0.0,8857.0,827.0,9684.0
20200514,MA,80497.0,329535.0,,3101.0,8032.0,794.0,,,,,A+,5/13/2020 10:00,2184c164eb76c02ed3d6cc5e37e99952ba39847b,2020-05-14T20:00:00Z,5315.0,8032.0,410032,410032,410032,25,0.0,0.0,0.0,0.0,0.0
20200514,MD,35903.0,142551.0,,1538.0,6553.0,569.0,,,,2569.0,,5/14/2020 10:00,6f833fc13c26af144289698bd73562356958fcc0,2020-05-14T20:00:00Z,1866.0,6553.0,178454,178454,178454,24,57.0,149.0,3789.0,1091.0,4880.0
20200514,ME,1565.0,22092.0,,37.0,207.0,18.0,,7.0,,958.0,B,5/14/2020 12:30,c9e3bd1005fd7a9893bcdd12f8ba68b6f1f71d3c,2020-05-14T20:00:00Z,69.0,207.0,23657,23657,23657,23,3.0,3.0,0.0,50.0,50.0
20200514,MI,49582.0,286301.0,,1330.0,,653.0,,515.0,,22686.0,A+,5/14/2020 11:00,728134334478e07a42d3e0e291ec3f7c0293d756,2020-05-14T20:00:00Z,4787.0,,335883,335883,335883,26,73.0,0.0,26432.0,1191.0,27623.0
20200514,MN,13435.0,115317.0,,498.0,1915.0,203.0,663.0,,,8473.0,A+,5/13/2020 17:00,ac8a7a1ac321ed491129848882ce0bb688ec72e5,2020-05-14T20:00:00Z,663.0,1915.0,128752,128752,128752,27,25.0,64.0,6199.0,518.0,6717.0
20200514,MO,10317.0,116793.0,,796.0,,,,115.0,,,B,5/14/2020 15:00,973eabc5c0120a25364c84d49207a1a0e8fed7a8,2020-05-14T20:00:00Z,562.0,,127110,127110,127110,29,20.0,0.0,2793.0,175.0,2968.0
20200514,MP,19.0,3306.0,,,,,,,,12.0,D,5/14/2020 00:00,b08bc9764ef8dee231d256d47380136ed58e572e,2020-05-14T20:00:00Z,2.0,,3325,3325,3325,69,0.0,0.0,285.0,0.0,285.0
20200514,MS,10483.0,94843.0,,589.0,1667.0,131.0,,72.0,,6268.0,A,5/13/2020 19:00,113111017b63e87323c208beee6256a988b5efb6,2020-05-14T20:00:00Z,480.0,1667.0,105326,105326,105326,28,15.0,51.0,4885.0,393.0,5278.0
20200514,MT,462.0,24087.0,,3.0,63.0,,,,,431.0,B,5/14/2020 00:00,cd4417db3e0c03025a90d79157fa5ca3dcea6372,2020-05-14T20:00:00Z,16.0,63.0,24549,24549,24549,30,0.0,0.0,697.0,0.0,697.0
20200514,NC,16507.0,202761.0,,507.0,,,,,,9115.0,A,5/14/2020 11:00,1ec07a85eac921f142afb5c7a7428f2109300cf1,2020-05-14T20:00:00Z,615.0,,219268,219268,219268,37,18.0,0.0,8120.0,691.0,8811.0
20200514,ND,1647.0,48599.0,,38.0,129.0,,,,,1007.0,C,5/14/2020 13:00,0b141c449c1b04fdfeb11c7fbb05245f0f8387f4,2020-05-14T20:00:00Z,40.0,129.0,50246,50246,50246,38,0.0,2.0,1301.0,0.0,1301.0
20200514,NE,9075.0,44266.0,,,,,,,,,C,5/13/2020 20:00,8e26a97f89cbcf4abc6a04c143417b5fcc9e55a9,2020-05-14T20:00:00Z,107.0,,53341,53341,53341,31,4.0,0.0,3233.0,383.0,3616.0
20200514,NH,3299.0,35876.0,735.0,126.0,326.0,,97.0,,,1236.0,B,5/13/2020 09:00,a2354a712234d8d44acbf4b67920df1c8689bc0d,2020-05-14T20:00:00Z,150.0,326.0,39910,39175,39175,33,8.0,7.0,1899.0,60.0,1959.0
20200514,NJ,142704.0,308992.0,,3958.0,,1157.0,,898.0,,15642.0,A+,5/14/2020 13:00,3bbe31c305d3d528719662b3798df23dc133f3f2,2020-05-14T20:00:00Z,9946.0,,451696,451696,451696,34,244.0,0.0,9102.0,1144.0,10246.0
20200514,NM,5364.0,109647.0,,200.0,886.0,,,,,1515.0,C,5/13/2020 20:20,d25b02d05f9c15802c397707d99d1705250d04d9,2020-05-14T20:00:00Z,231.0,886.0,115011,115011,115011,35,12.0,0.0,4570.0,152.0,4722.0
