adm0_name,adm1_name,adm1_pop_weight,adm2_name,adm3_name,date,policy,travel_ban_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,AZ,1,all,all,3/11/20,emergency_declaration,NA,NA,NA,Governor Ducey issued a Declaration of Emergency and an Executive Order to provide health officials and administrators with tools and guidance necessary to combat the continued spread of COVID-19 and to reduce financial burdens on Arizonans by lowering healthcare costs associated with the virus.,https://azgovernor.gov/governor/news/2020/03/video-governor-ducey-adhs-director-dr-christ-announce-declaration-emergency,3/17/20
USA,AZ,1,all,all,3/16/20,school_closure,NA,NA,N,"the closure of all schools from Monday, March 16, 2020 through Friday, March 27, 2020.",https://azgovernor.gov/governor/blog/2020/03/open-letter-arizona-families-educators-school-leaders-and-education-community,3/17/20
USA,CA,1,all,all,3/4/20,emergency_declaration,NA,NA,NA,state of emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,CA,1,all,all,3/12/20,social_distance,NA,NA,Y,social distancing,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.12.20-EO-N-25-20-COVID-19.pdf,3/14/20
USA,CA,1,all,all,3/5/20,paid_sick_leave,NA,NA,Y,employee support services,https://www.nga.org/coronavirus/#states,3/14/20
USA,CA,0.25303338,Los Angeles,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.09889896,Los Angeles,Los Angeles,3/13/20,social_distance,NA,NA,N,all libraries closed,https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/,3/15/20
USA,CA,0.07977387,Orange,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/,3/14/20
USA,CA,0.06136485,Riverside,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/,3/14/20
USA,CA,0.04851507,Santa Clara,all,3/9/20,work_from_home,NA,NA,Y,"businesses to adjust workplace (i.e. remote, staggering start/ends, flexibile sick leave)",https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf,3/14/20
USA,CA,0.04851507,Santa Clara,all,3/9/20,social_distance,NA,NA,Y,self-quaranting for sick/high risk individuals,https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf,3/14/20
USA,CA,0.04851507,Santa Clara,all,3/11/20,no_gathering,NA,1000,N,limit gathering size to 1000,https://www.sccoe.org/news/featured/PublishingImages/Pages/Novel-Coronavirus-Information/03-09-20-Updated-Guidance-and-Orders%20ENGLISH.pdf,3/14/20
USA,CA,0.04851507,Santa Clara,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.03858467,Sacramento,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.02164039,San Francisco,San Francisco,3/13/20,social_distance,NA,NA,N,all libraries closed,https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/,3/15/20
USA,CA,0.02130747,Ventura,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.01118273,Solano,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.01118065,Santa Barbara,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.0109069,Monterey,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.00650181,Marin,all,3/17/20,school_closure,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/20
USA,CA,0.09889896,Willacy,Los Angeles,3/11/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.03482858,Duval,San Diego,3/16/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.02561581,Rio Arriba,San Jose,3/5/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.02164039,San Francisco,San Francisco,3/5/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.01226041,Otero,Sacramento,3/16/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.01045239,Orange,Oakland,3/5/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00416221,Sacramento,Elk Grove,3/9/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00300918,Alameda,Berkeley,3/5/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00275538,Riverside,Murrieta,3/9/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00272558,Fort Bend,Richmond,3/16/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00037686,Fresno,Parlier,3/11/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00034031,Los Angeles,Palos Verdes Estates,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00029348,Sonoma,Healdsburg,3/2/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.00017983,San Mateo,Atherton,3/4/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CA,0.02232824,San Francisco,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,0.04897801,Santa Clara,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,0.0194526,San Mateo,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,0.00656385,Marin,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,0.0290752,Contra Costa,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,0.04213228,Alameda,all,3/17/20,home_isolation,NA,NA,N,"mandatory shelter at home, only allowed to leave for essentials",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/16/20
USA,CA,1,all,all,3/15/20,home_isolation,NA,NA,N,People who are older or have underlying health problems are being told to stay inside at all times except for health care under the new directive. They should ask someone to shop for them if they are able.,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/17/20
USA,CA,1,all,all,3/17/20,work_from_home,NA,NA,N,"Everyone is to work from home, or stop working, unless they provide an essential service, which includes health care workers; police, fire and other emergency responders; and utility providers such as electricians, plumbers, and sanitation workers.",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/17/20
USA,CA,1,all,all,3/17/20,business_closure,NA,NA,N,"all bars in the state be closed, and that restaurants reduce capacity.",https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,3/17/20
USA,CA,1,all,all,3/5/20,testing_regime,NA,NA,N,the California Department of Insurance issued similar direction providing cost free medically necessary testing for an additional 2 million Californians.,http://www.insurance.ca.gov/0400-news/0100-press-releases/2020/release025-2020-2.cfm,3/17/20
