adm0_name,adm1_name,latitude,longitude,name_alt,area_km2,population,pop_density_km2
TUN,Ben Arous (Tunis Sud),36.6125,10.1941,Bin `Arūs|Ben Arous|Tunis Ben Arous,1160.204480718293,,
TUN,Bizerte,37.1109,9.67332,BanzartBanzart|Bensert|Binzart|Biserta|Bizerta,5643.6559114014635,,
TUN,Béja,36.5828,9.37605,Bājah|Béja,5728.306233568646,,
TUN,Gabès,33.7571,9.85987,Qābis|Gabās,10377.916395216578,,
TUN,Gafsa,34.4233,8.79521,Gafṣah|Qafṣah,10656.721851071796,,
TUN,Jendouba,36.6155,8.62064,Jendoûbah|Jenduba|Jondouba|Jundūbah|Souk-El-Arba|Dschunduba,5075.71465380887,,
TUN,Kairouan,35.6154,9.78892,Al Qayrawān|Al Qīrwān|Qairouân|Kairuã|Kairouwan,10035.252918563501,,
TUN,Kassérine,35.2529,8.78774,Al Qaṣrayn|Al Gaṣrīn|Al Qasrin|Kasserim|Al Qaṣrayn|Sbeitla,12565.601073743148,,
TUN,Kebili,33.3621,8.84791,Kebilli|Qbili|Qibilī,32195.376978856544,,
TUN,Le Kef,36.0965,8.69565,Al Kāf|El Kef|Kaf|Kef,8016.851237032612,,
TUN,Mahdia,35.3594,10.6621,Al Madīyah|Al Mahdiyya|Mahdiâh,4363.277423492514,,
TUN,Manubah,36.7903,9.94514,,2544.3660597205717,,
TUN,Monastir,35.6225,10.7538,Al Munastīr,1517.5193461271604,,
TUN,Médenine,33.4403,10.6522,Madanīyīn|Madanīn|Medenin,11633.896696874976,,
TUN,Nabeul,36.6794,10.7319,Cap Bon|Nabil|Nābol|Nābul,4526.110685624227,,
TUN,Sfax,34.6495,11.0329,Safāqis|Ṣafāqis|Ṣfāqis,10455.081293723208,,
TUN,Sidi Bou Zid,34.9757,9.43328,Sīdī Bū Zayd|Qamudah|Sidi Boû Sa`îd|Sidi Buzid|Sidi Bū Sa`īd|Sīdī Bū Zayd|Sidi Bu Said,11111.310326849352,,
TUN,Siliana,35.5597,9.33745,Siliānah|Silyānah,6929.467248527567,,
TUN,Sousse,35.9323,10.4255,Sousa|Sussa|Susse|Susa|Sūsah,4053.8608196802434,,
TUN,Tataouine,32.154,9.88514,Foum Tataouine|Tatahouine|Tatuine|Taţāwīn,55108.44116869159,,
TUN,Tozeur,33.9476,8.07434,Tawzar|Touzar|Tūzar,9765.598867056266,,
TUN,Tunis,36.7791,10.1724,Tounis|Tunis City|Tūnus|Túnez|Túnis|Tunisi|Tūnis,434.2795738034155,,
TUN,Zaghouan,36.3427,9.96916,Tunis South|Zachouan|Zaguan|Zaghwān|Saghuan,4416.919526415482,,
TUR,Adana,37.4006,35.7555,Seyhan,24292.125237565997,,
TUR,Adiyaman,37.8102,38.339,Adıyaman,11458.086797486369,,
TUR,Afyonkarahisar,38.6784,30.6938,Afyon,24116.45186633627,,
TUR,Agri,39.5925,43.3647,Ağri|Karaköse,16802.534326508005,,
TUR,Aksaray,38.3566,33.8772,,12592.966007116738,,
TUR,Amasya,40.6379,35.7627,,10800.646647702979,,
TUR,Ankara,39.829,32.578,Ancara|Angora,43377.62281353408,,
